timestamp,open,high,low,close,volume
2020-06-19,2.7000,2.7400,1.7600,2.0000,1150925
2020-06-18,2.5900,2.8000,2.1500,2.4700,1698773
2020-06-17,1.9000,2.1000,1.8800,1.9998,1616603
2020-06-16,1.8000,1.8950,1.7102,1.8000,1026602
2020-06-15,1.6000,1.7500,1.6000,1.6850,403889
2020-06-12,1.5000,1.8300,1.4000,1.6600,2333810
2020-06-11,1.5500,1.6000,1.2500,1.2650,263739
2020-06-10,1.5000,1.9000,1.3800,1.4000,374962
2020-06-09,1.3300,1.4000,1.2900,1.3799,207785
2020-06-08,1.3000,1.3000,1.1000,1.2200,701591
2020-06-05,1.1000,1.2000,1.0720,1.1400,113255
2020-06-04,1.0850,1.1000,0.9540,1.0763,84463
2020-06-03,1.0000,1.0900,0.9250,1.0400,225236
2020-06-02,1.1000,1.1000,0.8501,1.0000,28226
2020-06-01,1.0000,1.1000,0.9600,1.0100,152497
2020-05-29,0.9200,0.9999,0.9160,0.9200,89622
2020-05-28,0.9200,0.9200,0.9131,0.9131,2850
2020-05-27,1.0000,1.0400,0.9900,0.9950,143971
2020-05-26,1.0100,1.0500,0.9500,1.0500,182532
2020-05-22,0.9500,1.0900,0.9250,1.0000,106549
2020-05-21,0.9500,0.9500,0.9375,0.9499,104670
2020-05-20,0.9400,0.9500,0.8500,0.9500,87390
2020-05-19,0.8300,0.9000,0.8260,0.8500,235045
2020-05-18,0.8000,0.8100,0.8000,0.8000,23051
2020-05-15,0.8000,0.8500,0.8000,0.8000,147794
2020-05-14,0.8000,0.8000,0.8000,0.8000,43300
2020-05-13,0.8000,0.8500,0.7900,0.8200,5879
2020-05-12,0.8500,0.8500,0.7802,0.8300,531049
2020-05-11,0.7000,0.8500,0.6800,0.8500,875149
2020-05-05,0.5700,0.6000,0.5700,0.6000,800
2020-05-04,0.6000,0.6400,0.6000,0.6400,23600
2020-05-01,0.6000,0.6400,0.6000,0.6400,7500
2020-04-28,0.6500,0.6500,0.6500,0.6500,200
2020-04-27,0.6500,0.6500,0.6500,0.6500,855
2020-04-24,0.6500,0.6500,0.6500,0.6500,1500
2020-04-22,0.6300,0.7000,0.6000,0.7000,32500
2020-04-20,0.6990,0.6990,0.6990,0.6990,15
2020-04-16,0.6990,0.6990,0.6990,0.6990,100
2020-04-15,0.6000,0.7000,0.5200,0.6990,32900
2020-04-14,0.6000,0.7000,0.6000,0.6200,59800
2020-04-13,0.6000,0.7000,0.5900,0.6370,110000
2020-04-09,0.7000,0.7000,0.6500,0.7000,47600
2020-04-07,0.6400,0.7000,0.6000,0.7000,49397
2020-04-06,0.6500,0.6500,0.6500,0.6500,2730
2020-04-01,0.6900,0.7000,0.6900,0.6900,1000
2020-03-26,0.6000,0.8000,0.6000,0.7000,207300
2020-03-25,0.8000,0.8000,0.8000,0.8000,21
2020-03-24,0.6500,0.8000,0.6000,0.8000,150500
2020-03-19,0.6500,0.7900,0.6500,0.7900,1700
2020-03-18,0.6800,1.0000,0.4100,0.7000,1860
2020-03-13,0.9000,1.0000,0.8300,1.0000,1643
2020-03-12,1.0000,1.0900,0.7000,1.0500,10500
2020-03-10,1.2200,1.2600,1.2200,1.2600,400
2020-03-09,1.2600,1.2600,1.2600,1.2600,600
2020-03-06,1.2500,1.2900,1.2000,1.2900,49900
2020-03-05,1.3500,1.3500,1.3500,1.3500,6789
2020-03-04,1.3400,1.4200,1.2750,1.3500,12000
2020-03-03,1.3100,1.4200,1.3100,1.4200,31415
2020-03-02,1.3100,1.3400,1.3000,1.3400,21900
2020-02-28,1.2500,1.3600,1.2500,1.3600,30315
2020-02-27,1.3600,1.3700,1.2500,1.3600,3985
2020-02-26,1.3700,1.3700,1.3700,1.3700,680
2020-02-25,1.4000,1.4400,1.3700,1.4000,4405
2020-02-24,1.4800,1.4800,1.4400,1.4400,420
2020-02-20,1.5500,1.5500,1.5500,1.5500,200
2020-02-19,1.5100,1.5500,1.5100,1.5500,55344
2020-02-18,1.3100,1.6000,1.3100,1.6000,2502
2020-02-14,1.5800,1.6000,1.5312,1.6000,11600
2020-02-13,1.6000,1.6500,1.4900,1.5827,1373037
2020-02-11,1.3000,1.3000,1.2900,1.2900,20214
2020-02-10,1.3000,1.3000,1.2800,1.2800,19043
2020-02-05,1.2400,1.2500,1.2400,1.2500,7400
2020-02-04,1.2500,1.2500,1.2200,1.2200,5523
2020-02-03,1.2500,1.2600,1.2400,1.2600,5500
2020-01-31,1.2700,1.3000,1.2700,1.3000,1200
2020-01-30,1.2700,1.2900,1.2700,1.2900,700
2020-01-29,1.3000,1.3000,1.3000,1.3000,200
2020-01-28,1.3000,1.3000,1.3000,1.3000,500
2020-01-27,1.3100,1.3500,1.3100,1.3500,600
2020-01-24,1.2900,1.3300,1.2000,1.3300,8900
2020-01-23,1.3400,1.3400,1.2000,1.2400,2700
2020-01-22,1.1500,1.3000,1.1500,1.3000,55600
2020-01-21,1.1500,1.2500,1.1500,1.1500,309303
2020-01-16,1.1500,1.1500,1.0700,1.1500,188500
2020-01-15,1.3200,1.3200,1.1000,1.1500,63800
2020-01-14,1.0000,1.3500,1.0000,1.1000,681003
2020-01-13,0.9500,1.0000,0.9500,0.9900,18200
2020-01-10,0.9500,0.9500,0.9500,0.9500,37600
2020-01-09,0.9500,0.9500,0.9500,0.9500,277063
2020-01-08,0.9900,0.9900,0.9500,0.9500,310300
2020-01-07,0.9500,0.9500,0.9500,0.9500,100000
2020-01-06,0.9100,1.0000,0.9000,0.9500,343541
2020-01-03,0.9900,1.0100,0.9000,0.9500,480002
2020-01-02,1.0500,1.0500,1.0000,1.0000,51800
2019-12-31,1.0000,1.1100,1.0000,1.0000,27700
2019-12-30,1.0200,1.0800,1.0100,1.0200,4800
2019-12-27,0.8300,1.0900,0.8300,1.0493,4987
2019-12-26,1.0300,1.0300,1.0300,1.0300,299
2019-12-24,1.0800,1.0800,1.0000,1.0800,18800
2019-12-23,0.9600,1.1000,0.9500,1.1000,12361
2019-12-20,1.4000,1.4000,1.1000,1.1100,1365604
2019-12-18,0.8500,0.9610,0.8400,0.9610,207785
2019-12-17,0.8400,0.8400,0.8400,0.8400,100
2019-12-16,0.8500,0.8500,0.8400,0.8400,400
2019-12-13,0.8500,0.8500,0.8500,0.8500,200
2019-12-12,0.8500,0.8500,0.8500,0.8500,200
2019-12-11,0.8600,0.8600,0.8600,0.8600,300
2019-12-10,0.8600,0.8600,0.8600,0.8600,500
2019-12-09,0.8800,0.8800,0.8600,0.8640,300
2019-12-06,0.8800,0.8800,0.8800,0.8800,200
2019-12-05,0.8700,0.8700,0.8700,0.8700,200
2019-12-04,0.8800,0.8800,0.8800,0.8800,200
2019-12-03,0.8800,0.8800,0.8700,0.8800,1227
2019-12-02,0.8800,0.8800,0.8800,0.8800,200
2019-11-29,0.8800,0.8800,0.8500,0.8500,2860
2019-11-27,0.8800,0.8900,0.8800,0.8800,1536
2019-11-26,0.8800,0.8800,0.8300,0.8800,12372
2019-11-25,0.9300,0.9900,0.7500,0.8500,639400
2019-11-22,1.0000,1.0000,1.0000,1.0000,100
2019-11-21,1.0000,1.0000,1.0000,1.0000,100
2019-11-19,1.0300,1.0300,1.0300,1.0300,500
2019-11-18,1.0200,1.0300,1.0200,1.0200,10300
2019-11-11,1.0500,1.0500,1.0500,1.0500,2200
2019-11-08,1.0000,1.0600,1.0000,1.0600,16500
2019-11-07,1.0000,1.0100,1.0000,1.0000,3000
2019-11-06,0.9800,0.9800,0.9800,0.9800,200
2019-11-05,1.0000,1.0001,0.9900,0.9900,9050
2019-11-04,1.0100,1.0100,1.0000,1.0000,500
2019-10-31,1.0200,1.0200,1.0200,1.0200,200
2019-10-29,0.8800,1.0000,0.8799,0.9800,3105
2019-10-28,0.9600,0.9600,0.8800,0.8800,3102
2019-10-25,0.9600,0.9600,0.9600,0.9600,1000
