timestamp,open,high,low,close,volume
2020-06-19,1.4500,1.4800,1.4301,1.4700,182992
2020-06-18,1.4600,1.4900,1.4300,1.4500,390311
2020-06-17,1.5100,1.6299,1.4600,1.4700,1389957
2020-06-16,1.5700,1.5736,1.4800,1.5200,696086
2020-06-15,1.4600,1.6100,1.4400,1.5500,1511841
2020-06-12,1.5800,1.5800,1.4700,1.4800,815857
2020-06-11,1.4000,1.7000,1.4000,1.4600,3445396
2020-06-10,1.5500,1.7900,1.5400,1.5700,4926945
2020-06-09,1.8600,1.8600,1.4000,1.4500,3598870
2020-06-08,1.7100,3.1600,1.7100,2.0300,3432304
2020-06-05,1.6900,1.7890,1.6200,1.7204,93939
2020-06-04,1.5900,1.6600,1.5100,1.6400,50203
2020-06-03,1.6400,1.6400,1.5500,1.5721,6205
2020-06-02,1.5601,1.6800,1.5500,1.5800,18625
2020-06-01,1.5700,1.5700,1.4900,1.5550,43188
2020-05-29,1.5958,1.6400,1.5900,1.6151,7472
2020-05-28,1.6100,1.6900,1.6100,1.6400,24976
2020-05-27,1.5500,2.1800,1.5000,1.7000,864614
2020-05-26,1.5500,1.6700,1.4800,1.6000,37146
2020-05-22,1.5100,1.5900,1.5050,1.5100,16150
2020-05-21,1.5600,1.5800,1.5250,1.5400,24726
2020-05-20,1.5500,1.5699,1.4100,1.5400,33727
2020-05-19,1.3900,1.5300,1.3900,1.4702,118178
2020-05-18,1.3800,1.4000,1.3400,1.3819,21239
2020-05-15,1.3400,1.4001,1.3300,1.3600,4619
2020-05-14,1.3600,1.3900,1.3000,1.3600,25047
2020-05-13,1.3900,1.4200,1.3500,1.3500,7563
2020-05-12,1.3900,1.3900,1.3350,1.3528,14847
2020-05-11,1.4200,1.4200,1.3200,1.3700,13767
2020-05-08,1.3200,1.4300,1.3200,1.3350,11329
2020-05-07,1.3300,1.3482,1.2852,1.3100,21167
2020-05-06,1.3100,1.3699,1.2800,1.3000,35638
2020-05-05,1.3500,1.4000,1.3400,1.3400,21811
2020-05-04,1.3400,1.3800,1.2900,1.3600,8382
2020-05-01,1.5600,1.5600,1.3400,1.3746,38065
2020-04-30,1.5400,1.5400,1.4400,1.4831,14518
2020-04-29,1.5000,1.6000,1.5000,1.5201,20186
2020-04-28,1.5200,1.5200,1.4100,1.4800,8156
2020-04-27,1.4600,1.5500,1.3848,1.4450,10621
2020-04-24,1.4300,1.4600,1.3714,1.3900,8114
2020-04-23,1.4500,1.5100,1.3601,1.4300,12038
2020-04-22,1.5200,1.5200,1.3100,1.3801,22203
2020-04-21,1.4100,1.4523,1.3500,1.4300,35618
2020-04-20,1.6200,1.6200,1.3800,1.4468,56728
2020-04-17,1.6500,1.6500,1.5000,1.5544,89328
2020-04-16,1.3500,1.8000,1.2500,1.6400,1223837
2020-04-15,1.3900,1.9000,1.2600,1.3800,1375125
2020-04-14,1.2700,1.3750,1.2500,1.3203,62183
2020-04-13,1.2400,1.3000,1.2150,1.2300,22122
2020-04-09,1.2300,1.3000,1.2300,1.2400,38439
2020-04-08,1.2260,1.2800,1.1800,1.2600,7810
2020-04-07,1.3300,1.3300,1.1900,1.2300,29704
2020-04-06,1.3200,1.3200,1.1800,1.2400,7281
2020-04-03,1.2600,1.3000,1.1700,1.2400,10144
2020-04-02,1.1700,1.3500,1.1450,1.1700,37694
2020-04-01,1.2265,1.2820,1.0500,1.2000,46576
2020-03-31,1.3500,1.3500,1.3000,1.3000,25037
2020-03-30,1.3200,1.4200,1.2500,1.3400,25215
2020-03-27,1.2900,1.4400,1.2500,1.3800,81170
2020-03-26,1.3200,1.5400,1.1600,1.3000,268633
2020-03-25,1.1800,1.2900,1.0500,1.2400,116262
2020-03-24,1.1500,1.2400,1.0452,1.0500,70312
2020-03-23,1.1300,1.2300,1.0100,1.0500,39934
2020-03-20,1.2500,1.2700,1.1200,1.1960,12505
2020-03-19,1.0900,1.2800,1.0900,1.2100,10258
2020-03-18,1.2500,1.4300,1.0000,1.1500,94737
2020-03-17,1.3600,1.7900,1.3000,1.3100,112746
2020-03-16,1.3000,1.3750,1.2200,1.3400,15397
2020-03-13,1.2995,1.3702,1.2200,1.2765,25144
2020-03-12,1.2000,1.3000,1.2000,1.2200,29726
2020-03-11,1.3400,1.4300,1.3150,1.3500,18236
2020-03-10,1.4000,1.4250,1.3400,1.3700,7319
2020-03-09,1.4400,1.4450,1.3032,1.3300,39886
2020-03-06,1.5900,1.5934,1.4454,1.4600,59648
2020-03-05,1.4500,1.5991,1.4100,1.5900,44159
2020-03-04,1.5300,1.5470,1.4000,1.5115,51054
2020-03-03,1.4500,1.8800,1.2700,1.4400,362664
2020-03-02,1.5000,1.5000,1.4000,1.4100,19191
2020-02-28,1.4400,1.5209,1.2600,1.4400,42953
2020-02-27,1.5100,1.6299,1.2000,1.5400,96218
2020-02-26,1.5824,1.6000,1.5700,1.6000,15516
2020-02-25,1.6400,1.7200,1.5000,1.5800,63567
2020-02-24,1.7000,1.7000,1.5400,1.6999,9271
2020-02-21,1.6100,1.8100,1.6100,1.7400,134281
2020-02-20,1.6000,1.6717,1.5000,1.6503,45391
2020-02-19,1.5200,1.6900,1.4900,1.6107,151533
2020-02-18,1.5900,1.5900,1.4821,1.5168,32043
2020-02-14,1.7000,1.7619,1.2200,1.5150,355422
2020-02-13,1.6600,1.7590,1.6500,1.6800,32875
2020-02-12,1.6700,1.8400,1.6700,1.7200,36440
2020-02-11,1.6300,1.7548,1.6000,1.7000,44879
2020-02-10,1.8239,1.8800,1.4000,1.6100,152314
2020-02-07,1.9500,1.9500,1.7500,1.7800,79367
2020-02-06,1.7400,2.0300,1.7300,1.8500,145414
2020-02-05,1.6300,1.7426,1.6000,1.7000,43222
2020-02-04,1.7600,1.8492,1.6000,1.7100,53372
2020-02-03,1.8000,1.8500,1.7200,1.7600,24274
2020-01-31,1.7400,1.8900,1.6600,1.8200,49898
2020-01-30,1.8700,1.8700,1.5700,1.5900,68660
2020-01-29,1.9700,1.9700,1.7300,1.8600,66970
2020-01-28,1.9600,2.0400,1.9500,1.9700,29788
2020-01-27,2.0800,2.1298,1.9500,2.0100,37141
2020-01-24,2.0200,2.1300,2.0200,2.1300,21492
2020-01-23,2.0200,2.1000,1.9700,2.0200,48139
2020-01-22,2.1000,2.2227,2.0000,2.0100,50338
2020-01-21,2.1000,2.2000,2.0000,2.1000,31517
2020-01-17,2.1000,2.2200,2.1000,2.1200,59889
2020-01-16,2.2800,2.3000,2.1000,2.1700,120386
2020-01-15,2.3000,2.3980,2.0801,2.3100,36876
2020-01-14,2.2600,2.5250,2.0100,2.3400,127205
2020-01-13,2.2700,2.3400,2.2200,2.2940,18145
2020-01-10,2.4200,2.4700,2.2100,2.2900,70787
2020-01-09,2.5000,2.6500,2.4700,2.4703,97403
2020-01-08,2.4500,2.4899,2.3261,2.4700,32294
2020-01-07,2.3900,2.4900,2.3200,2.3858,44171
2020-01-06,2.3500,2.4600,2.3281,2.4200,12259
2020-01-03,2.4000,2.4900,2.3000,2.4400,50115
2020-01-02,2.5300,2.5500,2.3800,2.4400,78768
2019-12-31,2.6900,2.6993,2.3800,2.4100,143338
2019-12-30,2.4200,2.7300,2.3859,2.6399,191612
2019-12-27,2.3400,2.4500,2.3300,2.4500,28967
2019-12-26,2.3600,2.4500,2.2110,2.3500,65795
2019-12-24,2.1600,2.4000,2.1543,2.3753,57949
2019-12-23,2.2200,2.3276,2.1500,2.1702,83213
2019-12-20,2.4900,2.4900,2.2878,2.3100,69062
2019-12-19,2.4000,2.5000,2.2800,2.4400,166493
2019-12-18,2.3600,2.3700,2.1000,2.2900,107294
2019-12-17,2.3100,2.4200,2.0000,2.1600,295167
2019-12-16,2.4500,3.1700,2.0600,2.5300,1566843
2019-12-13,1.6200,2.4900,1.6200,2.2000,365820
2019-12-12,1.7000,1.7100,1.6600,1.6800,27023
2019-12-11,1.7400,1.7500,1.6350,1.6700,34861
2019-12-10,1.6900,1.7000,1.5701,1.6900,148887
2019-12-09,1.4700,1.6500,1.4700,1.6200,51311
2019-12-06,1.4000,1.6600,1.3945,1.5100,130588
2019-12-05,1.3700,1.4200,1.3700,1.3810,2167
2019-12-04,1.3970,1.4200,1.3900,1.3900,10117
2019-12-03,1.4200,1.4201,1.3644,1.4000,21233
2019-12-02,1.4500,1.4600,1.3652,1.4100,83052
2019-11-29,1.4700,1.4700,1.4240,1.4500,8660
2019-11-27,1.4000,1.4900,1.4000,1.4301,6986
2019-11-26,1.4900,1.4900,1.4000,1.4500,9363
2019-11-25,1.4400,1.5000,1.4000,1.4210,30514
2019-11-22,1.4675,1.4800,1.4200,1.4400,13858
2019-11-21,1.6000,1.6000,1.4200,1.5500,15322
2019-11-20,1.5500,1.5500,1.4200,1.4200,46544
2019-11-19,1.5200,1.6096,1.5108,1.5500,17150
2019-11-18,1.5133,1.5900,1.4800,1.5100,29789
2019-11-15,1.5900,1.6000,1.5001,1.5323,43198
2019-11-14,1.6300,1.6300,1.5800,1.5800,9857
2019-11-13,1.6617,1.6617,1.6000,1.6400,10223
2019-11-12,1.7100,1.7500,1.5881,1.6200,44856
2019-11-11,1.6597,1.6875,1.6300,1.6875,23903
2019-11-08,1.6360,1.6360,1.5300,1.6200,15887
2019-11-07,1.6200,1.6200,1.5600,1.5625,1509
2019-11-06,1.5500,1.6100,1.5165,1.6000,20565
2019-11-05,1.5700,1.6600,1.5400,1.5400,15974
2019-11-04,1.5400,1.6600,1.5293,1.6600,43330
2019-11-01,1.5155,1.5762,1.5102,1.5325,13326
2019-10-31,1.5046,1.5814,1.5046,1.5500,20433
2019-10-30,1.6700,1.6700,1.5350,1.5601,11166
2019-10-29,1.6000,1.6360,1.5436,1.5500,34651
2019-10-28,1.5656,1.6680,1.5276,1.6350,47851
2019-10-25,1.5499,1.5600,1.5058,1.5300,40358
2019-10-24,1.5700,1.5700,1.4500,1.4500,18947
2019-10-23,1.5000,1.5767,1.4400,1.5600,54437
2019-10-22,1.5900,1.5900,1.4300,1.4500,16958
2019-10-21,1.6400,1.6400,1.5100,1.5800,45760
2019-10-18,1.6147,1.6906,1.5500,1.6200,46651
2019-10-17,1.5900,1.8500,1.4538,1.6000,211092
2019-10-16,1.3600,1.6500,1.3600,1.6200,174528
2019-10-15,1.4300,1.4300,1.3400,1.4300,34048
2019-10-14,1.4200,1.4700,1.4200,1.4300,7460
2019-10-11,1.4700,1.4900,1.3900,1.4300,56844
2019-10-10,1.4271,1.5495,1.4239,1.4400,6488
2019-10-09,1.5000,1.5729,1.4000,1.4550,68109
2019-10-08,1.5311,1.5400,1.4800,1.4800,17329
2019-10-07,1.4700,1.6300,1.4500,1.5200,45103
2019-10-04,1.6000,1.6000,1.4173,1.4700,49386
2019-10-03,1.4600,1.6800,1.4500,1.5550,58987
2019-10-02,1.5300,1.5500,1.4500,1.4500,18409
2019-10-01,1.5400,1.5500,1.4000,1.5500,43674
2019-09-30,1.5100,1.5294,1.5100,1.5100,5102
2019-09-27,1.4700,1.5400,1.4600,1.5000,13282
2019-09-26,1.4600,1.4800,1.4400,1.4600,6488
2019-09-25,1.4300,1.5400,1.4300,1.4500,46471
2019-09-24,1.5000,1.5000,1.4200,1.4400,31955
2019-09-23,1.5400,1.5400,1.4874,1.4900,8000
2019-09-20,1.4800,1.5400,1.4400,1.5300,97102
2019-09-19,1.5000,1.5200,1.4500,1.4800,23564
2019-09-18,1.6200,1.6300,1.4800,1.4900,62320
2019-09-17,1.6800,1.6800,1.5600,1.6200,54119
2019-09-16,1.5900,1.7200,1.5800,1.6800,47083
2019-09-13,1.6000,1.7500,1.5778,1.6100,88244
2019-09-12,1.7100,1.7299,1.5600,1.6100,71386
2019-09-11,1.7200,1.9300,1.6000,1.6600,335438
2019-09-10,1.5400,1.6300,1.5200,1.5700,31978
2019-09-09,1.6200,1.6200,1.5300,1.5300,15799
2019-09-06,1.6000,1.6436,1.5270,1.6100,35691
2019-09-05,1.6900,1.9000,1.5200,1.5600,83653
2019-09-04,1.6900,1.6900,1.5900,1.6800,6568
2019-09-03,1.7000,1.7000,1.5800,1.6600,16830
2019-08-30,1.5500,1.6500,1.5377,1.6500,17825
2019-08-29,1.6420,1.6420,1.4987,1.5200,9083
2019-08-28,1.5205,1.6500,1.5000,1.5500,16777
2019-08-27,1.7000,1.7000,1.5128,1.5600,6930
2019-08-26,1.5100,1.7100,1.4400,1.7100,44998
2019-08-23,1.6200,1.6400,1.5000,1.5800,47249
2019-08-22,1.6800,1.6800,1.5547,1.6700,4801
2019-08-21,1.6001,1.6800,1.6001,1.6800,2612
2019-08-20,1.7200,1.7389,1.6200,1.6800,29280
2019-08-19,1.6200,1.6900,1.6200,1.6800,9955
2019-08-16,1.4600,1.6412,1.4600,1.5900,20406
2019-08-15,1.6600,1.6996,1.4200,1.4600,46216
2019-08-14,1.6900,1.7180,1.5250,1.5900,55916
2019-08-13,1.6400,1.8000,1.6400,1.7196,19103
2019-08-12,1.7000,1.7000,1.6100,1.6800,12946
2019-08-09,1.6300,1.8000,1.6300,1.6900,17827
2019-08-08,1.6600,1.8400,1.6193,1.6800,24813
2019-08-07,1.5800,1.7000,1.5700,1.6400,32001
2019-08-06,1.6300,1.7899,1.5000,1.5900,42060
2019-08-05,1.8500,1.8500,1.4000,1.6500,157880
2019-08-02,1.8000,1.8000,1.7600,1.7947,18039
2019-08-01,1.8200,1.9300,1.7627,1.7700,19769
2019-07-31,1.8400,1.9000,1.7630,1.8000,34678
2019-07-30,1.8600,1.8600,1.7600,1.8300,19302
2019-07-29,1.9000,1.9800,1.8400,1.8500,6928
2019-07-26,1.8300,1.9514,1.8300,1.8700,22969
2019-07-25,1.9180,1.9486,1.8600,1.8600,45685
2019-07-24,1.9600,2.0000,1.9300,1.9900,12089
2019-07-23,1.9201,2.0199,1.9064,2.0000,41680
2019-07-22,2.0000,2.0512,1.9400,1.9700,14826
2019-07-19,1.9500,2.0400,1.9000,1.9600,13726
2019-07-18,1.9900,2.0800,1.9625,2.0100,11000
2019-07-17,2.0308,2.1400,1.9500,2.0000,38679
2019-07-16,1.9900,2.1500,1.9900,2.0200,91537
2019-07-15,1.9700,2.0351,1.9700,1.9800,41553
2019-07-12,1.9280,2.0400,1.9100,1.9700,19466
2019-07-11,1.9268,2.0300,1.9000,2.0000,41485
2019-07-10,1.9100,2.0200,1.8600,1.8600,23309
2019-07-09,1.7800,2.1041,1.7300,1.9000,83514
2019-07-08,1.8500,1.8982,1.7000,1.8000,53829
2019-07-05,1.9000,1.9900,1.7700,1.8400,24953
2019-07-03,1.7300,1.8200,1.6400,1.7900,44678
2019-07-02,1.6900,1.7999,1.6900,1.7000,65881
2019-07-01,1.8400,1.8400,1.6500,1.6900,76430
2019-06-28,1.7800,1.8300,1.6800,1.6800,70103
2019-06-27,1.8900,1.8900,1.7600,1.7800,35166
2019-06-26,1.8600,1.8902,1.8036,1.8500,21288
2019-06-25,1.9200,1.9500,1.7700,1.8500,79324
2019-06-24,1.9800,1.9800,1.8693,1.8800,26369
2019-06-21,1.9300,2.0400,1.8800,1.9500,33068
2019-06-20,1.9000,2.0099,1.9000,1.9300,35704
2019-06-19,1.9280,1.9900,1.8600,1.8700,23759
2019-06-18,1.9500,2.0299,1.8500,1.9800,34898
2019-06-17,1.9900,2.0196,1.9100,1.9300,21751
2019-06-14,2.0700,2.0700,1.9000,1.9500,43204
2019-06-13,1.9500,2.2300,1.9500,2.0600,126046
2019-06-12,1.9200,2.0300,1.9000,1.9200,54465
2019-06-11,1.9700,2.0900,1.9000,1.9200,32189
2019-06-10,2.1800,2.1800,2.0200,2.0400,27753
2019-06-07,2.0500,2.1800,1.8249,2.1300,70808
2019-06-06,1.9700,2.2300,1.9700,2.0500,150264
2019-06-05,1.8300,1.9760,1.7800,1.9200,22268
2019-06-04,1.8400,1.8400,1.7550,1.8100,73433
2019-06-03,1.8700,1.8700,1.8000,1.8300,60639
2019-05-31,2.0500,2.0619,1.8500,1.8500,106578
2019-05-30,2.1000,2.1000,1.9991,2.0900,35343
2019-05-29,2.2000,2.2599,1.9800,2.0400,154195
2019-05-28,2.2600,2.2800,2.2000,2.2300,16013
2019-05-24,2.2900,2.3100,2.2122,2.2800,12590
2019-05-23,2.2000,2.3700,2.2000,2.3000,44920
2019-05-22,2.1500,2.2500,2.1500,2.2100,39059
2019-05-21,2.1600,2.2200,2.0200,2.1500,60538
2019-05-20,2.3300,2.3300,2.1500,2.2000,56914
2019-05-17,2.2200,2.2899,2.2000,2.2600,39581
2019-05-16,2.3400,2.3400,2.1900,2.2500,14815
2019-05-15,2.2500,2.3700,2.1900,2.2800,37322
2019-05-14,2.3400,2.3944,2.1800,2.2300,42721
2019-05-13,2.3700,2.4048,2.2500,2.2600,58080
2019-05-10,2.6300,2.6300,2.3100,2.3700,111382
2019-05-09,2.7500,2.8059,2.6000,2.6300,45846
2019-05-08,2.7400,2.8200,2.6500,2.7700,107068
2019-05-07,3.0200,3.1299,2.7500,2.7600,208284
2019-05-06,2.8500,2.9145,2.7500,2.8800,99758
2019-05-03,2.7800,2.9750,2.6580,2.8900,285547
2019-05-02,2.8000,2.8600,2.6001,2.8300,213895
2019-05-01,2.5800,2.7500,2.5000,2.7200,315431
2019-04-30,2.5100,2.7499,2.4500,2.6200,131664
2019-04-29,2.5000,2.5800,2.3750,2.5500,189593
