timestamp,open,high,low,close,volume
2020-06-19,2.2200,2.4700,2.2150,2.3800,1276298
2020-06-18,2.2000,2.2362,2.1500,2.2100,363577
2020-06-17,2.2500,2.2800,2.1600,2.2000,573267
2020-06-16,2.3700,2.4051,2.1600,2.2300,641075
2020-06-15,2.1600,2.2500,2.1200,2.2300,458699
2020-06-12,2.3400,2.3400,2.1100,2.1800,624563
2020-06-11,2.2700,2.3200,2.1300,2.1400,830202
2020-06-10,2.5800,2.6000,2.3500,2.3600,442503
2020-06-09,2.6000,2.7250,2.4800,2.5200,801587
2020-06-08,2.2500,2.9500,2.2400,2.7600,1845370
2020-06-05,2.4000,2.4200,2.2200,2.2800,1067088
2020-06-04,2.5600,2.5600,2.3400,2.3600,992714
2020-06-03,2.6900,2.7800,2.5638,2.5750,1053647
2020-06-02,3.4300,3.4300,2.5500,2.5700,2780168
2020-06-01,3.2700,3.4150,3.2400,3.3700,386300
2020-05-29,3.2400,3.3119,3.1200,3.2700,258729
2020-05-28,3.3100,3.5400,3.2400,3.2600,592337
2020-05-27,3.1900,3.3100,3.0300,3.2800,353120
2020-05-26,3.3900,3.5300,3.1701,3.1900,676376
2020-05-22,3.3100,3.3901,3.1100,3.2500,659088
2020-05-21,3.2000,3.3500,3.1101,3.3100,483372
2020-05-20,2.8700,3.2200,2.8000,3.1900,615128
2020-05-19,2.7800,2.8750,2.7500,2.8100,493017
2020-05-18,3.0100,3.0100,2.7800,2.8100,427905
2020-05-15,2.7300,2.9600,2.6300,2.9500,345058
2020-05-14,2.7900,2.8400,2.6000,2.6900,357850
2020-05-13,3.0100,3.0700,2.7700,2.8800,363480
2020-05-12,2.9600,3.2600,2.9300,3.0250,626378
2020-05-11,2.9000,3.0800,2.8600,2.9900,373436
2020-05-08,3.0300,3.0700,2.9000,2.9300,238422
2020-05-07,3.0300,3.1200,2.9000,3.0100,349308
2020-05-06,3.0100,3.1300,2.9800,2.9900,412035
2020-05-05,2.7300,3.1800,2.7300,3.0000,804326
2020-05-04,2.7400,2.8300,2.6100,2.7100,352316
2020-05-01,2.6700,2.7800,2.5500,2.7800,408739
2020-04-30,2.9000,2.9400,2.6750,2.7650,448371
2020-04-29,3.1000,3.1000,2.8800,2.9400,478123
2020-04-28,3.1900,3.1900,2.9450,2.9700,281156
2020-04-27,3.1800,3.2300,3.0900,3.1300,535976
2020-04-24,2.9200,3.1800,2.8104,3.1600,394990
2020-04-23,2.9500,3.0200,2.8700,2.9300,264756
2020-04-22,3.0200,3.0500,2.8800,2.9600,299907
2020-04-21,3.0700,3.1100,2.8600,2.9500,346904
2020-04-20,3.0200,3.2400,3.0000,3.1100,588939
2020-04-17,3.4000,3.4200,3.0600,3.1000,738347
2020-04-16,3.1600,3.2500,3.0800,3.2200,409996
2020-04-15,3.2000,3.2300,2.9750,3.1600,625952
2020-04-14,3.0800,3.2850,3.0400,3.2300,843836
2020-04-13,2.8000,3.0700,2.7736,3.0300,408563
2020-04-09,2.7000,2.8800,2.6500,2.8300,494506
2020-04-08,2.5300,2.7100,2.4900,2.7000,291686
2020-04-07,2.8800,2.9500,2.4750,2.4900,517144
2020-04-06,2.6600,2.8900,2.5850,2.8700,573356
2020-04-03,2.4900,2.5800,2.4350,2.5400,312400
2020-04-02,2.4000,2.5400,2.3900,2.5100,243380
2020-04-01,2.6100,2.6900,2.4100,2.4200,381153
2020-03-31,2.5100,2.8000,2.4700,2.7400,387171
2020-03-30,2.4900,2.6500,2.3600,2.5200,358808
2020-03-27,2.6600,2.6799,2.4800,2.5500,483224
2020-03-26,2.6800,2.8650,2.6300,2.7400,346979
2020-03-25,2.7800,2.8800,2.5800,2.6400,497865
2020-03-24,2.7100,2.8400,2.5600,2.7800,802565
2020-03-23,2.4700,2.6300,2.3100,2.5300,857642
2020-03-20,2.2700,2.5400,2.2150,2.5000,1353510
2020-03-19,2.0000,2.3600,2.0000,2.2300,907884
2020-03-18,2.5300,2.6900,1.8700,2.0100,1089159
2020-03-17,2.3300,2.7400,2.3300,2.7400,990603
2020-03-16,2.4200,2.5800,2.2500,2.2900,896218
2020-03-13,2.4700,2.5600,2.2350,2.5600,1108084
2020-03-12,2.1100,2.5400,1.9700,2.4400,1164837
2020-03-11,2.4700,2.6400,2.3000,2.3600,530592
2020-03-10,2.6000,2.8900,2.4900,2.5700,1319221
2020-03-09,2.9900,3.1750,2.9100,3.0700,887482
2020-03-06,3.1900,3.3300,3.1300,3.2200,490289
2020-03-05,3.3000,3.5900,3.2500,3.3300,793179
