timestamp,open,high,low,close,volume
2020-06-19,2.8800,2.9350,2.6300,2.6900,1071287
2020-06-18,3.2600,3.3000,2.4210,2.9100,15160130
2020-06-17,2.1900,2.2489,1.9600,2.0800,985568
2020-06-16,2.4400,2.5000,2.0500,2.2200,1063542
2020-06-15,2.3800,2.7200,2.2100,2.3600,1279854
2020-06-12,2.8100,2.8900,2.3000,2.4600,546774
2020-06-11,3.0500,3.0550,2.7100,2.7600,242488
2020-06-10,3.3700,3.3920,3.1600,3.1900,487762
2020-06-09,3.3400,3.4600,3.2000,3.3700,204525
2020-06-08,3.6700,3.6800,3.2802,3.4800,442956
2020-06-05,4.0000,4.0000,3.3700,3.6700,532426
2020-06-04,3.9500,4.2998,3.7200,3.8400,697730
2020-06-03,3.6200,4.4300,3.5100,4.0100,1415150
2020-06-02,3.5000,3.8000,3.0100,3.6900,2782142
2020-06-01,3.5200,5.9400,3.3500,3.9600,74229628
2020-05-29,1.8300,2.7200,1.7100,2.4500,1771271
2020-05-28,1.7600,2.0500,1.7300,1.8300,337865
2020-05-27,1.6900,1.8500,1.6501,1.6800,206224
2020-05-26,1.8000,1.8499,1.6800,1.6900,62418
2020-05-22,1.7500,1.7500,1.6800,1.7100,30101
2020-05-21,1.7000,1.8100,1.6800,1.7200,76367
2020-05-20,1.8800,1.9000,1.6200,1.6900,109215
2020-05-19,1.9400,1.9500,1.8411,1.8500,63540
2020-05-18,1.9900,2.0000,1.8500,1.8600,66694
2020-05-15,1.8300,1.9822,1.7790,1.9200,64214
2020-05-14,1.8900,1.9900,1.7700,1.8200,88322
2020-05-13,1.8000,2.3000,1.7501,1.9500,434138
2020-05-12,1.7600,1.8000,1.6600,1.7700,95578
2020-05-11,1.9400,1.9400,1.8100,1.8200,87554
2020-05-08,1.7600,1.9100,1.7246,1.9000,96628
2020-05-07,1.8500,1.8600,1.7700,1.8100,52655
2020-05-06,1.7700,1.8300,1.6900,1.7700,68023
2020-05-05,1.7400,1.8627,1.6436,1.6500,52554
2020-05-04,1.7900,1.7900,1.5700,1.6600,56917
2020-05-01,1.8500,1.9074,1.5441,1.5500,89556
2020-04-30,1.9900,1.9900,1.7350,1.7350,98923
2020-04-29,1.9900,1.9900,1.8800,1.9100,43821
2020-04-28,2.0800,2.0800,1.8800,1.9100,56697
2020-04-27,2.0300,2.1700,1.7900,1.9000,92673
2020-04-24,2.3900,2.4284,2.1000,2.1000,31377
2020-04-23,2.3800,2.3848,2.1679,2.3000,20005
2020-04-22,2.1900,2.3152,2.1328,2.2700,25492
2020-04-21,2.4300,2.4590,2.0800,2.1000,34230
2020-04-20,2.2100,2.3300,2.0501,2.2301,13866
2020-04-17,2.5000,2.5000,2.1207,2.2102,22992
2020-04-16,2.4800,2.4800,2.2502,2.3600,47502
2020-04-15,2.5000,2.5000,2.0500,2.1700,102036
2020-04-14,2.0700,2.5100,1.9600,2.4950,189463
2020-04-13,2.0000,2.1000,1.8100,1.9600,36183
2020-04-09,1.8900,1.9900,1.7500,1.9001,39484
2020-04-08,1.7550,1.8105,1.7300,1.8000,29291
2020-04-07,1.9000,1.9000,1.7500,1.7901,28903
2020-04-06,1.8100,2.2150,1.6200,1.8300,102707
2020-04-03,1.6100,1.7816,1.5600,1.7400,18008
2020-04-02,1.6100,1.6655,1.4800,1.5350,13253
2020-04-01,1.6000,1.6800,1.5000,1.5400,23721
2020-03-31,1.7300,1.8900,1.5022,1.5700,29718
2020-03-30,1.8900,1.9300,1.8600,1.9000,12873
2020-03-27,1.9400,1.9600,1.7600,1.9500,4525
2020-03-26,2.0800,2.2000,1.8173,1.9350,36158
2020-03-25,1.8200,2.1300,1.6425,1.9900,78699
2020-03-24,1.6000,1.8100,1.6000,1.7300,12347
2020-03-23,2.1400,2.1400,1.4800,1.6000,39427
2020-03-20,1.4600,2.3393,1.3132,1.9200,183477
2020-03-19,1.0400,2.7100,1.0400,1.4600,400195
2020-03-18,1.6000,1.6000,1.0700,1.1400,18238
2020-03-17,1.4900,1.7900,1.4900,1.5300,48024
2020-03-16,1.0000,1.2800,1.0000,1.1915,33827
2020-03-13,1.3600,1.6700,1.2400,1.3825,31032
2020-03-12,1.7000,1.7800,0.4000,1.3600,35358
2020-03-11,1.6500,1.8900,1.6500,1.7000,32880
2020-03-10,2.1000,2.1800,1.8300,2.0200,42358
2020-03-09,2.3500,2.5000,2.0700,2.0900,23020
2020-03-06,2.2300,2.2900,2.1500,2.2400,65716
2020-03-05,2.3500,2.4402,2.3040,2.3040,7704
2020-03-04,2.7000,2.7000,2.3500,2.3500,9533
2020-03-03,2.8200,2.8200,2.5100,2.5100,12146
2020-03-02,2.5800,2.6550,2.4200,2.6200,32464
2020-02-28,2.2500,2.5061,2.2500,2.4224,30756
2020-02-27,2.6900,2.6900,2.3500,2.3500,49640
2020-02-26,2.5600,2.5600,2.4000,2.4102,27905
2020-02-25,3.0200,3.0200,2.4300,2.6000,27460
2020-02-24,2.6200,2.8052,2.4266,2.6611,26692
2020-02-21,2.9900,2.9900,2.5500,2.6200,31520
2020-02-20,2.9000,3.0000,2.6500,2.9500,72662
2020-02-19,2.9500,2.9500,2.7590,2.8200,43479
2020-02-18,2.6800,2.9584,2.6800,2.7200,64140
2020-02-14,2.6500,2.6800,2.4900,2.6100,28271
2020-02-13,2.3200,2.6500,2.3100,2.6500,60158
