timestamp,open,high,low,close,volume
2020-06-19,2.8100,2.8700,2.6300,2.6600,228958
2020-06-18,3.0100,3.0400,2.7500,2.8000,317922
2020-06-17,3.1500,3.1700,3.0000,3.0400,244065
2020-06-16,3.2700,3.4700,3.1101,3.1300,304432
2020-06-15,3.2200,3.2500,3.0500,3.2000,247067
2020-06-12,3.3400,3.5000,3.1800,3.2500,383341
2020-06-11,3.1100,3.3800,2.8000,3.1800,783333
2020-06-10,4.1700,4.3900,3.3300,3.5300,1711741
2020-06-09,3.4500,4.4000,3.3000,4.0550,2013293
2020-06-08,2.7400,3.7397,2.4500,3.4500,2362118
2020-06-05,2.5200,2.6300,2.3600,2.3700,287347
2020-06-04,1.9100,2.4300,1.8700,2.3100,525569
2020-06-03,1.9000,1.9300,1.8700,1.9100,52594
2020-06-02,1.8200,1.9500,1.8200,1.9000,91394
2020-06-01,1.8200,1.8307,1.7500,1.8100,24030
2020-05-29,1.8500,1.8500,1.7900,1.8400,34507
2020-05-28,1.8100,1.8400,1.8000,1.8300,33150
2020-05-27,1.8900,1.8900,1.7800,1.7800,46007
2020-05-26,1.9000,1.9300,1.8300,1.8800,227329
2020-05-22,1.7600,1.7900,1.6500,1.7300,147696
2020-05-21,1.6800,2.1600,1.6300,1.7800,626727
2020-05-20,1.6000,1.6000,1.5000,1.5800,135556
2020-05-19,1.6000,1.7100,1.5700,1.6000,83346
2020-05-18,1.9200,1.9800,1.5126,1.5600,189143
2020-05-15,1.7900,2.0900,1.7500,1.7800,440323
2020-05-14,2.2800,2.2800,2.1002,2.2200,79980
2020-05-13,2.3100,2.3100,2.0807,2.1900,52483
2020-05-12,2.1100,2.3800,2.0600,2.3200,179340
2020-05-11,2.2100,2.2100,2.1000,2.1500,50842
2020-05-08,2.2500,2.3100,2.1501,2.2100,55791
2020-05-07,2.3000,2.3068,2.2100,2.2700,42682
2020-05-06,2.2500,2.3000,2.2100,2.3000,22074
2020-05-05,2.2600,2.3300,2.2015,2.2700,50851
2020-05-04,2.3500,2.3500,2.1800,2.3000,16192
2020-05-01,2.3400,2.4500,2.2500,2.3000,26606
2020-04-30,2.3600,2.4000,2.3200,2.4000,27348
2020-04-29,2.3700,2.4881,2.2600,2.3800,52050
2020-04-28,2.4500,2.5500,2.3600,2.3950,14669
2020-04-27,2.4000,2.5700,2.3800,2.4300,56448
2020-04-24,2.5700,2.5700,2.3950,2.4400,15624
2020-04-23,2.4400,2.6000,2.3978,2.5000,33850
2020-04-22,2.2000,2.4700,2.2000,2.4700,70571
2020-04-21,2.3700,2.3700,2.1700,2.2200,53365
2020-04-20,2.5600,2.5700,2.3400,2.3700,60597
2020-04-17,2.5400,2.7096,2.5100,2.5200,72151
2020-04-16,2.6700,2.7900,2.5600,2.6400,84294
2020-04-15,2.8100,2.8100,2.5300,2.6200,84699
2020-04-14,2.5600,3.0600,2.4500,2.8700,191504
2020-04-13,2.5200,2.5213,2.3328,2.4900,25258
2020-04-09,2.4900,2.5900,2.3500,2.5200,113606
2020-04-08,2.2000,2.3800,2.1600,2.2800,69922
2020-04-07,2.2500,2.3900,2.1500,2.2200,82143
2020-04-06,2.0700,2.2900,2.0700,2.1900,107653
2020-04-03,2.0400,2.1700,1.9700,2.0300,40104
2020-04-02,2.0400,2.2400,2.0000,2.0000,101319
2020-04-01,2.0900,2.1219,2.0000,2.0800,56448
2020-03-31,2.4100,2.4100,2.1600,2.2000,52455
2020-03-30,2.4800,2.5300,2.2500,2.4300,35868
2020-03-27,2.3200,2.5000,2.2500,2.4800,62314
2020-03-26,2.2800,2.6007,2.2800,2.4400,120077
2020-03-25,2.0300,2.4900,1.9700,2.2400,179444
2020-03-24,1.9600,2.0900,1.9100,2.0300,82094
2020-03-23,1.8700,1.9100,1.8000,1.8700,68234
