timestamp,open,high,low,close,volume
2020-06-19,9.8500,10.1900,9.2900,9.9000,74756
2020-06-18,9.2300,9.9800,9.2100,9.9000,64906
2020-06-17,8.8400,10.1900,8.7329,9.2000,243744
2020-06-16,8.5600,8.9200,8.5600,8.6000,38413
2020-06-15,8.0200,8.6700,7.6935,8.4000,26823
2020-06-12,8.0400,8.6200,8.0400,8.6100,69625
2020-06-11,8.8600,8.8600,7.9200,8.0300,112077
2020-06-10,8.9000,9.1000,8.8000,8.8700,33719
2020-06-09,8.9000,9.0800,8.5300,9.0500,63475
2020-06-08,8.6000,9.0500,8.2600,8.9300,78158
2020-06-05,9.4200,9.4200,8.6800,8.7300,78170
2020-06-04,9.4700,9.5300,8.7500,8.8600,85428
2020-06-03,9.6700,10.0100,9.3100,9.5900,137406
2020-06-02,8.9600,9.6000,8.9600,9.6000,94810
2020-06-01,8.6700,9.5000,8.5184,8.8200,113213
2020-05-29,8.7500,9.4900,8.1000,8.4700,118152
2020-05-28,7.4200,8.7300,7.3000,8.6300,171112
2020-05-27,7.1200,7.4862,7.0000,7.3300,44041
2020-05-26,7.5000,7.7499,7.0000,7.0400,98300
2020-05-22,7.6200,7.7965,7.3838,7.5100,38279
2020-05-21,7.9400,7.9786,7.2800,7.6100,50114
2020-05-20,7.7800,8.2000,7.7800,7.9800,60284
2020-05-19,7.5400,7.9900,7.5400,7.7200,51670
2020-05-18,8.0600,8.5300,7.3500,7.5600,97229
2020-05-15,9.2200,9.8000,7.5100,7.7500,140174
2020-05-14,7.9600,9.0000,7.7000,8.7800,90675
2020-05-13,8.8900,9.0000,7.9000,8.1000,88337
2020-05-12,8.2300,9.0000,8.2300,8.7900,70092
2020-05-11,8.0000,8.6638,7.5400,8.0700,99774
2020-05-08,7.9900,8.0000,7.5000,7.9900,48557
2020-05-07,7.3800,7.9599,7.1069,7.5000,30511
2020-05-06,7.7900,7.9400,7.3500,7.4500,17967
2020-05-05,7.3000,8.1490,7.1700,7.9200,40369
2020-05-04,7.5200,7.6800,7.1600,7.2500,12452
2020-05-01,7.0700,7.7500,7.0100,7.4500,39759
