timestamp,open,high,low,close,volume
2020-06-19,8.6600,8.6600,8.2000,8.3900,2003891
2020-06-18,8.5000,8.6900,8.3800,8.5400,481624
2020-06-17,8.9700,9.0400,8.4800,8.5800,695872
2020-06-16,9.5000,9.5000,8.6400,8.8800,534229
2020-06-15,8.0100,8.8000,8.0100,8.5600,659012
2020-06-12,8.5400,8.6200,8.0400,8.5000,470897
2020-06-11,7.6800,8.4600,7.6800,8.1000,653244
2020-06-10,9.0400,9.0400,8.4700,8.6400,332952
2020-06-09,9.5100,9.5100,9.0100,9.1300,372436
2020-06-08,9.1000,9.7050,9.1000,9.6700,563720
2020-06-05,9.0400,9.7200,8.8000,8.8900,669525
2020-06-04,8.7000,8.9800,8.4934,8.6800,433665
2020-06-03,8.0500,8.7600,8.0279,8.7200,676540
2020-06-02,7.9000,7.9600,7.6500,7.9300,619555
2020-06-01,7.3900,7.9500,7.3500,7.7100,520550
2020-05-29,7.4300,7.6300,7.2700,7.3200,589521
2020-05-28,8.2900,8.2900,7.5100,7.6000,452541
2020-05-27,8.2400,8.3100,7.9610,8.1200,664448
2020-05-26,7.6400,8.1000,7.5000,7.9900,412358
2020-05-22,7.4400,7.4400,7.0500,7.3200,229973
2020-05-21,7.2100,7.4601,7.1100,7.3650,255342
2020-05-20,7.2200,7.4100,7.0700,7.2300,296980
2020-05-19,7.0800,7.2700,6.8100,7.0900,412042
2020-05-18,6.7100,7.2500,6.7100,7.1400,550024
2020-05-15,6.4200,6.4600,6.0800,6.3400,498316
2020-05-14,6.1200,6.4400,5.8600,6.3100,474928
2020-05-13,6.3500,6.5200,6.0500,6.3100,468053
2020-05-12,6.9100,6.9693,6.4500,6.4750,566890
2020-05-11,7.2900,7.4600,6.9150,6.9600,535795
2020-05-08,7.0700,7.5500,6.9600,7.4600,353557
2020-05-07,6.9200,7.7950,6.6819,6.9700,593538
2020-05-06,6.9900,7.1608,6.6100,6.9200,508550
2020-05-05,7.1900,7.4200,6.9327,7.0100,355001
2020-05-04,7.1500,7.2000,6.7100,7.0100,523301
2020-05-01,7.4200,7.6200,7.0300,7.3500,670117
2020-04-30,8.4500,8.4500,7.4300,7.7100,933548
2020-04-29,7.7600,8.7300,7.5000,8.6100,1234889
2020-04-28,7.4500,8.0000,7.2500,7.4800,875379
2020-04-27,6.4100,7.2600,6.3400,7.1400,679552
2020-04-24,6.4700,6.5600,6.0400,6.3300,405679
2020-04-23,6.3800,6.6800,6.2500,6.4700,437365
2020-04-22,6.5500,6.6300,6.2950,6.3500,332986
2020-04-21,6.3000,6.6300,6.2100,6.4000,390508
2020-04-20,6.6100,6.8644,6.4000,6.5500,430732
2020-04-17,6.9800,7.2100,6.6547,6.8000,558285
2020-04-16,6.6800,6.7500,6.4950,6.6500,468723
2020-04-15,6.9200,7.0900,6.2703,6.7400,1049795
2020-04-14,6.9400,7.4000,6.7700,7.1900,599796
2020-04-13,6.8100,6.9400,6.4001,6.7600,432167
2020-04-09,6.7500,7.2800,6.4500,6.9400,725499
2020-04-08,6.0100,6.6800,5.9700,6.4800,829919
2020-04-07,6.0100,6.4700,5.6600,5.8200,649135
2020-04-06,5.0200,5.7900,5.0200,5.6700,468795
2020-04-03,5.2800,5.4000,4.7400,4.9800,756101
2020-04-02,5.4700,5.5300,5.0200,5.2900,474828
2020-04-01,5.8000,5.9500,5.2400,5.3800,716413
2020-03-31,6.6400,6.7500,5.6600,6.2500,1381177
2020-03-30,7.1100,7.1800,6.1900,6.8400,1059436
2020-03-27,6.8400,7.4200,6.6388,7.1100,583734
2020-03-26,7.3200,7.4200,6.6400,7.0800,900113
2020-03-25,7.5400,7.8500,6.9100,6.9700,1108600
2020-03-24,7.3600,7.8000,6.7600,7.4900,1071552
2020-03-23,7.2800,7.4100,6.4000,6.9000,782634
2020-03-20,6.7300,7.6000,6.6500,7.2200,1880203
2020-03-19,5.0000,6.8300,4.8200,6.6100,1107920
2020-03-18,5.0000,5.0200,4.2000,4.7900,1213509
2020-03-17,6.0100,6.2900,5.1000,5.3300,1689617
2020-03-16,6.3000,6.9300,5.8300,5.8400,686174
2020-03-13,7.5000,7.8200,6.5900,7.2900,732084
2020-03-12,8.0000,8.0565,6.8300,6.8800,1214194
2020-03-11,9.1800,9.2900,8.4500,8.5200,774096
2020-03-10,9.4800,9.6200,8.6200,9.4400,1112739
2020-03-09,9.5900,9.6600,8.9600,9.1800,818742
2020-03-06,9.9000,10.3200,9.8000,10.1100,434126
2020-03-05,10.8400,10.8500,10.1000,10.3800,624722
2020-03-04,10.8900,11.0700,10.7400,11.0300,503537
2020-03-03,10.7200,11.2000,10.5200,10.7100,651635
2020-03-02,10.3400,10.7500,10.1900,10.7500,528978
2020-02-28,10.0200,10.8200,9.4000,10.4000,1018198
2020-02-27,11.6600,11.8900,10.8900,10.9600,1014465
2020-02-26,12.5100,12.6000,11.9800,12.1200,661702
2020-02-25,12.8500,12.9100,12.2900,12.4100,410983
2020-02-24,13.0000,13.0950,12.8600,12.8800,318071
2020-02-21,12.9500,13.2600,12.9300,13.2100,457878
2020-02-20,12.9300,13.0950,12.9000,12.9300,306885
2020-02-19,13.3800,13.3800,12.9050,12.9300,391354
2020-02-18,13.4200,13.5100,13.3000,13.4100,352015
2020-02-14,13.4800,13.5300,13.3900,13.4100,280853
2020-02-13,13.2500,13.4900,13.2300,13.4600,314614
2020-02-12,13.3000,13.3600,13.1300,13.3100,555975
2020-02-11,13.2800,13.4900,13.1600,13.2200,373898
2020-02-10,13.2500,13.3800,13.1900,13.2400,291091
2020-02-07,13.3200,13.4800,13.0490,13.1900,330642
2020-02-06,13.5200,13.6600,13.4764,13.5400,589352
2020-02-05,13.1700,13.5700,13.1600,13.4400,588124
2020-02-04,13.1400,13.2900,13.0500,13.1900,348101
2020-02-03,12.9800,13.2000,12.9800,13.1250,365833
2020-01-31,13.1100,13.1800,12.9100,12.9700,474743
2020-01-30,13.0900,13.1800,12.9695,13.0850,484477
2020-01-29,13.1100,13.2000,13.0200,13.1300,321599
2020-01-28,13.1100,13.1740,12.9600,13.0900,436574
2020-01-27,13.1600,13.3000,13.0700,13.0800,259509
2020-01-24,13.2700,13.2900,13.1200,13.2300,448708
