timestamp,open,high,low,close,volume
2020-06-19,3.1300,3.3400,3.1300,3.2700,248359
2020-06-18,3.6100,3.7900,3.0700,3.1600,534388
2020-06-17,3.4400,3.6800,3.4200,3.6000,203535
2020-06-16,3.3800,3.5699,3.3410,3.4200,368451
2020-06-15,3.1000,3.3400,2.9183,3.3100,298712
2020-06-12,2.9500,3.1000,2.9500,3.0300,96308
2020-06-11,3.0000,3.1300,2.8201,2.8700,229820
2020-06-10,3.2400,3.2450,3.0100,3.1000,190180
2020-06-09,3.2500,3.3400,3.1300,3.2300,181247
2020-06-08,3.2100,3.3000,3.0800,3.2100,270332
2020-06-05,3.0600,3.3800,3.0500,3.2100,295881
2020-06-04,2.8900,3.1500,2.8700,3.0600,326081
2020-06-03,2.8700,3.0400,2.8200,2.8600,302450
2020-06-02,3.1200,3.1850,2.8100,2.8900,198794
2020-06-01,2.7000,2.9500,2.6100,2.8400,247816
2020-05-29,2.7400,2.9500,2.6300,2.6600,521941
2020-05-28,3.2000,3.2084,2.6700,2.6800,733436
2020-05-27,3.2900,3.3800,3.1400,3.2400,243354
2020-05-26,3.2000,3.4700,3.2000,3.3300,214308
2020-05-22,3.2100,3.2300,3.0500,3.2000,223534
2020-05-21,3.4000,3.5000,3.2200,3.2700,254431
2020-05-20,3.4700,3.6000,3.2201,3.4000,589251
2020-05-19,2.8000,3.3500,2.7900,3.2000,762535
2020-05-18,3.1450,4.2000,2.7500,2.7900,2004583
2020-05-15,2.2300,2.9400,2.0845,2.6800,866423
2020-05-14,1.9800,2.0900,1.8000,2.0500,62335
2020-05-13,2.2000,2.2200,2.0100,2.0700,78539
2020-05-12,2.6500,2.6500,2.0300,2.1400,145779
2020-05-11,2.2400,2.2799,2.0300,2.0300,78851
2020-05-08,1.9500,2.2800,1.9500,2.2200,84800
2020-05-07,1.9100,1.9900,1.9100,1.9600,27770
2020-05-06,1.8500,1.9600,1.8500,1.9300,18861
2020-05-05,1.9000,1.9300,1.8200,1.8800,98700
2020-05-04,1.9200,1.9800,1.8300,1.8500,52396
2020-05-01,2.0100,2.0100,1.9100,1.9200,20922
2020-04-30,2.0000,2.0800,1.9500,2.0100,63480
2020-04-29,1.9500,2.0800,1.9100,1.9900,98261
2020-04-28,1.8100,1.9500,1.8100,1.8900,35242
2020-04-27,1.8300,1.9108,1.7900,1.8300,32595
2020-04-24,1.8600,1.9000,1.8100,1.8300,40688
2020-04-23,1.7800,1.8700,1.6803,1.8400,86943
2020-04-22,1.7200,1.8500,1.6400,1.8100,61101
2020-04-21,1.6600,1.7300,1.5700,1.6900,56149
2020-04-20,1.6800,1.8000,1.6100,1.7000,60757
2020-04-17,1.5200,1.7400,1.5107,1.6700,69826
2020-04-16,1.4900,1.5100,1.3500,1.4400,145020
2020-04-15,1.6500,1.7400,1.3920,1.4700,179056
2020-04-14,1.7900,1.8400,1.5900,1.6500,239311
2020-04-13,1.8600,1.8600,1.4500,1.6500,162430
