timestamp,open,high,low,close,volume
2020-06-19,9.1900,10.9200,9.0850,10.5000,1640936
2020-06-18,8.8400,9.2700,8.8200,9.0700,251689
2020-06-17,9.2600,9.4500,8.9150,8.9400,250024
2020-06-16,9.1700,9.3000,8.7200,9.2600,372118
2020-06-15,8.1300,9.0200,7.6400,8.9200,300256
2020-06-12,7.8200,8.4000,7.8200,8.3900,270264
2020-06-11,8.2100,8.5700,7.5000,7.5900,288521
2020-06-10,8.7800,8.8900,8.3700,8.4800,168658
2020-06-09,8.7600,8.9200,8.6900,8.7400,201422
2020-06-08,9.4500,9.4500,8.7500,8.8900,130453
2020-06-05,9.4000,9.7300,9.1100,9.2500,227518
2020-06-04,9.1400,9.2650,9.0100,9.1800,231072
2020-06-03,9.1600,9.2400,9.0000,9.1600,441524
2020-06-02,9.0100,9.1100,8.8700,9.0400,134909
2020-06-01,8.7700,9.1100,8.5100,8.9300,208809
2020-05-29,8.8900,9.0200,8.4800,8.8100,143768
2020-05-28,9.0600,9.2000,8.8500,8.9000,173036
2020-05-27,9.2400,9.3800,8.7700,9.0400,263270
2020-05-26,9.2000,9.2900,8.7200,9.0600,377981
2020-05-22,8.7000,9.0200,8.5800,8.8900,147570
2020-05-21,8.4900,8.7900,8.3700,8.6400,155566
2020-05-20,8.4200,8.5450,8.1900,8.5300,138334
2020-05-19,7.7400,8.4400,7.7100,8.2700,391667
2020-05-18,7.4200,7.8400,7.4200,7.6700,292638
2020-05-15,6.6700,7.2600,6.5200,7.1200,167680
2020-05-14,6.6100,6.8399,6.2000,6.7100,205666
2020-05-13,7.0900,7.2200,6.6600,6.7500,246294
2020-05-12,8.2200,8.2200,7.0150,7.1250,320953
2020-05-11,8.2600,8.6300,8.0800,8.1900,185718
2020-05-08,8.1100,8.7200,7.9800,8.2500,227125
2020-05-07,7.7600,8.0500,7.4500,7.8700,310499
2020-05-06,8.1300,8.1600,7.4100,7.4600,172680
2020-05-05,8.1500,8.5600,8.0200,8.1000,227687
2020-05-04,7.9100,8.1000,7.6300,8.0000,249569
2020-05-01,7.5200,7.9700,6.8500,7.5000,285441
2020-04-30,7.2100,7.8500,6.6202,7.7700,234586
2020-04-29,6.6700,7.7700,6.6000,7.5600,369176
2020-04-28,6.5000,7.6700,6.2600,7.1050,2798959
2020-04-27,5.7100,5.8875,5.5200,5.5500,69306
2020-04-24,5.5000,5.7900,5.3628,5.6700,60450
2020-04-23,5.6000,5.9400,5.4300,5.5200,47102
2020-04-22,5.6400,5.7400,5.4500,5.6050,28802
2020-04-21,5.1000,5.5600,5.1000,5.4500,55838
2020-04-20,5.5800,5.8200,5.2500,5.2900,43494
2020-04-17,5.4100,5.7449,5.1800,5.6600,59124
2020-04-16,5.2800,5.3800,4.9100,5.3600,88975
2020-04-15,5.9200,5.9417,5.4700,5.4800,70612
2020-04-14,5.9700,6.1900,5.5500,6.1500,108437
2020-04-13,5.5000,5.9400,5.3731,5.8000,59213
2020-04-09,5.4700,5.6900,5.0600,5.4400,118361
2020-04-08,5.0500,5.4300,4.9500,5.2100,98362
2020-04-07,4.9500,5.0800,4.5000,4.8500,66693
2020-04-06,4.2300,4.9100,4.2300,4.8600,96900
2020-04-03,4.2400,4.2900,4.0000,4.0100,76525
2020-04-02,4.3300,4.7500,4.0700,4.3500,82545
2020-04-01,4.4900,4.6900,4.3100,4.3700,57441
2020-03-31,4.6900,4.7800,4.4950,4.6600,56278
2020-03-30,4.7700,4.7700,4.4700,4.6800,49397
2020-03-27,4.8300,4.9300,4.6000,4.7200,42108
2020-03-26,4.7400,5.2100,4.7400,5.2000,90430
2020-03-25,4.3300,4.8109,3.9800,4.7100,75756
2020-03-24,4.2200,4.4300,4.0250,4.3300,92452
2020-03-23,3.9600,4.2554,3.7000,4.1700,51673
2020-03-20,4.3600,4.5800,3.8800,3.9900,105638
2020-03-19,4.0000,4.3500,3.7100,4.3200,90130
2020-03-18,4.1700,4.4200,3.6100,3.8100,90115
2020-03-17,3.6200,4.5300,3.6200,4.5300,130355
2020-03-16,4.4000,5.2500,3.5000,3.5100,154953
2020-03-13,4.6000,4.8300,4.4000,4.8000,133571
2020-03-12,5.0100,5.1900,4.4000,4.4600,111616
2020-03-11,5.7900,5.8300,5.3200,5.3800,70594
2020-03-10,6.3400,6.4400,5.8100,5.9800,80704
2020-03-09,6.0100,6.2900,5.9300,6.1300,63713
2020-03-06,6.2900,6.6000,6.0797,6.3100,59302
2020-03-05,6.7300,7.0000,6.4300,6.5600,54898
2020-03-04,6.5600,7.0000,6.5500,6.9800,48178
2020-03-03,6.8100,6.8700,6.3100,6.4300,86344
2020-03-02,6.7700,7.0400,6.7600,6.8800,46659
2020-02-28,6.7300,6.9150,6.5550,6.8300,115593
2020-02-27,7.2200,7.2200,6.8300,6.8600,127588
2020-02-26,7.4300,7.4552,7.0300,7.3700,86028
2020-02-25,7.7100,8.0000,7.2000,7.2200,49653
2020-02-24,7.5000,7.5700,7.2600,7.4200,76123
