timestamp,open,high,low,close,volume
2020-06-19,6.3500,6.7800,6.3100,6.5800,88097
2020-06-18,6.3500,6.4400,6.0300,6.2700,63127
2020-06-17,6.3900,6.4000,6.1600,6.3600,88103
2020-06-16,6.2600,6.4200,6.2150,6.3500,86131
2020-06-15,6.4800,6.6500,6.1400,6.2300,98227
2020-06-12,6.6800,6.8400,6.1700,6.4400,95904
2020-06-11,6.9600,6.9800,6.4900,6.5700,82385
2020-06-10,7.1900,7.2000,6.8200,6.9600,87663
2020-06-09,7.5300,7.5300,7.0300,7.1700,94773
2020-06-08,7.2400,7.4000,7.1700,7.3600,43599
2020-06-05,7.1900,7.3164,7.0300,7.1300,46486
2020-06-04,7.1300,7.4000,7.1000,7.2700,49886
2020-06-03,7.5000,7.5800,7.2400,7.3800,50174
2020-06-02,7.7000,7.7800,7.3800,7.5900,42858
2020-06-01,8.0200,8.0600,7.6000,7.7300,40709
2020-05-29,7.9500,8.0600,7.7500,7.9200,48329
2020-05-28,7.8000,7.9800,7.7600,7.9300,58245
2020-05-27,8.1100,8.2000,7.6000,7.7900,63839
2020-05-26,8.1600,8.2000,8.0000,8.0400,49746
2020-05-22,8.1200,8.1900,7.9200,8.0700,51654
2020-05-21,8.1600,8.2800,7.9600,8.2100,58091
2020-05-20,8.2000,8.5218,7.8000,8.0350,175007
2020-05-19,8.3000,8.3000,8.1000,8.1700,38290
2020-05-18,8.2800,8.2800,8.0000,8.2000,38722
2020-05-15,8.1600,8.2600,7.9600,8.0000,57364
2020-05-14,8.3500,8.3500,8.0000,8.0700,78383
2020-05-13,8.6000,8.6300,8.2000,8.3100,77165
2020-05-12,8.5000,8.6900,8.2000,8.5600,75268
2020-05-11,9.0300,9.0300,8.3100,8.5600,98642
2020-05-08,8.9700,9.5700,8.8100,8.9900,146916
2020-05-07,8.5100,8.9500,8.4200,8.8300,117941
2020-05-06,8.4700,8.7600,8.3300,8.4300,87221
2020-05-05,8.3500,8.6600,8.3500,8.4200,66331
2020-05-04,8.4700,9.1936,8.3400,8.3800,99793
2020-05-01,8.8500,9.1700,8.5700,8.9700,127606
2020-04-30,8.6600,8.9800,8.3800,8.8700,67006
2020-04-29,8.4500,8.9000,8.1800,8.3500,209707
2020-04-28,8.3600,8.8800,8.3500,8.5800,128997
2020-04-27,8.4600,9.0700,8.4600,8.4900,102228
2020-04-24,8.9400,8.9800,8.3100,8.6000,105462
2020-04-23,9.0400,9.0400,7.9700,8.6100,135015
2020-04-22,9.3600,9.3600,8.5000,8.8500,113434
2020-04-21,8.7000,9.2300,8.7000,8.9200,98629
2020-04-20,8.5100,9.3100,8.5100,9.0800,59888
2020-04-17,8.7400,9.2500,8.6000,8.7400,104460
2020-04-16,8.7200,9.0300,8.1000,8.7800,103069
2020-04-15,9.4000,9.5300,8.9400,8.9500,50368
2020-04-14,9.1700,9.7800,9.1100,9.3700,107501
2020-04-13,9.1300,9.5000,8.9500,9.2800,81779
2020-04-09,8.4400,9.1820,8.2691,9.1200,167968
2020-04-08,8.1300,8.9400,8.0800,8.5300,96956
2020-04-07,8.3400,8.6500,8.0100,8.2100,79505
2020-04-06,8.5800,8.7000,8.1600,8.3700,67422
2020-04-03,8.5400,8.8000,8.2000,8.6300,56798
2020-04-02,9.1200,9.1200,8.4800,8.6500,96737
2020-04-01,8.5800,9.1900,8.5800,9.0500,103192
2020-03-31,8.3400,9.1300,8.3400,9.0700,116807
2020-03-30,8.9200,8.9200,8.0400,8.3500,90669
2020-03-27,8.8700,9.6799,8.7900,8.8600,129587
2020-03-26,8.2800,9.5000,8.2800,8.9500,121389
2020-03-25,8.2300,8.8300,8.2300,8.3300,52989
2020-03-24,8.3200,8.7800,8.1400,8.3300,137044
2020-03-23,8.5400,8.5676,8.0000,8.0500,70557
2020-03-20,8.6300,8.7700,8.3000,8.6500,74101
2020-03-19,8.9800,9.1500,8.6200,8.6300,114087
2020-03-18,9.1000,9.6900,8.7100,8.8900,122260
2020-03-17,9.7400,9.8500,9.1400,9.2600,95053
2020-03-16,9.3500,10.5600,8.9000,9.6800,209120
2020-03-13,9.8600,9.9100,9.5500,9.5900,105995
2020-03-12,9.0300,9.8600,9.0300,9.5300,183858
2020-03-11,10.0500,10.2100,9.3000,9.5800,268450
2020-03-10,9.6100,9.8900,9.4647,9.7500,156045
2020-03-09,9.5700,10.1999,9.2000,9.5100,158013
2020-03-06,10.2000,10.6581,9.6100,10.0100,177319
2020-03-05,9.3600,10.4533,9.3600,10.2800,227245
2020-03-04,8.4933,9.5601,8.4165,9.4800,180254
2020-03-03,8.1700,8.7208,8.0100,8.2700,214881
2020-03-02,7.6500,8.2892,7.5800,8.1200,178539
2020-02-28,7.4200,7.6815,7.1200,7.5700,105944
2020-02-27,7.4000,7.5900,7.1300,7.5000,87316
2020-02-26,7.4700,7.5700,7.3600,7.4500,74846
2020-02-25,7.6000,7.6200,7.2400,7.3400,84012
2020-02-24,7.4900,7.7400,7.4400,7.5300,93621
2020-02-21,7.8600,7.9100,7.6400,7.6703,79339
2020-02-20,7.6400,7.9000,7.5300,7.8200,106681
2020-02-19,7.5900,7.8300,7.5150,7.7000,75921
2020-02-18,7.7500,7.8700,7.4800,7.5900,62532
2020-02-14,8.1400,8.1750,7.2900,7.7154,131092
2020-02-13,8.0000,8.3000,7.9100,8.0700,101445
2020-02-12,8.0400,8.0500,7.8900,7.9600,46872
2020-02-11,8.0100,8.2000,8.0000,8.0000,75415
2020-02-10,7.7800,8.1500,7.7800,7.9900,63714
2020-02-07,7.8700,8.2600,7.7500,7.8300,66269
2020-02-06,7.7100,7.9100,7.5500,7.7700,99454
2020-02-05,7.5000,7.7600,7.4000,7.6100,77489
2020-02-04,7.2600,7.4500,7.2000,7.3800,37843
2020-02-03,7.2200,7.5000,7.1000,7.1500,48767
2020-01-31,7.6100,7.6500,7.1000,7.3000,62319
2020-01-30,7.5500,7.7699,7.5400,7.6200,42510
2020-01-29,7.4900,7.8700,7.4700,7.5500,69385
2020-01-28,7.3000,7.5500,7.2800,7.4300,62966
2020-01-27,7.5100,7.5100,7.1600,7.2000,79666
2020-01-24,7.6554,8.0500,7.3300,7.6500,116411
2020-01-23,7.7300,7.9300,7.4473,7.6300,98043
2020-01-22,7.7700,8.1800,7.6200,7.7200,106477
2020-01-21,8.1000,8.1000,7.5200,7.7300,88084
2020-01-17,8.2200,8.4600,8.0000,8.1300,98859
2020-01-16,7.7400,8.6500,7.6300,8.0800,167387
2020-01-15,7.0000,7.9400,7.0000,7.5200,101239
2020-01-14,6.5800,7.1329,6.5300,7.0600,114652
2020-01-13,6.5500,6.8500,6.3100,6.5700,130454
2020-01-10,6.4300,6.5800,6.3500,6.4500,43737
2020-01-09,6.4600,6.6000,6.3100,6.4300,37372
2020-01-08,6.7400,6.8500,6.3300,6.4600,72765
2020-01-07,6.5000,7.0000,6.5000,6.6100,117503
2020-01-06,6.9800,6.9800,6.4800,6.5700,72683
2020-01-03,6.4700,7.2212,6.3300,6.8280,121773
2020-01-02,6.4000,6.5500,6.2300,6.4900,81014
2019-12-31,6.2010,6.6850,6.1100,6.4200,62346
2019-12-30,6.3000,6.7500,6.0316,6.2800,106732
2019-12-27,6.3000,6.4700,6.1607,6.4000,61300
2019-12-26,6.2400,6.4500,6.1700,6.2500,22045
2019-12-24,6.4600,6.5000,6.0900,6.1900,65912
2019-12-23,6.6900,6.8450,6.3500,6.3905,63174
2019-12-20,6.5400,6.8800,6.5000,6.5700,69608
2019-12-19,6.7500,6.7500,6.1600,6.5300,120071
2019-12-18,6.2206,6.8200,6.1506,6.7700,72230
2019-12-17,6.5010,6.6000,6.1000,6.2700,48193
2019-12-16,6.4400,6.6101,6.2600,6.3400,51835
2019-12-13,6.7201,6.7600,6.3550,6.4300,52669
2019-12-12,6.6300,6.8945,6.2550,6.4800,75103
2019-12-11,6.6300,6.7800,6.5900,6.6645,115385
2019-12-10,6.6000,6.9000,6.3200,6.6600,127496
2019-12-09,6.9200,6.9659,6.5000,6.7400,100392
2019-12-06,6.6400,6.8650,6.3800,6.8163,100769
2019-12-05,6.7300,6.7800,6.3400,6.6800,70069
2019-12-04,6.5000,6.8200,6.4900,6.7535,40737
2019-12-03,6.5800,6.6686,6.4900,6.5900,42373
2019-12-02,6.7101,6.8400,6.5800,6.5800,75980
2019-11-29,6.9200,7.1000,6.7600,6.8700,48350
2019-11-27,6.7700,7.1000,6.7700,6.8700,78373
2019-11-26,6.7100,6.9600,6.6938,6.8000,45208
2019-11-25,6.5000,6.8000,6.5000,6.6300,45509
2019-11-22,6.2500,6.4200,6.2500,6.4100,54441
2019-11-21,6.4500,6.4700,6.1200,6.4000,80799
2019-11-20,7.1600,7.4800,6.1600,6.3900,115414
2019-11-19,7.2400,7.4001,7.1000,7.1400,105087
2019-11-18,7.1500,7.1602,7.0000,7.1000,82627
2019-11-15,7.3800,7.3800,6.8900,6.9500,81236
2019-11-14,8.0100,8.1316,7.2000,7.6000,35262
2019-11-13,8.1700,8.3000,8.0250,8.2100,43210
2019-11-12,8.3100,8.4500,8.1600,8.1600,63464
2019-11-11,8.3500,8.4657,8.1863,8.3900,75337
2019-11-08,8.5936,8.5936,8.2900,8.3800,71613
2019-11-07,8.4400,8.5500,8.2600,8.3100,72309
2019-11-06,8.3000,8.4000,8.0800,8.2200,77866
2019-11-05,8.3800,8.5900,8.2997,8.3300,66379
2019-11-04,8.3600,8.4400,8.1000,8.3400,70248
2019-11-01,8.7247,8.7247,8.2700,8.3700,91697
2019-10-31,8.7900,9.0000,8.5000,8.6000,72725
2019-10-30,8.3000,9.2700,8.2700,8.8000,44235
2019-10-29,9.7400,9.8000,8.9212,9.2100,43361
2019-10-28,9.3100,9.8000,8.1800,9.3500,98562
2019-10-25,12.1600,12.5600,7.1900,10.0300,775933
