timestamp,open,high,low,close,volume
2020-06-19,10.4200,10.4200,9.9100,10.1000,1216880
2020-06-18,10.1900,10.6200,10.1100,10.2700,712303
2020-06-17,10.8100,10.9939,10.3300,10.4800,847776
2020-06-16,11.7600,11.8550,11.1850,11.4000,1174299
2020-06-15,10.6200,11.3200,10.3700,11.1000,867910
2020-06-12,10.8100,11.0600,10.4500,10.8300,748073
2020-06-11,10.8900,10.9000,10.0500,10.1900,1205817
2020-06-10,11.6500,11.6908,10.8800,11.1900,804038
2020-06-09,11.8800,11.8800,11.3400,11.7000,630026
2020-06-08,11.8500,11.9400,11.6900,11.8900,828364
2020-06-05,11.5000,11.9400,11.3000,11.4000,903900
2020-06-04,10.8300,11.0600,10.6600,10.9500,668504
2020-06-03,10.5000,10.8800,10.5000,10.7950,832772
2020-06-02,10.5700,10.5800,10.2110,10.4100,646810
2020-06-01,10.1600,10.4900,10.1550,10.3800,468358
2020-05-29,10.0000,10.1600,9.7400,10.1000,691216
2020-05-28,10.5000,10.5000,10.0400,10.0800,1161758
2020-05-27,10.3600,10.3873,9.9740,10.3100,874176
2020-05-26,9.8400,10.0700,9.7400,9.9300,1030448
2020-05-22,9.6400,9.8900,9.2600,9.4700,1374748
2020-05-21,9.7500,10.5400,9.7500,9.9600,1935852
2020-05-20,8.8400,9.1800,8.8400,9.1400,657401
2020-05-19,8.9500,8.9900,8.6300,8.7600,516291
2020-05-18,8.6000,8.9900,8.2800,8.8400,1475397
2020-05-15,8.1300,8.3800,7.9900,8.2000,297860
2020-05-14,7.7900,8.2199,7.4500,8.1500,451189
2020-05-13,8.2600,8.4600,7.7190,8.0100,548702
2020-05-12,8.6200,8.7100,8.2400,8.2800,305298
2020-05-11,8.7500,8.8000,8.4600,8.6300,284874
2020-05-08,8.7400,8.8700,8.6200,8.7800,326457
2020-05-07,8.4400,8.7600,8.3550,8.5400,595468
2020-05-06,7.9300,8.3900,7.8700,8.3000,509698
2020-05-05,8.2000,8.4800,7.8500,7.9600,705165
2020-05-04,8.4800,8.4800,7.7900,8.0950,722813
2020-05-01,8.6300,8.6400,8.3600,8.5500,357914
2020-04-30,9.0400,9.0400,8.5700,8.8100,438079
2020-04-29,8.5300,9.1900,8.5200,9.1200,666962
2020-04-28,8.9000,9.2100,8.3300,8.3500,984244
2020-04-27,8.2000,8.8000,8.1900,8.7100,847394
2020-04-24,7.4800,8.1000,7.4000,8.0600,464637
2020-04-23,7.4000,7.5900,7.2500,7.4900,490047
2020-04-22,7.5500,7.6400,7.1500,7.3100,517228
2020-04-21,7.3000,7.5800,7.2000,7.3800,417676
2020-04-20,7.6800,7.9200,7.3400,7.5450,717467
2020-04-17,8.1700,8.2500,7.7200,7.8800,823904
2020-04-16,7.9900,8.0639,7.4800,7.6900,991256
2020-04-15,8.3000,8.3200,7.8400,8.0900,1018276
2020-04-14,8.9400,9.0000,8.4110,8.6500,939123
2020-04-13,9.5400,9.7700,8.0601,8.7600,2391024
2020-04-09,7.7300,9.8950,7.7300,9.5800,3489431
2020-04-08,6.6200,7.5650,6.4600,7.3500,1317121
2020-04-07,6.4300,6.9700,6.2700,6.4200,1520272
2020-04-06,5.9200,6.4800,5.8200,5.9900,1316885
2020-04-03,6.0000,6.0329,5.2500,5.4300,1055734
2020-04-02,5.9800,6.3250,5.6050,6.0400,1076641
2020-04-01,6.5700,6.5800,6.0000,6.0100,981262
2020-03-31,7.1500,7.2500,6.5300,6.7500,1333642
2020-03-30,7.7700,7.8000,7.1841,7.2200,941810
2020-03-27,8.3400,8.3865,7.7600,7.7700,1344152
2020-03-26,7.7100,9.3000,7.7100,8.7000,1609516
2020-03-25,6.6600,8.8700,6.6500,7.6400,1801680
2020-03-24,6.4400,7.2750,6.4400,6.5000,1325160
2020-03-23,7.6600,7.6750,6.0201,6.2200,1310761
2020-03-20,7.8400,8.6500,7.6101,7.7500,1177426
2020-03-19,8.4600,8.6200,5.2000,7.7800,2568601
2020-03-18,9.6000,9.7900,8.7700,9.0800,1862084
2020-03-17,10.1100,10.5950,9.7700,10.1100,2161411
2020-03-16,9.9600,10.6801,9.2600,10.0100,1569444
