timestamp,open,high,low,close,volume
2020-06-19,10.0400,10.1300,9.8000,9.9900,89270
2020-06-18,9.9200,10.1300,9.8200,10.0100,84851
2020-06-17,10.3600,10.5300,9.9100,9.9300,90140
2020-06-16,10.2700,10.4700,9.7300,10.2300,125752
2020-06-15,10.3900,10.3900,9.5700,9.8600,157449
2020-06-12,10.8600,10.8600,10.0800,10.3100,193201
2020-06-11,10.5400,10.6500,10.3000,10.3600,208264
2020-06-10,11.5000,11.8500,10.6000,10.6000,207964
2020-06-09,9.5000,11.4900,9.2500,11.3100,269665
2020-06-08,9.4400,9.8000,9.2700,9.6500,78623
2020-06-05,9.6900,9.7400,9.2235,9.3000,87280
2020-06-04,9.2600,9.5700,9.1000,9.3400,80892
2020-06-03,9.4500,9.5600,9.2250,9.3200,60664
2020-06-02,9.2500,9.3300,8.8700,9.3000,67407
2020-06-01,8.9400,9.4100,8.8200,9.1500,63386
2020-05-29,8.8100,9.0350,8.6700,9.0300,37806
2020-05-28,9.5500,9.6583,8.8800,8.8800,36234
2020-05-27,8.6700,9.4300,8.6700,9.3900,48918
2020-05-26,8.2300,9.0700,8.2100,8.5600,65795
2020-05-22,8.1000,8.3000,8.0700,8.1100,100303
2020-05-21,7.9200,8.2500,7.9200,8.1400,57027
2020-05-20,8.0800,8.1800,7.6500,7.7800,42451
2020-05-19,8.2600,8.5400,8.0000,8.0300,74585
2020-05-18,8.3800,8.6000,8.2100,8.3000,58884
2020-05-15,8.3600,8.3600,8.0200,8.1400,31979
2020-05-14,8.2500,8.5400,7.9674,8.3500,40601
2020-05-13,7.9550,8.3000,7.9500,8.2600,44336
2020-05-12,8.9800,9.0450,8.1650,8.1900,69991
2020-05-11,8.5100,9.3700,8.2900,8.8400,65178
2020-05-08,8.1400,8.7500,8.1400,8.6800,36927
2020-05-07,7.6250,7.8500,7.4900,7.8400,40039
2020-05-06,7.4600,7.6078,7.2300,7.5000,29897
2020-05-05,8.1200,8.1200,7.2700,7.2900,37951
2020-05-04,7.9000,8.3000,7.5800,7.6500,55537
2020-05-01,7.8300,7.9600,7.5339,7.9100,36389
2020-04-30,8.4400,8.7240,8.0600,8.0900,32438
2020-04-29,8.6600,9.0400,8.5300,8.5800,91477
2020-04-28,8.7900,9.0149,8.2300,8.3800,45272
2020-04-27,7.7025,8.6100,7.7025,8.6000,69788
2020-04-24,7.7000,7.8000,7.5900,7.7300,18670
2020-04-23,7.4950,7.8000,7.4200,7.6500,44193
2020-04-22,7.3500,7.4800,7.3500,7.4800,38992
2020-04-21,7.2000,7.3573,7.1600,7.2000,51746
2020-04-20,7.0800,7.4700,7.0050,7.1500,25131
2020-04-17,7.0300,7.1600,6.9650,7.1200,26609
2020-04-16,7.3400,7.3900,6.8100,6.8600,35840
2020-04-15,6.6900,7.4700,6.5300,7.3600,95452
2020-04-14,6.8200,7.1300,6.7499,6.9500,63695
2020-04-13,6.8000,6.8000,6.5500,6.6700,38942
2020-04-09,7.2800,7.4000,6.7500,6.8800,43856
2020-04-08,6.5300,7.3800,6.5000,7.0900,66982
2020-04-07,6.6500,6.8200,6.4300,6.4500,64353
2020-04-06,6.2900,6.4800,6.2900,6.4400,25746
2020-04-03,6.5000,6.5000,6.0200,6.0200,51691
2020-04-02,6.5900,7.1800,6.3275,6.4800,30475
2020-04-01,7.0800,7.0800,6.5500,6.6100,79001
2020-03-31,7.3200,7.5500,6.6500,7.3900,73957
2020-03-30,6.9100,7.4400,6.7500,6.9300,26920
2020-03-27,7.1600,7.2900,6.8400,6.8600,32275
2020-03-26,7.0300,7.5200,7.0200,7.3800,56590
2020-03-25,6.9900,7.5400,6.9300,6.9850,87528
2020-03-24,6.2000,7.1800,6.2000,7.1700,104603
2020-03-23,6.0000,6.0000,5.6300,5.9600,125992
2020-03-20,6.9900,7.1200,6.1500,6.1500,102549
2020-03-19,6.3600,7.0200,6.3500,6.9800,53028
2020-03-18,7.3000,8.1500,6.2500,6.6100,73931
2020-03-17,6.7700,8.3500,6.6600,8.1100,111127
2020-03-16,7.1000,7.8500,6.5900,6.6600,140366
2020-03-13,6.8400,6.9099,6.2850,6.8900,69033
2020-03-12,6.9500,6.9500,6.5200,6.5300,62996
2020-03-11,7.2900,7.3400,7.0000,7.2200,56066
2020-03-10,7.1400,7.3100,6.8792,7.2600,79443
2020-03-09,7.1900,7.4600,7.0500,7.1400,49759
2020-03-06,7.6100,8.1000,7.6100,7.8300,36611
2020-03-05,8.1300,8.4100,7.7700,7.9300,36584
2020-03-04,8.1500,8.4200,7.9600,8.3600,30261
2020-03-03,8.0100,8.2800,7.9000,8.0200,36949
