timestamp,open,high,low,close,volume
2020-06-19,2.0900,2.1299,2.0200,2.0500,185441
2020-06-18,2.1500,2.1600,2.0500,2.1100,215885
2020-06-17,2.2200,2.2500,2.0950,2.1500,226599
2020-06-16,2.0500,2.1700,1.9900,2.1559,373865
2020-06-15,2.1100,2.1800,1.9400,1.9700,897310
2020-06-12,2.3000,2.3500,2.0400,2.2800,597946
2020-06-11,2.3500,2.3700,2.2300,2.2400,561421
2020-06-10,2.5700,2.5700,2.1600,2.4700,751164
2020-06-09,2.6400,2.6400,2.4500,2.5000,659476
2020-06-08,2.6300,2.7900,2.4700,2.6100,1778941
2020-06-05,2.4400,2.6900,2.3400,2.4700,959114
2020-06-04,2.2000,2.3800,2.1900,2.3000,508119
2020-06-03,2.2100,2.2100,2.1200,2.1900,112924
2020-06-02,2.2200,2.2800,2.0900,2.1500,226666
2020-06-01,2.0600,2.2400,2.0400,2.2000,309003
2020-05-29,2.0000,2.0900,2.0000,2.0400,136898
2020-05-28,2.0500,2.0800,1.9900,2.0000,118322
2020-05-27,2.1100,2.1200,1.9700,2.0000,141093
2020-05-26,2.1100,2.1500,2.0100,2.1000,250486
2020-05-22,2.0100,2.0800,1.9200,2.0100,241451
2020-05-21,2.0600,2.5800,1.9500,2.0000,2388360
2020-05-20,1.9000,2.1500,1.8100,2.0300,681930
2020-05-19,1.9200,1.9350,1.8500,1.9000,65033
2020-05-18,1.8600,1.9000,1.7200,1.9000,168705
2020-05-15,1.7600,1.8068,1.7300,1.7600,52478
2020-05-14,1.7800,1.8400,1.6999,1.7400,136104
2020-05-13,1.8800,1.9000,1.7604,1.8500,76806
2020-05-12,1.9900,1.9900,1.8201,1.9100,141548
2020-05-11,1.7900,1.9900,1.7900,1.9500,211032
2020-05-08,1.7300,1.8100,1.7300,1.7700,98219
2020-05-07,1.7100,1.7500,1.6000,1.7300,90525
2020-05-06,1.8300,1.9300,1.7200,1.7200,111641
2020-05-05,1.8500,1.8500,1.6500,1.7100,304995
2020-05-04,1.9400,1.9400,1.7100,1.8500,128519
2020-05-01,2.1500,2.1600,1.8100,1.8900,699062
2020-04-30,1.9800,1.9800,1.7700,1.9200,71190
2020-04-29,1.8600,1.9802,1.7600,1.9577,299443
2020-04-28,1.7500,1.8300,1.7000,1.7918,118378
2020-04-27,1.7500,1.8200,1.7349,1.7900,171266
2020-04-24,1.5800,1.7400,1.5800,1.6900,115346
2020-04-23,1.5900,1.6400,1.5900,1.6000,71256
