timestamp,open,high,low,close,volume
2020-06-19,0.6332,0.7400,0.6330,0.6688,1364387
2020-06-18,0.6150,0.6290,0.6000,0.6274,221631
2020-06-17,0.6261,0.7200,0.5860,0.6299,1022274
2020-06-16,0.6350,0.6900,0.6006,0.6194,434353
2020-06-15,0.5704,0.6658,0.5600,0.5961,440785
2020-06-12,0.6340,0.6900,0.5661,0.6350,364450
2020-06-11,0.6500,0.7398,0.6180,0.6311,448021
2020-06-10,0.8400,0.8400,0.7100,0.7600,385275
2020-06-09,0.6800,0.9000,0.6501,0.8750,3239264
2020-06-08,0.6430,0.6509,0.6011,0.6420,291830
2020-06-05,0.6847,0.7000,0.6406,0.6536,207035
2020-06-04,0.7498,0.7498,0.6308,0.6745,418087
2020-06-03,0.6322,0.8018,0.6100,0.7100,1474035
2020-06-02,0.6700,0.6700,0.6100,0.6300,336271
2020-06-01,0.6390,0.6890,0.5840,0.6500,1141350
2020-05-29,0.5419,0.7000,0.5200,0.6500,1757685
2020-05-28,0.5613,0.5613,0.5126,0.5377,176544
2020-05-27,0.5090,0.6500,0.4810,0.5490,1069474
2020-05-26,0.4482,0.5650,0.4211,0.5280,1248414
2020-05-22,0.4900,0.4903,0.4100,0.4500,162384
2020-05-21,0.4695,0.4991,0.4556,0.4765,283827
2020-05-20,0.4950,0.5090,0.4303,0.5000,450043
2020-05-19,0.5000,0.5400,0.4600,0.4999,1014754
2020-05-18,0.4490,0.7890,0.4200,0.5248,5577757
2020-05-15,0.3588,0.3890,0.2900,0.3200,508462
2020-05-14,0.3600,0.3600,0.2801,0.3471,320509
2020-05-13,0.4100,0.4100,0.3000,0.3138,272356
2020-05-12,0.3950,0.4300,0.3500,0.4048,175668
2020-05-11,0.4499,0.4500,0.3936,0.3936,38781
2020-05-08,0.4443,0.4443,0.4000,0.4000,50922
2020-05-07,0.4297,0.4508,0.4100,0.4100,16223
2020-05-06,0.4287,0.4652,0.4102,0.4294,22563
2020-05-05,0.4567,0.4700,0.4001,0.4220,246299
2020-05-04,0.4880,0.5000,0.4001,0.4203,109707
2020-05-01,0.5300,0.5433,0.4510,0.4530,48606
2020-04-30,0.5421,0.5600,0.5355,0.5450,8331
2020-04-29,0.5079,0.7075,0.5036,0.5150,366958
2020-04-28,0.5100,0.5499,0.4600,0.5120,97464
2020-04-27,0.4705,0.5040,0.4501,0.4800,7852
2020-04-24,0.5100,0.5100,0.4700,0.4700,11063
2020-04-23,0.5050,0.5470,0.4600,0.5000,12609
2020-04-22,0.5565,0.5565,0.4690,0.5200,31498
2020-04-21,0.5151,0.5153,0.5000,0.5000,12196
2020-04-20,0.6000,0.6800,0.4400,0.5001,33850
2020-04-17,0.5897,0.6899,0.3701,0.5899,44755
2020-04-16,0.6850,0.7150,0.5596,0.6159,35620
2020-04-15,0.6000,0.6969,0.5195,0.6500,24644
2020-04-14,0.4900,0.6000,0.4500,0.6000,53363
2020-04-13,0.5050,0.5279,0.4800,0.4901,23560
2020-04-09,0.5000,0.5280,0.4080,0.5076,4083
2020-04-08,0.4980,0.5000,0.4841,0.4900,11592
2020-04-07,0.5000,0.5000,0.4600,0.4722,26639
2020-04-06,0.4901,0.5380,0.4673,0.5000,30608
2020-04-03,0.5000,0.5413,0.3500,0.4680,32514
2020-04-02,0.4945,0.5980,0.4945,0.5500,20230
2020-04-01,0.5103,0.6249,0.5103,0.6000,1342
2020-03-31,0.6399,0.6580,0.6000,0.6000,15495
2020-03-30,0.6100,0.6100,0.5095,0.5980,848
2020-03-27,0.8300,0.8300,0.5200,0.6700,1683
2020-03-26,0.7050,0.7860,0.7050,0.7829,3280
2020-03-25,0.7500,0.7500,0.6800,0.6800,10355
2020-03-24,0.7300,0.7540,0.6260,0.7000,5825
2020-03-23,0.5650,1.0000,0.5650,0.8636,4694
2020-03-20,0.7000,0.7100,0.5500,0.5500,39803
2020-03-19,0.6743,0.7000,0.6100,0.6100,9461
2020-03-18,0.6800,0.8501,0.6500,0.7547,17936
2020-03-17,0.6500,0.8300,0.6500,0.7000,2059
