timestamp,open,high,low,close,volume
2020-06-19,2.6200,2.6350,2.5500,2.5700,227202
2020-06-18,2.6400,2.6800,2.5700,2.5800,176059
2020-06-17,2.5100,2.6900,2.5100,2.6100,215066
2020-06-16,2.6900,2.7000,2.5100,2.5100,267730
2020-06-15,2.6000,2.7000,2.5800,2.6400,285320
2020-06-12,2.4600,2.6400,2.4600,2.6100,731562
2020-06-11,2.6100,2.6200,2.3800,2.4300,289918
2020-06-10,2.6400,2.6600,2.6200,2.6200,186026
2020-06-09,2.7300,2.7400,2.6300,2.6400,181778
2020-06-08,2.6900,2.7800,2.6600,2.7400,458521
2020-06-05,2.6700,2.7300,2.6400,2.6600,358977
2020-06-04,2.7000,2.7300,2.6100,2.6400,751215
2020-06-03,2.6900,2.7400,2.6700,2.6900,190545
2020-06-02,2.6100,2.6900,2.5810,2.6700,189899
2020-06-01,2.5900,2.6500,2.5800,2.5900,177904
2020-05-29,2.5900,2.6600,2.5795,2.6100,170756
2020-05-28,2.5800,2.6550,2.5500,2.5800,178720
2020-05-27,2.6800,2.6800,2.5500,2.5800,244886
2020-05-26,2.7500,2.7500,2.6000,2.6200,425807
2020-05-22,2.4000,2.6400,2.4000,2.5750,418426
2020-05-21,2.2500,2.4300,2.2400,2.3900,1719326
2020-05-20,2.2400,2.2950,2.2000,2.2500,120560
2020-05-19,2.2300,2.3000,2.2000,2.2400,138755
2020-05-18,2.3100,2.3200,2.2300,2.2400,186474
2020-05-15,2.2500,2.3200,2.2200,2.2900,101809
2020-05-14,2.2200,2.3641,2.2000,2.2700,143431
2020-05-13,2.4500,2.4500,2.2600,2.2700,216156
2020-05-12,2.2900,2.5000,2.2700,2.4800,294432
2020-05-11,2.2200,2.4300,2.2200,2.3000,431106
2020-05-08,2.1100,2.2900,2.0999,2.2500,443603
2020-05-07,2.1500,2.1500,1.9900,2.0900,345408
2020-05-06,2.0600,2.0600,2.0100,2.0300,96824
2020-05-05,2.0300,2.1000,2.0171,2.0500,135948
2020-05-04,1.9700,2.0300,1.9400,2.0000,105675
2020-05-01,2.0000,2.0550,1.9598,1.9800,93064
2020-04-30,2.0300,2.0450,1.9900,2.0000,81667
2020-04-29,1.9700,2.0500,1.9550,2.0300,269040
2020-04-28,1.9600,1.9700,1.9400,1.9500,73597
2020-04-27,1.9700,1.9800,1.8924,1.9550,207252
2020-04-24,1.9800,1.9800,1.9400,1.9600,128688
2020-04-23,1.9000,1.9900,1.8550,1.9500,211433
2020-04-22,1.8900,1.9100,1.8596,1.8900,99021
