timestamp,open,high,low,close,volume
2020-06-19,11.2900,11.3090,11.0700,11.0700,9380
2020-06-18,11.1293,11.3500,11.1293,11.1813,10443
2020-06-17,11.4000,11.4100,11.2650,11.2650,5518
2020-06-16,11.7600,11.8900,11.3300,11.4450,25194
2020-06-15,10.9700,11.3500,10.8902,11.2400,20424
2020-06-12,11.1650,11.2193,10.8701,11.1200,11226
2020-06-11,11.3100,11.3100,10.7500,10.8000,22795
2020-06-10,12.0000,12.0000,11.5000,11.6000,15839
2020-06-09,12.2000,12.2000,11.9569,11.9850,10436
2020-06-08,12.1300,12.2900,12.0734,12.2900,14591
2020-06-05,11.6600,11.9899,11.6600,11.8200,12215
2020-06-04,11.3400,11.4600,11.2387,11.4600,8825
2020-06-03,11.1700,11.3500,11.0600,11.2966,12250
2020-06-02,11.0600,11.0999,11.0127,11.0611,14550
2020-06-01,10.7800,10.9700,10.7700,10.9450,9621
2020-05-29,10.7500,10.8200,10.6400,10.8000,11039
2020-05-28,10.9800,10.9800,10.8050,10.8100,7841
2020-05-27,10.9500,10.9799,10.6700,10.8800,13327
2020-05-26,10.7800,10.8100,10.6800,10.7450,12931
2020-05-22,10.3750,10.4400,10.3450,10.4312,7437
2020-05-21,10.3500,10.4300,10.3010,10.3938,7779
2020-05-20,10.3400,10.3479,10.2600,10.3200,7763
2020-05-19,10.1000,10.2400,10.0300,10.1500,7549
2020-05-18,9.7700,10.1400,9.7700,10.1000,11588
2020-05-15,9.5700,9.7100,9.5700,9.6700,8782
2020-05-14,9.3700,9.6641,9.1900,9.6400,13253
2020-05-13,9.7500,9.7900,9.4240,9.5300,4799
2020-05-12,10.0000,10.0299,9.8953,9.8953,3168
2020-05-11,10.0000,10.0665,9.9100,9.9850,11784
2020-05-08,9.8800,10.0567,9.8800,10.0567,9200
2020-05-07,9.6800,9.9650,9.6800,9.7982,3588
2020-05-06,9.6400,9.6990,9.6300,9.6737,5327
2020-05-05,9.7600,9.9700,9.6527,9.7150,9285
2020-05-04,9.6200,9.7800,9.5484,9.7203,11150
2020-05-01,10.0500,10.0500,9.7400,9.7700,6857
2020-04-30,10.3400,10.3400,10.0717,10.1545,14769
2020-04-29,10.0900,10.4100,10.0364,10.3300,10754
2020-04-28,9.8400,9.9600,9.7800,9.8500,4138
2020-04-27,9.4700,9.7500,9.4650,9.7150,6415
2020-04-24,9.4600,9.5100,9.3530,9.5100,2527
2020-04-23,9.3200,9.5427,9.3200,9.3969,2159
2020-04-22,9.3000,9.4200,9.2700,9.3191,5619
2020-04-21,9.2400,9.2973,9.1306,9.2450,4374
2020-04-20,9.4100,9.5840,9.2700,9.2700,10256
2020-04-17,9.5530,9.6532,9.4900,9.5610,2941
2020-04-16,9.5600,9.5600,9.2100,9.2240,8177
2020-04-15,9.4200,9.5865,9.3300,9.3900,11804
2020-04-14,10.0800,10.0800,9.8000,9.9300,8943
2020-04-13,9.7100,9.7500,9.4263,9.6700,11026
2020-04-09,9.1500,10.0600,9.1500,9.7000,23466
2020-04-08,8.4100,9.1800,8.4100,9.1090,10253
2020-04-07,8.1900,8.9287,8.1900,8.5950,33231
2020-04-06,8.0000,8.3800,8.0000,8.1800,5800
2020-04-03,8.1400,8.1400,7.6100,7.7400,8851
2020-04-02,8.2100,8.3550,8.1297,8.1989,4315
2020-04-01,8.6000,8.6000,8.1200,8.1216,11505
2020-03-31,8.9866,8.9866,8.7600,8.7887,16954
2020-03-30,9.0900,9.0900,8.2702,8.7300,9475
2020-03-27,9.1000,9.1100,8.8022,8.9800,8143
2020-03-26,8.4000,9.4490,8.4000,8.9910,8090
2020-03-25,8.1600,8.8955,7.7301,8.3700,23975
2020-03-24,7.7800,8.1300,7.6100,7.8917,29343
2020-03-23,7.7500,7.7886,6.7000,7.3200,32808
2020-03-20,8.4999,8.8200,7.9200,8.1250,19005
2020-03-19,6.9800,8.1800,6.7900,7.8787,38713
2020-03-18,8.8800,8.8800,6.8100,7.2500,48927
2020-03-17,9.0200,9.6225,8.7500,8.9700,124631
2020-03-16,10.1100,10.7700,9.2800,9.2800,52571
2020-03-13,10.6650,10.6650,10.1000,10.5000,22729
2020-03-12,11.8400,11.8400,10.1900,10.2126,33189
2020-03-11,12.2900,12.2900,11.6500,11.6500,28040
2020-03-10,12.6600,12.6600,12.0000,12.2900,15098
2020-03-09,12.7600,13.0000,12.0300,12.2571,72529
2020-03-06,13.2600,13.5200,13.2592,13.3300,8193
2020-03-05,13.8550,13.8550,13.6600,13.7000,13862
2020-03-04,13.6000,14.0300,13.6000,13.9800,13536
2020-03-03,14.0500,14.0800,13.7450,13.7750,16300
2020-03-02,13.3000,13.8353,13.3000,13.8100,32460
2020-02-28,13.4500,13.4500,13.0600,13.3208,32998
2020-02-27,14.1700,14.1700,13.7000,13.7250,36178
2020-02-26,14.2700,14.4334,14.2300,14.2450,13708
2020-02-25,14.8000,14.8000,14.2000,14.2600,34687
2020-02-24,14.8400,14.8400,14.6850,14.7300,52999
2020-02-21,14.9700,15.0137,14.9300,14.9674,16214
2020-02-20,15.0300,15.0450,15.0000,15.0450,6997
2020-02-19,15.1000,15.1000,14.9850,14.9850,6096
2020-02-18,15.0100,15.0460,15.0025,15.0250,10512
2020-02-14,15.0100,15.0200,15.0000,15.0150,6943
2020-02-13,14.9947,15.0099,14.9739,14.9900,16374
2020-02-12,14.9800,14.9900,14.9771,14.9800,3800
2020-02-11,14.8800,14.9400,14.8800,14.9154,39007
2020-02-10,14.8600,14.8927,14.8500,14.8850,4896
2020-02-07,14.8747,14.9099,14.8639,14.8750,9807
2020-02-06,14.9400,14.9500,14.9000,14.9060,10427
2020-02-05,14.7700,14.8951,14.7700,14.8951,12241
2020-02-04,14.9300,14.9500,14.9200,14.9200,5367
2020-02-03,14.8000,14.9098,14.8000,14.8450,7892
2020-01-31,14.8500,14.8900,14.8050,14.8050,6199
2020-01-30,14.9250,14.9331,14.8800,14.9150,8134
2020-01-29,14.9200,14.9849,14.9200,14.9550,8284
2020-01-28,14.8400,14.9286,14.8400,14.9250,8519
2020-01-27,14.9000,14.9000,14.8251,14.8527,27170
2020-01-24,15.0700,15.0898,14.9160,14.9500,7512
2020-01-23,15.0400,15.0499,14.9850,15.0400,6253
2020-01-22,15.1000,15.1000,15.0219,15.0314,9613
2020-01-21,15.0800,15.0800,15.0100,15.0297,42110
2020-01-17,15.0600,15.1200,15.0400,15.0750,194805
2020-01-16,15.0600,15.0700,15.0500,15.0600,8367
2020-01-15,14.9900,15.0299,14.9754,15.0150,8128
2020-01-14,14.9650,14.9865,14.9400,14.9750,15223
2020-01-13,14.8800,14.9793,14.8714,14.9400,27281
2020-01-10,14.8800,14.9000,14.8400,14.8850,45105
2020-01-09,14.8473,14.9199,14.8473,14.9000,13354
2020-01-08,14.8700,14.8937,14.8000,14.8500,21176
2020-01-07,14.8800,14.8800,14.8268,14.8700,11273
2020-01-06,14.8400,14.8900,14.8000,14.8700,29193
2020-01-03,14.7950,14.8587,14.7950,14.8300,8094
2020-01-02,14.8263,14.8400,14.7400,14.7985,29315
2019-12-31,14.7200,14.8039,14.7200,14.7900,20727
2019-12-30,15.0100,15.0100,14.7453,14.7600,16278
2019-12-27,15.1500,15.1500,15.0400,15.0400,4659
2019-12-26,15.0800,15.0800,15.0000,15.0389,4182
2019-12-24,14.9200,15.0000,14.9200,14.9950,2998
2019-12-23,14.9600,14.9810,14.9400,14.9450,11546
2019-12-20,15.0000,15.0000,14.9501,14.9703,11297
2019-12-19,14.9300,14.9900,14.9300,14.9597,3085
2019-12-18,14.9200,14.9689,14.9000,14.9400,8822
2019-12-17,14.8600,14.9247,14.8500,14.9100,9203
2019-12-16,14.7400,14.8764,14.7400,14.8750,19057
2019-12-13,14.6900,14.7400,14.6900,14.7350,8343
2019-12-12,14.6600,14.7984,14.6600,14.7205,5447
2019-12-11,14.7100,14.7100,14.6800,14.6950,11500
2019-12-10,14.6600,14.7300,14.6600,14.7174,14510
2019-12-09,14.6800,14.7400,14.6700,14.6950,100942
2019-12-06,14.6807,14.6997,14.6400,14.6834,11061
2019-12-05,14.6200,14.6400,14.6000,14.6261,15340
2019-12-04,14.6219,14.6352,14.5878,14.6299,10467
2019-12-03,14.5900,14.6499,14.5602,14.6342,4748
2019-12-02,14.8000,14.8000,14.6535,14.6600,7669
2019-11-29,14.7650,14.7700,14.7001,14.7250,12495
2019-11-27,14.7000,14.7300,14.6720,14.7150,4605
2019-11-26,14.6900,14.7428,14.6700,14.6950,15317
2019-11-25,14.6800,14.7300,14.6799,14.7000,6332
2019-11-22,14.6600,14.6800,14.6200,14.6600,10455
2019-11-21,14.6900,14.6900,14.5700,14.6350,28041
2019-11-20,14.6900,14.6900,14.6025,14.6500,10752
2019-11-19,14.7000,14.7193,14.6800,14.6850,6655
2019-11-18,14.7500,14.7500,14.6900,14.6900,12168
2019-11-15,14.7200,14.7300,14.6900,14.7200,5830
2019-11-14,14.6900,14.7700,14.6821,14.7200,9712
2019-11-13,14.7100,14.7297,14.6700,14.6800,124136
2019-11-12,14.7600,14.7600,14.7109,14.7312,3827
2019-11-11,14.7600,14.7600,14.7100,14.7100,5550
2019-11-08,14.7341,14.7742,14.7123,14.7123,4041
2019-11-07,14.8290,14.8400,14.7300,14.7600,44409
2019-11-06,14.8450,14.8724,14.8044,14.8150,5458
2019-11-05,14.9900,14.9900,14.8400,14.8540,6215
2019-11-04,15.0200,15.0228,14.9700,15.0000,16112
2019-11-01,14.8600,14.9600,14.8600,14.9200,17633
2019-10-31,14.8199,14.8500,14.8018,14.8500,5095
2019-10-30,14.8500,14.8700,14.7800,14.8600,24433
2019-10-29,14.7956,14.8300,14.7956,14.8300,1808
2019-10-28,14.8600,14.8929,14.8130,14.8200,7520
2019-10-25,14.8620,14.8700,14.8179,14.8495,6639
2019-10-24,14.9010,14.9099,14.8304,14.8304,8661
2019-10-23,14.8500,14.9068,14.8500,14.8800,5063
2019-10-22,14.8800,14.9200,14.8334,14.8792,9863
2019-10-21,14.8000,14.8500,14.7858,14.8343,6710
2019-10-18,14.7500,14.7851,14.7420,14.7537,2694
2019-10-17,14.7300,14.7578,14.7033,14.7300,8447
2019-10-16,14.7100,14.7600,14.6700,14.7600,30610
2019-10-15,14.6700,14.7400,14.6700,14.7101,35290
2019-10-14,14.6400,14.6860,14.6252,14.6473,9471
2019-10-11,14.7000,14.7800,14.6500,14.7100,17410
2019-10-10,14.6397,14.6400,14.5903,14.6012,6287
2019-10-09,14.6200,14.6285,14.5800,14.5900,5912
2019-10-08,14.6400,14.6400,14.5700,14.5850,3501
2019-10-07,14.7000,14.7000,14.6472,14.6747,4895
2019-10-04,14.6200,14.6650,14.6000,14.6360,11815
2019-10-03,14.6200,14.6200,14.5145,14.5501,15841
2019-10-02,14.8300,14.8300,14.6000,14.6500,15198
2019-10-01,14.9616,14.9616,14.8300,14.8300,3863
2019-09-30,14.9700,14.9700,14.9301,14.9600,5862
2019-09-27,14.9750,14.9800,14.8800,14.8800,3748
2019-09-26,14.9400,14.9500,14.9247,14.9401,4225
2019-09-25,14.9121,14.9389,14.9100,14.9377,4394
2019-09-24,14.9825,14.9900,14.8901,14.8901,13905
2019-09-23,14.9400,15.2300,14.7000,14.9800,9606
2019-09-20,14.9700,15.0000,14.9539,14.9620,5109
2019-09-19,15.0900,15.0900,14.9301,14.9478,12078
2019-09-18,14.9100,14.9900,14.8900,14.9900,12500
2019-09-17,14.8450,14.8719,14.8450,14.8719,977
2019-09-16,14.8787,14.9200,14.8531,14.9099,5624
2019-09-13,14.9300,14.9300,14.8800,14.9000,12200
2019-09-12,14.8700,14.8800,14.8410,14.8800,3030
2019-09-11,14.8100,14.8500,14.8100,14.8500,3100
2019-09-10,14.7518,14.7907,14.7368,14.7795,13407
2019-09-09,14.6953,14.7500,14.6953,14.7500,9418
2019-09-06,14.6395,14.6600,14.6201,14.6600,2756
2019-09-05,14.6948,14.7200,14.6156,14.6600,23729
2019-09-04,14.6283,14.7600,14.6200,14.7000,7988
2019-09-03,14.6467,14.6719,14.5787,14.5900,4996
2019-08-30,14.6700,14.6817,14.6401,14.6644,3512
2019-08-29,14.6300,14.6750,14.6100,14.6732,4197
2019-08-28,14.5000,14.6000,14.5000,14.5500,11061
2019-08-27,14.5800,14.7400,14.5697,14.5697,13048
2019-08-26,14.6717,14.6850,14.6100,14.6100,6069
2019-08-23,14.7400,14.7500,14.6284,14.6284,4334
2019-08-22,14.7600,14.8200,14.7001,14.7300,9403
2019-08-21,14.7500,14.7799,14.7201,14.7550,18997
2019-08-20,14.6800,14.7500,14.6800,14.7242,1086
2019-08-19,14.7400,14.7497,14.6900,14.7200,5802
2019-08-16,14.6900,14.6900,14.5825,14.6677,4795
2019-08-15,14.5000,14.5100,14.4300,14.4600,7143
2019-08-14,14.8200,14.8200,14.4800,14.4800,15831
2019-08-13,14.6800,14.7899,14.6800,14.7100,44334
2019-08-12,14.7485,14.7698,14.6500,14.7200,11583
2019-08-09,14.6600,14.8600,14.6600,14.8304,5148
2019-08-08,14.9200,14.9200,14.6800,14.8800,478737
2019-08-07,14.5870,14.7200,14.5701,14.7200,4899
2019-08-06,14.7100,14.7700,14.6100,14.6847,6640
2019-08-05,15.0000,15.0000,14.5500,14.6100,30348
2019-08-02,15.2500,15.2500,15.0000,15.0000,13464
2019-08-01,15.0400,15.1500,15.0181,15.1500,19158
2019-07-31,15.1400,15.2000,15.0900,15.1200,7482
2019-07-30,15.1000,15.1250,15.1000,15.1250,5582
2019-07-29,15.0696,15.1000,15.0509,15.1000,5667
2019-07-26,15.0100,15.0900,15.0000,15.0100,4694
2019-07-25,15.0400,15.1000,15.0400,15.0475,4512
2019-07-24,15.1400,15.1400,15.0601,15.1400,7252
2019-07-23,15.0600,15.0600,15.0000,15.0600,4801
2019-07-22,14.9200,15.0599,14.9200,14.9800,9553
2019-07-19,15.0400,15.0878,15.0000,15.0000,16441
2019-07-18,15.0000,15.0800,15.0000,15.0562,15805
2019-07-17,15.0300,15.0600,15.0001,15.0150,5382
2019-07-16,15.0629,15.1200,15.0500,15.0500,6264
2019-07-15,15.0709,15.1500,15.0700,15.1000,3981
2019-07-12,15.0750,15.1500,15.0421,15.1199,6610
2019-07-11,15.0701,15.1199,15.0686,15.0686,10799
2019-07-10,14.9900,15.1100,14.9900,15.0700,4937
2019-07-09,15.0000,15.0299,14.9401,14.9706,4907
2019-07-08,15.0000,15.0050,14.9500,14.9600,7873
2019-07-05,15.0800,15.0800,14.9000,15.0150,12264
2019-07-03,15.0500,15.0500,14.8980,14.9800,5378
2019-07-02,14.9912,15.0499,14.9724,14.9900,4659
2019-07-01,15.0000,15.0500,14.9330,14.9800,13175
2019-06-28,14.9500,14.9717,14.9252,14.9717,1535
2019-06-27,14.7700,14.9022,14.7700,14.9022,6565
2019-06-26,14.9400,14.9600,14.8500,14.8546,7738
2019-06-25,15.0000,15.0000,14.9000,14.9500,3603
2019-06-24,15.0000,15.0000,14.9201,14.9650,4753
2019-06-21,15.0000,15.0000,14.9000,14.9501,3250
2019-06-20,14.9750,14.9945,14.9200,14.9600,6929
2019-06-19,14.9000,14.9000,14.8700,14.9000,4596
2019-06-18,14.8900,14.9000,14.8701,14.9000,4284
2019-06-17,14.9000,14.9000,14.8000,14.8251,5526
2019-06-14,14.9000,14.9000,14.7981,14.8000,2667
