timestamp,open,high,low,close,volume
2020-06-19,2.4800,2.4900,1.7800,1.8200,125954
2020-06-18,1.8500,2.2000,1.8100,2.0500,66722
2020-06-17,1.9000,1.9499,1.8300,1.8500,19663
2020-06-16,2.0100,2.0100,1.8400,1.9000,28748
2020-06-15,1.9000,1.9400,1.8001,1.9000,37549
2020-06-12,1.9900,1.9900,1.8100,1.8900,13809
2020-06-11,1.7700,2.0000,1.7700,1.8300,41021
2020-06-10,1.9500,1.9500,1.8400,1.8600,22628
2020-06-09,1.9500,1.9500,1.8501,1.9250,5229
2020-06-08,1.8900,1.9200,1.8500,1.8973,12458
2020-06-05,1.9135,1.9200,1.8400,1.9100,10866
2020-06-04,1.9400,1.9500,1.8900,1.9000,11527
2020-06-03,1.8000,1.9400,1.8000,1.8800,25116
2020-06-02,1.7536,1.8600,1.7350,1.8000,58226
2020-06-01,1.6000,1.7700,1.5999,1.7700,14244
2020-05-29,1.6300,1.6300,1.6000,1.6000,41118
2020-05-28,1.6500,1.6500,1.6500,1.6500,8245
2020-05-27,1.6900,1.6900,1.6500,1.6500,3098
2020-05-26,1.7000,1.7000,1.6701,1.6900,3511
2020-05-22,1.6900,1.6900,1.6700,1.6700,27240
2020-05-21,1.7400,1.7400,1.6800,1.6900,2362
2020-05-20,1.5800,1.7500,1.5800,1.6700,5533
2020-05-19,1.7500,1.7500,1.5500,1.5500,8423
2020-05-18,1.7700,1.7700,1.7200,1.7300,2106
2020-05-15,1.7100,1.7200,1.6200,1.7200,1640
2020-05-14,1.8000,1.8000,1.7600,1.7600,4809
2020-05-13,1.7900,1.8500,1.7900,1.8100,20848
2020-05-12,1.7900,1.8500,1.7600,1.8200,14532
2020-05-11,1.7900,1.8400,1.7900,1.8050,4050
2020-05-08,1.7500,1.8000,1.7100,1.7700,16472
2020-05-07,1.8300,1.8500,1.7700,1.7800,1795
2020-05-06,1.8400,1.8500,1.8350,1.8500,2232
2020-05-05,1.7713,1.8000,1.7713,1.8000,1637
2020-05-04,1.8300,1.8400,1.7600,1.7600,29271
2020-05-01,1.7400,1.7900,1.7100,1.7160,4662
2020-04-30,1.7900,1.8100,1.7900,1.8100,518
2020-04-29,1.7400,1.7900,1.7200,1.7900,17776
2020-04-28,1.7700,1.7700,1.7400,1.7400,873
2020-04-27,1.7400,1.7400,1.7100,1.7100,561
2020-04-24,1.7110,1.7400,1.7100,1.7400,1374
2020-04-23,1.7001,1.7300,1.7000,1.7100,3081
2020-04-22,1.7400,1.7400,1.7400,1.7400,1565
2020-04-21,1.6860,1.7400,1.6860,1.7400,711
2020-04-20,1.7800,1.7800,1.7800,1.7800,970
2020-04-17,1.7600,1.7700,1.7400,1.7400,1455
2020-04-16,1.7356,1.8000,1.7356,1.8000,1885
2020-04-15,1.7700,1.7900,1.6800,1.7000,6759
2020-04-14,1.7000,1.7900,1.7000,1.7900,14911
2020-04-13,1.7200,1.7500,1.6500,1.7500,26729
2020-04-09,1.7500,1.7700,1.7100,1.7200,15716
2020-04-08,1.6493,1.7500,1.6250,1.7500,6210
2020-04-07,1.7500,1.7500,1.7400,1.7400,597
2020-04-06,1.7700,1.7700,1.5300,1.6000,13401
2020-04-03,1.6800,1.6900,1.6200,1.6600,25928
2020-04-02,1.6100,1.6300,1.5400,1.5600,8743
2020-04-01,1.6300,1.7300,1.6300,1.6400,6352
2020-03-31,1.7500,1.7600,1.7400,1.7400,6899
2020-03-30,1.8300,1.8300,1.7200,1.7500,9911
2020-03-27,1.7500,1.8100,1.7200,1.7648,11700
2020-03-26,1.7100,1.7499,1.7100,1.7400,760
2020-03-25,1.7300,1.8432,1.6900,1.7500,4966
2020-03-24,1.5301,1.7900,1.5301,1.6100,3836
2020-03-23,1.9900,1.9900,1.4527,1.6300,5347
2020-03-20,1.7600,1.9800,1.7600,1.8600,5010
2020-03-19,1.2000,1.7800,1.2000,1.6100,5021
2020-03-18,1.6700,1.6700,0.9615,1.2300,28404
2020-03-17,1.7900,1.8000,1.6100,1.6100,10467
2020-03-16,2.1200,2.1200,1.5300,1.8800,16994
2020-03-13,2.0500,2.2500,1.8700,2.2500,10118
2020-03-12,2.2000,2.2000,1.8200,1.9700,13628
2020-03-11,2.3040,2.4700,2.1700,2.2100,18793
2020-03-10,2.5000,2.5000,2.2900,2.2900,2586
2020-03-09,2.4600,2.6400,2.2800,2.4500,25669
2020-03-06,2.6117,2.6500,2.4600,2.6400,1280
2020-03-05,2.6300,2.6300,2.4800,2.4800,2687
2020-03-04,2.7200,2.7200,2.5600,2.5700,1332
2020-03-03,2.5700,2.8000,2.5700,2.8000,1899
2020-03-02,2.5200,2.5800,2.5200,2.5721,1046
2020-02-28,2.5400,2.5700,2.4500,2.5400,4761
2020-02-27,2.5527,2.6000,2.5000,2.6000,11742
2020-02-26,2.7800,2.7900,2.6300,2.6300,2924
2020-02-25,2.6301,2.7500,2.5800,2.7400,23787
2020-02-24,2.8000,2.8000,2.6800,2.7900,3482
2020-02-21,2.6800,2.8200,2.6800,2.8200,3602
2020-02-20,2.8700,2.8700,2.7500,2.7500,3231
2020-02-19,2.6700,2.8500,2.6326,2.8500,5680
2020-02-18,2.9200,2.9200,2.6200,2.6200,36295
2020-02-14,2.9200,3.0000,2.9200,2.9200,1801
2020-02-13,3.0500,3.0660,2.7100,2.9600,9070
2020-02-12,3.1000,3.1500,3.0600,3.1500,11404
2020-02-11,3.1000,3.1500,3.0610,3.1300,4467
2020-02-10,3.1400,3.1400,3.0496,3.1000,2076
2020-02-07,3.0900,3.0900,2.9801,3.0800,4219
2020-02-06,3.1300,3.1700,3.0500,3.0800,11400
2020-02-05,2.9300,3.1200,2.9050,3.0800,29225
2020-02-04,2.8100,2.9200,2.8100,2.8800,4095
2020-02-03,2.8900,2.8900,2.7600,2.8200,728
2020-01-31,2.8428,2.8428,2.7700,2.8250,2390
2020-01-30,2.8500,2.9000,2.7900,2.8900,5559
2020-01-29,2.6600,2.8000,2.6600,2.8000,2016
2020-01-28,2.6500,2.6800,2.6500,2.6800,1821
2020-01-27,2.6500,2.6600,2.5500,2.6200,4779
2020-01-24,2.5200,2.6700,2.5200,2.6700,2149
2020-01-23,2.6707,2.6707,2.5300,2.5300,1496
2020-01-22,2.7500,2.7700,2.6400,2.7500,10599
