timestamp,open,high,low,close,volume
2020-06-19,0.9900,1.0500,0.6700,0.7200,946065
2020-06-18,0.6700,0.8400,0.5750,0.7500,2344393
2020-06-17,0.3895,0.4500,0.3895,0.4387,313885
2020-06-16,0.4200,0.4200,0.3629,0.3700,10850
2020-06-15,0.2103,0.4100,0.2103,0.4100,14050
2020-06-12,0.3800,0.4000,0.1214,0.4000,59301
2020-06-11,0.4200,0.4200,0.3714,0.3714,8799
2020-06-10,0.4300,0.4300,0.4050,0.4230,68193
2020-06-09,0.4450,0.4500,0.4449,0.4500,113820
2020-06-08,0.3450,0.4200,0.3125,0.4100,13487
2020-06-05,0.4300,0.4300,0.3900,0.4100,86132
2020-06-04,0.4300,0.4300,0.3500,0.3500,4201
2020-06-03,0.4102,0.4300,0.4000,0.4000,96765
2020-06-02,0.4300,0.4300,0.4297,0.4300,39190
2020-06-01,0.5200,0.5200,0.4100,0.4300,62193
2020-05-29,0.4700,0.4700,0.3730,0.4500,180300
2020-05-28,0.5000,0.5000,0.4400,0.4700,71586
2020-05-27,0.4600,0.5000,0.4000,0.4700,10300
2020-05-26,0.4700,0.4799,0.4700,0.4700,698
2020-05-22,0.3650,0.4631,0.3375,0.4000,4701
2020-05-21,0.3699,0.3699,0.3699,0.3699,100
2020-05-20,0.3800,0.3900,0.3399,0.3735,61654
2020-05-19,0.2500,0.3400,0.2500,0.3400,55431
2020-05-18,0.3173,0.3699,0.2977,0.3200,64189
2020-05-15,0.3000,0.3182,0.2900,0.3169,302300
2020-05-14,0.2460,0.2890,0.2460,0.2800,2705
2020-05-13,0.2800,0.3149,0.2499,0.2499,46716
2020-05-12,0.3200,0.3500,0.2500,0.2799,204178
2020-05-11,0.1900,0.2000,0.1900,0.2000,111027
2020-05-08,0.1401,0.1401,0.1401,0.1401,4312
2020-05-07,0.1700,0.1709,0.1551,0.1551,1164
2020-05-06,0.1700,0.1700,0.1700,0.1700,15
2020-05-05,0.1301,0.1700,0.1200,0.1700,46687
2020-05-01,0.1200,0.1300,0.1200,0.1300,870
2020-04-30,0.0880,0.1401,0.0880,0.1401,2692
2020-04-29,0.1500,0.1900,0.1301,0.1800,358201
2020-04-28,0.1300,0.1400,0.1200,0.1301,997652
2020-04-24,0.1200,0.1200,0.1200,0.1200,50000
2020-04-22,0.1202,0.1202,0.1202,0.1202,500
2020-04-21,0.1200,0.1200,0.1200,0.1200,6872
2020-04-17,0.1000,0.1200,0.1000,0.1200,84716
2020-04-16,0.1200,0.1200,0.1200,0.1200,100
2020-04-15,0.1300,0.1300,0.1300,0.1300,28
2020-04-14,0.1000,0.1300,0.1000,0.1300,81500
2020-04-13,0.1000,0.1000,0.0900,0.1000,114301
2020-04-09,0.1000,0.1000,0.1000,0.1000,354
2020-04-08,0.1000,0.1000,0.0996,0.0996,200
2020-04-07,0.1000,0.1000,0.1000,0.1000,102
2020-04-06,0.1000,0.1000,0.1000,0.1000,51000
2020-04-02,0.0999,0.1000,0.0800,0.0996,63809
2020-04-01,0.0836,0.1000,0.0600,0.1000,73602
2020-03-31,0.0801,0.2400,0.0800,0.1767,64507
2020-03-30,0.0751,0.1000,0.0751,0.0851,2638
2020-03-27,0.3300,0.3300,0.0751,0.1255,29810
2020-03-26,0.1500,0.3355,0.0999,0.1800,30875
2020-03-25,0.1000,0.1100,0.1000,0.1001,71991
2020-03-24,0.0701,0.0701,0.0701,0.0701,6400
2020-03-23,0.0900,0.1000,0.0600,0.0600,103498
2020-03-20,0.1200,0.1200,0.0800,0.0800,204214
2020-03-19,0.1200,0.1200,0.1000,0.1200,91300
2020-03-18,0.3250,0.3250,0.1201,0.1201,1900
2020-03-17,0.1594,0.1594,0.1394,0.1400,22035
2020-03-16,0.1800,0.2000,0.1401,0.1401,135800
2020-03-13,0.2000,0.2002,0.1601,0.1800,98563
2020-03-12,0.2662,0.2999,0.2500,0.2500,83000
2020-03-10,0.3500,0.3500,0.3500,0.3500,14
2020-03-09,0.3500,0.3500,0.3500,0.3500,400
2020-03-05,0.3500,0.3800,0.3191,0.3800,14269
2020-03-04,0.3800,0.3800,0.3800,0.3800,10400
2020-03-03,0.3500,0.3500,0.3500,0.3500,1500
2020-03-02,0.3900,0.3900,0.3600,0.3600,11700
2020-02-28,0.3500,0.3600,0.3443,0.3600,6604
2020-02-27,0.3900,0.3900,0.3900,0.3900,1000
2020-02-25,0.4000,0.4000,0.4000,0.4000,5475
2020-02-20,0.4000,0.4000,0.4000,0.4000,50000
2020-02-19,0.4100,0.4100,0.4100,0.4100,25
2020-02-18,0.4200,0.4200,0.4100,0.4100,20100
2020-02-14,0.4200,0.4200,0.4200,0.4200,25800
2020-02-13,0.4200,0.4200,0.4200,0.4200,25000
2020-02-12,0.4200,0.4200,0.4200,0.4200,10900
2020-02-11,0.4300,0.4300,0.4300,0.4300,8450
2020-02-10,0.4200,0.4300,0.4150,0.4296,5300
2020-01-31,0.4300,0.4300,0.4288,0.4288,1030
2020-01-24,0.4500,0.4500,0.4200,0.4200,201166
2020-01-23,0.4400,0.4400,0.4400,0.4400,1269
2020-01-21,0.4499,0.4499,0.4499,0.4499,100
2020-01-17,0.4000,0.4499,0.4000,0.4300,33500
2020-01-16,0.4000,0.4450,0.4000,0.4450,50600
2020-01-15,0.4000,0.4000,0.4000,0.4000,50000
2020-01-14,0.3800,0.3800,0.3800,0.3800,5000
2020-01-13,0.4300,0.4400,0.4000,0.4000,11101
2020-01-10,0.4499,0.4499,0.4499,0.4499,100
2020-01-09,0.4499,0.4499,0.4000,0.4499,300
2020-01-08,0.4000,0.4500,0.4000,0.4300,4000
2020-01-07,0.3500,0.4000,0.3500,0.3800,153100
2019-12-30,0.3200,0.3200,0.3101,0.3101,1000
2019-12-26,0.3300,0.3300,0.3300,0.3300,300
2019-12-17,0.3200,0.3200,0.3198,0.3199,3510
2019-12-13,0.3100,0.3100,0.3100,0.3100,50900
2019-12-09,0.3200,0.3200,0.3200,0.3200,1000
2019-12-04,0.3101,0.3500,0.2666,0.3200,499500
2019-12-03,0.3200,0.3400,0.3100,0.3200,1800
2019-11-29,0.3200,0.3200,0.3200,0.3200,18810
2019-11-21,0.3500,0.3500,0.3200,0.3200,526000
2019-11-20,0.3400,0.3400,0.3400,0.3400,50300
