timestamp,open,high,low,close,volume
2020-06-19,10.0600,10.5000,10.0600,10.5000,1448
2020-06-18,10.4300,10.4300,10.1500,10.2550,1064
2020-06-17,10.2829,10.2829,10.2829,10.2829,441
2020-06-16,10.0100,10.0100,10.0100,10.0100,405
2020-06-15,9.9400,10.2666,9.9400,10.0100,4873
2020-06-12,10.0600,10.4524,10.0600,10.0600,2098
2020-06-11,10.2750,10.3110,10.2075,10.2075,3439
2020-06-10,10.3601,10.3601,10.3513,10.3513,2830
2020-06-09,10.7500,10.7500,10.6900,10.6900,2083
2020-06-08,10.2100,11.5000,10.2100,10.6900,8694
2020-06-05,10.0800,10.2000,10.0000,10.1000,18022
2020-06-04,10.0000,10.0000,9.7601,9.9600,1703
2020-06-03,10.0300,10.0300,9.9900,10.0000,11347
2020-06-02,10.0650,10.4000,10.0000,10.0000,10539
2020-06-01,10.0149,10.5000,10.0149,10.5000,1640
2020-05-29,10.7000,10.7000,10.1000,10.2000,2644
2020-05-28,9.7300,9.7300,9.7300,9.7300,345
2020-05-27,10.0000,10.0000,9.9990,10.0000,65791
2020-05-26,9.9500,9.9500,9.9500,9.9500,47
2020-05-22,9.4630,10.0200,9.4630,9.9500,5185
2020-05-21,10.0500,10.0500,10.0000,10.0000,780
2020-05-20,10.1400,10.1400,10.1400,10.1400,521
2020-05-19,10.0000,10.0000,10.0000,10.0000,347
2020-05-18,10.1700,10.1700,10.1200,10.1200,1036
2020-05-15,9.6200,9.6200,9.1000,9.1200,2585
2020-05-14,9.6200,9.9738,9.6200,9.7400,1585
2020-05-13,9.7747,9.7747,9.7747,9.7747,1500
2020-05-12,10.1700,10.1700,10.1700,10.1700,87
2020-05-11,10.1800,10.2111,10.1700,10.1700,3208
2020-05-08,10.2400,10.2400,10.2400,10.2400,5
2020-05-07,10.0600,10.2400,10.0600,10.2400,978
2020-05-06,9.8700,9.8700,9.8700,9.8700,495
2020-05-05,10.0100,10.0100,9.9000,9.9453,7803
2020-05-04,9.6900,10.0000,9.6900,10.0000,4264
2020-05-01,9.1800,9.7600,9.1800,9.5000,4279
2020-04-30,9.6200,9.6200,9.4100,9.4100,2709
2020-04-29,9.3000,9.9300,9.3000,9.6200,4059
2020-04-28,9.2010,10.0100,9.2010,9.2700,2763
2020-04-27,10.0000,10.0000,8.9901,9.9220,14320
2020-04-24,9.9500,9.9500,9.5600,9.5600,5218
2020-04-23,9.5500,9.5500,9.0100,9.0100,7204
2020-04-22,10.8900,10.8900,9.4800,9.4800,1862
2020-04-21,9.9000,9.9000,9.3400,9.6722,779
2020-04-20,10.0000,10.0200,9.9000,9.9000,1261
2020-04-17,10.4200,10.4200,10.3800,10.4100,1606
2020-04-16,10.6800,10.6800,9.1701,9.6700,3790
2020-04-15,10.1300,10.1800,10.1300,10.1800,1470
2020-04-14,10.4000,10.4000,10.2000,10.2502,1656
2020-04-13,9.3100,10.2300,9.2100,10.1900,4246
2020-04-09,9.0000,9.2900,8.7600,9.2900,3051
2020-04-08,8.9510,8.9510,8.9510,8.9510,483496
2020-04-07,8.9510,8.9510,8.9510,8.9510,190
2020-04-06,8.5250,9.2400,8.5250,9.2400,849
2020-04-03,8.2027,8.4100,8.1400,8.2900,2289
2020-04-02,9.0000,9.2900,8.5000,8.5000,1636
2020-04-01,8.6452,8.6596,8.6452,8.6596,441
2020-03-31,9.2500,9.2900,8.6200,8.6200,6982
2020-03-30,9.9281,9.9281,9.2900,9.2900,617
2020-03-27,8.7700,9.9000,8.7500,9.2100,10944
2020-03-26,8.8400,8.8400,8.4100,8.4100,1283
2020-03-25,8.0000,8.2977,8.0000,8.0000,4347
2020-03-24,8.0000,8.0400,8.0000,8.0400,1634
2020-03-23,8.0600,8.0600,8.0600,8.0600,1506
