timestamp,open,high,low,close,volume
2020-06-19,1.8100,1.8400,1.7100,1.7400,181413
2020-06-18,1.6900,1.8700,1.6900,1.8200,405590
2020-06-17,1.7000,1.7901,1.6500,1.7500,475119
2020-06-16,1.7600,1.8500,1.7000,1.7500,283803
2020-06-15,1.6200,1.7902,1.6000,1.7600,329948
2020-06-12,1.7700,1.9100,1.6600,1.7700,518211
2020-06-11,1.5700,1.7100,1.5000,1.6700,535881
2020-06-10,2.4500,2.4900,1.8500,1.8700,2116527
2020-06-09,1.7300,2.1400,1.7300,2.0500,2195583
2020-06-08,1.8500,1.8700,1.7200,1.7900,625276
2020-06-05,1.9500,1.9600,1.8500,1.8700,401963
2020-06-04,2.0200,2.0800,1.9200,1.9400,1016404
2020-06-03,2.6000,2.6500,2.1000,2.3000,3128436
2020-06-02,4.3500,5.3000,2.6500,2.8700,78258010
2020-06-01,1.3600,1.3600,1.2101,1.3400,43719
2020-05-29,1.3900,1.3900,1.3000,1.3200,45891
2020-05-28,1.4600,1.4700,1.3000,1.3900,96370
2020-05-27,1.5000,1.6598,1.2500,1.4800,202145
2020-05-26,1.4300,1.5800,1.4300,1.4900,167941
2020-05-22,1.2300,1.4900,1.1828,1.3700,214568
2020-05-21,1.1300,1.3800,1.1000,1.2000,381957
2020-05-20,1.1000,1.1300,1.0700,1.1000,42587
2020-05-19,1.1100,1.2300,1.0700,1.0900,112055
2020-05-18,1.1500,1.1500,1.0000,1.1100,92467
2020-05-15,1.0200,1.1500,0.9950,1.1300,74808
2020-05-14,1.0100,1.0900,0.9500,1.0200,30615
2020-05-13,1.0800,1.0900,0.9240,1.0100,84490
2020-05-12,1.2400,1.2400,1.0400,1.0800,84725
2020-05-11,1.2200,1.2700,1.1100,1.2000,158668
2020-05-08,1.1400,1.2400,1.1000,1.2000,133052
2020-05-07,1.2600,1.2850,1.0300,1.1000,251264
2020-05-06,1.5000,1.5800,1.2200,1.2900,418549
2020-05-05,1.0800,1.5800,0.9744,1.5000,1049330
2020-05-04,0.9337,1.1200,0.9149,1.0300,168542
2020-05-01,0.9451,0.9600,0.8659,0.9299,34116
2020-04-30,0.9854,0.9854,0.9010,0.9099,15590
2020-04-29,0.9500,0.9600,0.9287,0.9500,21676
2020-04-28,0.9750,1.0100,0.9100,0.9500,40209
2020-04-27,0.9430,1.0100,0.9100,0.9663,42495
2020-04-24,0.9300,0.9904,0.8890,0.9598,42392
2020-04-23,1.0200,1.0200,0.9000,0.9300,59641
2020-04-22,1.0400,1.0400,0.9400,0.9501,41250
2020-04-21,0.9900,1.0500,0.9000,0.9800,84369
2020-04-20,1.0000,1.3400,0.9500,1.1200,716629
2020-04-17,0.9029,1.0100,0.9000,0.9701,35353
2020-04-16,0.9800,0.9800,0.8500,0.9029,7003
2020-04-15,0.9800,0.9800,0.8801,0.9780,38384
2020-04-14,0.9870,1.0000,0.9000,0.9521,57272
2020-04-13,1.1200,1.1200,0.8700,0.9400,143555
2020-04-09,0.8500,0.9500,0.7500,0.8320,108503
2020-04-08,0.8300,0.8322,0.7500,0.8260,12720
2020-04-07,0.7840,0.8000,0.7500,0.7942,14014
2020-04-06,0.7600,0.8008,0.7400,0.7692,22112
2020-04-03,0.7600,0.7600,0.7400,0.7499,11260
2020-04-02,0.8001,0.8200,0.7500,0.7500,18070
2020-04-01,0.9362,0.9700,0.8100,0.8349,33235
2020-03-31,1.0500,1.0500,0.8600,0.9600,93989
2020-03-30,0.8000,1.1700,0.8000,1.0027,195388
2020-03-27,0.8600,0.8600,0.6400,0.8200,18017
2020-03-26,0.8900,0.9200,0.7800,0.8643,36978
2020-03-25,0.8600,0.9957,0.8201,0.8800,24080
2020-03-24,0.8000,0.8650,0.7837,0.8537,35625
2020-03-23,0.8284,0.8284,0.7564,0.7650,14648
2020-03-20,0.7216,0.9000,0.6500,0.7900,53360
2020-03-19,0.6700,0.7300,0.6500,0.6545,69149
2020-03-18,0.8299,0.8299,0.6264,0.6600,33330
2020-03-17,0.8500,0.9100,0.7810,0.7904,63088
2020-03-16,0.8300,0.9200,0.8200,0.8750,30211
2020-03-13,0.9100,0.9800,0.9000,0.9000,26789
2020-03-12,0.9100,0.9955,0.9000,0.9210,14107
2020-03-11,0.9500,1.0700,0.9272,1.0500,44066
2020-03-10,1.0375,1.0699,0.9000,0.9300,43397
2020-03-09,1.0500,1.0900,1.0200,1.0300,48684
2020-03-06,1.0601,1.1400,1.0600,1.1200,20453
2020-03-05,1.1500,1.1869,1.0501,1.1000,22447
2020-03-04,1.1200,1.1699,1.1177,1.1512,15049
2020-03-03,1.1300,1.1300,1.0500,1.1200,26374
2020-03-02,1.1200,1.1744,1.1200,1.1403,12974
2020-02-28,1.0900,1.1600,1.0300,1.1474,63668
2020-02-27,1.2100,1.2150,1.0900,1.1700,67404
