timestamp,open,high,low,close,volume
2020-06-19,0.3000,0.3000,0.2200,0.2999,10590
2020-06-18,0.4210,0.4210,0.2987,0.3200,55098
2020-06-17,0.2900,0.5600,0.2600,0.3622,98978
2020-06-16,0.2480,0.2480,0.2480,0.2480,15
2020-06-15,0.2703,0.2703,0.2480,0.2480,9202
2020-06-12,0.2100,0.2932,0.1820,0.2400,267603
2020-06-11,0.2900,0.2900,0.2100,0.2100,12985
2020-06-10,0.3200,0.3500,0.2550,0.2900,202521
2020-06-09,0.2500,0.3200,0.2500,0.3200,23601
2020-06-08,0.2500,0.2500,0.2234,0.2500,27535
2020-06-05,0.2128,0.2499,0.1500,0.1500,7811
2020-06-04,0.1500,0.1500,0.1360,0.1500,13300
2020-06-03,0.1400,0.1500,0.1400,0.1500,3000
2020-06-02,0.1690,0.1700,0.1500,0.1546,67100
2020-06-01,0.1821,0.2366,0.1300,0.1300,2900
2020-05-29,0.1400,0.1401,0.1400,0.1401,693
2020-05-28,0.2600,0.2600,0.1003,0.1800,16600
2020-05-21,0.1000,0.1000,0.1000,0.1000,16342
2020-05-20,0.0645,0.0645,0.0645,0.0645,2190
2020-05-19,0.0608,0.0608,0.0608,0.0608,1500
2020-05-18,0.0900,0.0900,0.0650,0.0650,1101
2020-05-12,0.0700,0.0700,0.0699,0.0699,2000
2020-05-06,0.0900,0.0900,0.0900,0.0900,200
2020-04-30,0.0600,0.0900,0.0600,0.0700,30880
2020-04-29,0.1000,0.1000,0.1000,0.1000,172050
2020-04-27,0.1200,0.1200,0.1200,0.1200,5
2020-04-16,0.1200,0.1200,0.1200,0.1200,160
2020-04-13,0.1200,0.1200,0.1200,0.1200,100
2020-04-09,0.0962,0.1000,0.0962,0.1000,531
2020-04-08,0.0740,0.0740,0.0740,0.0740,1500
2020-04-06,0.0750,0.0750,0.0750,0.0750,200
2020-04-03,0.1000,0.1000,0.1000,0.1000,10000
2020-03-31,0.1000,0.1000,0.1000,0.1000,19700
2020-03-27,0.1000,0.1000,0.1000,0.1000,3000
2020-03-26,0.1000,0.1000,0.1000,0.1000,1
2020-03-20,0.1000,0.1100,0.1000,0.1000,50106
2020-03-19,0.0900,0.0900,0.0900,0.0900,3000
2020-03-18,0.0920,0.0920,0.0900,0.0900,1652
2020-03-17,0.1000,0.1200,0.0900,0.1050,326800
2020-03-16,0.1100,0.1100,0.1100,0.1100,100
2020-03-13,0.1101,0.1101,0.1101,0.1101,100
2020-03-12,0.1101,0.1101,0.1101,0.1101,21700
2020-03-11,0.1500,0.1500,0.1500,0.1500,12500
2020-03-09,0.1801,0.1801,0.1800,0.1800,27732
2020-03-06,0.2000,0.2000,0.1994,0.1994,200
2020-03-05,0.2000,0.2000,0.1994,0.1994,14200
2020-02-28,0.1900,0.1900,0.1900,0.1900,40
2020-02-27,0.1892,0.1900,0.1800,0.1900,21900
2020-02-25,0.2200,0.2210,0.2200,0.2200,15245
2020-02-14,0.2290,0.2290,0.2290,0.2290,160
2020-02-07,0.2236,0.2236,0.2200,0.2200,700
2020-02-06,0.2200,0.2200,0.2200,0.2200,50
2020-02-03,0.2300,0.2300,0.2200,0.2200,24550
2020-01-31,0.2300,0.2300,0.2300,0.2300,50000
2020-01-30,0.2300,0.2300,0.2300,0.2300,26500
2020-01-29,0.2300,0.2300,0.2300,0.2300,50000
2020-01-21,0.2200,0.2201,0.2100,0.2201,92000
2019-12-19,0.2100,0.2100,0.2100,0.2100,2000
2019-12-18,0.2100,0.2100,0.2001,0.2001,2600
2019-12-05,0.2052,0.2063,0.2050,0.2061,2000
2019-12-04,0.2300,0.2300,0.2289,0.2300,2000
2019-11-18,0.2200,0.2200,0.2150,0.2200,396400
2019-10-21,0.2200,0.2200,0.2099,0.2099,4850
2019-10-16,0.2200,0.2200,0.2200,0.2200,100
2019-10-15,0.2199,0.2200,0.2199,0.2200,60000
2019-10-14,0.2100,0.2200,0.2100,0.2200,19600
2019-10-03,0.2200,0.2200,0.2200,0.2200,700
2019-09-30,0.2002,0.2002,0.2002,0.2002,5600
2019-09-26,0.2100,0.2100,0.2100,0.2100,3062
2019-09-24,0.2300,0.2300,0.2200,0.2200,10400
2019-09-23,0.2200,0.2300,0.2200,0.2200,3000
2019-09-19,0.2000,0.2001,0.2000,0.2001,1500
2019-09-04,0.2100,0.2100,0.2100,0.2100,100
2019-08-23,0.2000,0.2000,0.2000,0.2000,1000
2019-08-22,0.2000,0.2000,0.2000,0.2000,1600
2019-08-20,0.2000,0.2200,0.2000,0.2200,8520
2019-08-06,0.2101,0.2101,0.2100,0.2100,25000
2019-07-31,0.2100,0.2100,0.2100,0.2100,6000
2019-07-30,0.2100,0.2100,0.2100,0.2100,88
2019-07-23,0.2100,0.2100,0.2100,0.2100,1000
2019-07-19,0.2100,0.2100,0.2100,0.2100,1000
2019-07-18,0.2100,0.2100,0.2100,0.2100,1000
2019-07-17,0.2100,0.2100,0.2100,0.2100,7400
2019-07-16,0.2100,0.2100,0.2100,0.2100,200
2019-07-09,0.2100,0.2100,0.2100,0.2100,500000
2019-07-08,0.2100,0.2100,0.2100,0.2100,1000
2019-06-26,0.2100,0.2100,0.2100,0.2100,1000
2019-06-25,0.2100,0.2100,0.2100,0.2100,100
2019-06-17,0.2300,0.2300,0.2300,0.2300,88
2019-06-14,0.2300,0.2300,0.2300,0.2300,200
2019-06-12,0.2500,0.2500,0.2500,0.2500,15000
2019-06-11,0.2300,0.2300,0.2300,0.2300,300
2019-06-10,0.2300,0.2300,0.2300,0.2300,100
2019-06-07,0.2300,0.2300,0.2300,0.2300,200
2019-06-06,0.2600,0.2600,0.2600,0.2600,100
2019-05-30,0.2000,0.2000,0.2000,0.2000,4000
2019-05-29,0.2200,0.2200,0.1900,0.2200,96040
2019-05-21,0.2200,0.2400,0.1900,0.2400,23500
2019-05-20,0.2536,0.2536,0.2536,0.2536,100
2019-05-15,0.2589,0.2600,0.2300,0.2300,5600
2019-05-14,0.2400,0.2400,0.2400,0.2400,100
2019-05-08,0.2500,0.2500,0.2500,0.2500,39400
2019-05-07,0.2500,0.2500,0.2500,0.2500,1800
2019-05-06,0.2500,0.2500,0.2500,0.2500,1000
2019-05-03,0.2500,0.2600,0.2500,0.2588,1520
2019-05-02,0.2500,0.2600,0.2500,0.2600,7400
2019-05-01,0.2500,0.2500,0.2500,0.2500,2000
2019-04-30,0.2500,0.2500,0.2500,0.2500,17500
2019-04-29,0.2500,0.2500,0.2500,0.2500,4000
2019-04-24,0.2500,0.2500,0.2500,0.2500,100
2019-04-23,0.2500,0.2500,0.2500,0.2500,126300
2019-04-22,0.2500,0.2500,0.2500,0.2500,14300
2019-04-18,0.2000,0.2500,0.2000,0.2400,78200
2019-04-17,0.2200,0.2200,0.2200,0.2200,56000
2019-04-16,0.2000,0.2000,0.2000,0.2000,25300
2019-04-15,0.2000,0.2000,0.2000,0.2000,30100
2019-04-11,0.1702,0.2100,0.1700,0.2000,183680
2019-04-10,0.1801,0.1801,0.1801,0.1801,40
2019-04-05,0.1900,0.1900,0.1801,0.1801,11800
2019-04-04,0.2000,0.2000,0.2000,0.2000,200
2019-04-01,0.1900,0.1900,0.1800,0.1800,25000
2019-03-28,0.1901,0.2000,0.1901,0.2000,7800
2019-03-25,0.1900,0.1900,0.1700,0.1701,63000
2019-03-22,0.2000,0.2000,0.2000,0.2000,300
2019-03-21,0.1800,0.1800,0.1700,0.1700,301000
2019-03-18,0.1900,0.1900,0.1900,0.1900,300
2019-03-15,0.1900,0.1900,0.1900,0.1900,33700
2019-03-14,0.1900,0.1901,0.1900,0.1900,101100
2019-03-13,0.1900,0.1900,0.1900,0.1900,31200
2019-03-12,0.1900,0.1900,0.1900,0.1900,200
2019-03-11,0.1900,0.1900,0.1900,0.1900,300
2019-03-08,0.2000,0.2000,0.1900,0.1900,65000
2019-03-07,0.2000,0.2000,0.1624,0.1624,26900
2019-03-06,0.1900,0.1900,0.1700,0.1700,711600
2018-03-15,1.9500,2.0000,1.8500,1.8700,19100
2018-03-14,1.9500,2.0500,1.7700,1.9900,45000
2018-03-13,1.9700,1.9700,1.9000,1.9500,4500
2018-03-12,1.9500,1.9600,1.9200,1.9500,9930
2018-03-09,1.9900,2.0400,1.8600,1.9452,30850
2018-03-08,2.1600,2.2600,2.0000,2.0000,4200
2018-03-07,2.0000,2.1900,1.8600,2.0000,13200
2018-03-06,1.9600,2.0040,1.8300,1.9500,5529
2018-03-05,2.0000,2.0800,1.8000,1.9500,10044
2018-03-02,2.0700,2.0700,1.8100,1.9900,6608
2018-03-01,2.2500,2.2500,1.9000,2.1000,8407
2018-02-28,2.2000,2.2500,2.0639,2.2399,36630
2018-02-27,2.1300,2.2900,2.1201,2.2000,12203
2018-02-26,2.0600,2.3000,1.7300,2.0000,43270
2018-02-23,1.9384,2.0600,1.9384,2.0600,2428
2018-02-22,1.9000,2.3000,1.8700,2.0300,76057
2018-02-21,2.3000,2.3000,1.7600,1.9000,12000
2018-02-20,1.9000,2.6300,1.7500,2.3000,99310
2018-02-16,1.6569,1.8900,1.6000,1.8560,56345
2018-02-15,1.7500,1.7500,1.6300,1.6500,32275
2018-02-14,1.7300,1.7300,1.5500,1.6000,14100
2018-02-13,1.7600,1.7699,1.6000,1.7100,57103
2018-02-12,1.7600,1.7800,1.7100,1.7100,500
2018-02-09,1.9100,1.9100,1.7200,1.7300,24200
2018-02-08,1.9800,2.0000,1.7600,1.8500,47931
2018-02-07,1.9300,1.9600,1.8200,1.9400,12703
2018-02-06,1.8700,1.9000,1.7800,1.8700,11800
2018-02-05,1.8200,1.9000,1.7600,1.7600,7400
2018-02-02,1.8500,1.9000,1.7500,1.8700,11500
2018-02-01,1.7600,1.9000,1.7100,1.8500,29540
2018-01-31,1.7500,1.9000,1.7500,1.8700,37800
2018-01-30,1.7500,1.7500,1.7100,1.7100,3000
2018-01-29,1.7500,1.7500,1.7500,1.7500,200
2018-01-26,1.7265,1.7500,1.6400,1.7500,16400
2018-01-25,1.7400,1.7500,1.6500,1.7387,52300
2018-01-24,1.7700,1.7700,1.6400,1.7300,11886
2018-01-23,1.7400,1.7900,1.6900,1.7500,7400
2018-01-22,1.7400,1.7500,1.6700,1.7300,7000
2018-01-19,1.7310,1.7400,1.6800,1.7400,5000
2018-01-18,1.7500,1.8000,1.7500,1.8000,2600
2018-01-17,1.7100,1.8000,1.7000,1.7600,6590
2018-01-12,1.7700,1.7700,1.6500,1.7067,6430
2018-01-11,1.6600,1.7900,1.6000,1.7726,15587
2018-01-10,1.7000,1.7000,1.6300,1.6500,2845
2018-01-09,1.8000,1.8000,1.5281,1.7000,38079
2018-01-08,1.7800,1.8000,1.6400,1.8000,15124
2018-01-05,1.8000,1.8500,1.7750,1.7900,16800
2018-01-04,1.8200,1.8806,1.7300,1.8200,38794
2018-01-03,1.8100,1.9000,1.6500,1.8400,59730
2018-01-02,1.7700,1.8500,1.4760,1.8000,109036
2017-12-29,1.4800,1.8899,1.4750,1.8800,50356
2017-12-28,1.4900,1.4900,1.4060,1.4800,5600
2017-12-27,1.4700,1.4800,1.4700,1.4800,800
2017-12-26,1.5100,1.5100,1.4300,1.4799,9800
2017-12-22,1.4300,1.5000,1.4300,1.5000,1344
2017-12-21,1.3500,1.4500,1.3400,1.4500,2456
2017-12-20,1.5000,1.5000,1.4000,1.4400,23301
