timestamp,open,high,low,close,volume
2020-06-19,2.4400,2.4600,2.3200,2.4000,177208
2020-06-18,2.4200,2.5000,2.3500,2.3900,230065
2020-06-17,2.6000,2.6050,2.2700,2.3700,475635
2020-06-16,2.3200,2.8100,2.1900,2.5500,1091036
2020-06-15,2.1100,2.2800,2.0400,2.2100,255953
2020-06-12,1.8900,2.3900,1.8799,2.2700,737116
2020-06-11,2.1300,2.1400,1.8500,1.8800,265543
2020-06-10,2.1800,2.2800,2.0800,2.1200,146325
2020-06-09,2.1100,2.2000,2.0600,2.1800,224594
2020-06-08,2.2500,2.3000,1.9800,1.9900,395966
2020-06-05,2.3600,2.4000,2.1918,2.2400,244254
2020-06-04,2.2600,2.4300,2.2200,2.3700,299566
2020-06-03,2.2500,2.4100,2.1800,2.3000,410372
2020-06-02,2.2500,2.4000,2.2100,2.2100,333430
2020-06-01,2.5700,2.5800,2.1800,2.3300,1420956
2020-05-29,2.2000,2.3100,2.0900,2.2800,149226
2020-05-28,2.3500,2.3500,2.0900,2.2800,310944
2020-05-27,2.4000,2.4300,2.3000,2.3200,244977
2020-05-26,2.2900,2.4800,2.2200,2.3600,643517
2020-05-22,1.9400,2.2500,1.9400,2.1800,267561
2020-05-21,1.8900,2.0900,1.8421,2.0500,275256
2020-05-20,1.8800,1.9414,1.8500,1.8700,67785
2020-05-19,1.8700,1.9700,1.8500,1.9000,129312
2020-05-18,1.9000,1.9000,1.8200,1.8500,115869
2020-05-15,1.9100,1.9200,1.8300,1.9000,74531
2020-05-14,1.8900,1.9100,1.8200,1.9100,41997
2020-05-13,1.9300,1.9500,1.8000,1.9200,209040
2020-05-12,1.9900,1.9999,1.9369,1.9450,217416
2020-05-11,1.8500,2.0099,1.8500,1.9500,298502
2020-05-08,1.8500,1.8500,1.7100,1.8100,132724
2020-05-07,1.8000,1.8800,1.7800,1.8050,139596
2020-05-06,1.8400,1.9072,1.7000,1.7950,188680
2020-05-05,1.9900,1.9900,1.8000,1.8500,583822
2020-05-04,2.2500,2.3900,1.8694,1.9800,7115932
2020-05-01,1.8100,1.9400,1.8100,1.8400,48339
2020-04-30,2.0000,2.0000,1.8650,1.8900,75634
2020-04-29,1.9900,2.0300,1.9700,1.9999,59877
