timestamp,open,high,low,close,volume
2020-06-19,1.6900,1.7700,1.6900,1.6900,15584
2020-06-18,1.7500,1.7914,1.6600,1.6800,64653
2020-06-17,1.8000,1.8200,1.7200,1.7300,27675
2020-06-16,1.8500,1.9400,1.7300,1.7648,67318
2020-06-15,1.8200,1.9200,1.8010,1.8900,12607
2020-06-12,1.9000,1.9300,1.8200,1.8711,15768
2020-06-11,1.9300,1.9400,1.8600,1.8899,18135
2020-06-10,1.8000,2.0465,1.7701,1.9400,61026
2020-06-09,1.7400,1.8500,1.7400,1.8000,15197
2020-06-08,1.8102,1.8600,1.7500,1.8200,64216
2020-06-05,1.9200,1.9200,1.7200,1.7900,217399
2020-06-04,1.6700,1.8000,1.6700,1.8000,61694
2020-06-03,1.8050,1.8050,1.6500,1.6700,37630
2020-06-02,1.8250,1.8298,1.7466,1.7500,5877
2020-06-01,1.9900,1.9900,1.7800,1.7900,12527
2020-05-29,2.0800,2.0800,1.8000,1.8000,6862
2020-05-28,2.2800,2.2800,1.9100,1.9100,25032
2020-05-27,2.1000,2.2500,2.0700,2.2000,16544
2020-05-26,2.2900,2.4600,2.0200,2.0630,31476
2020-05-22,2.0900,2.2400,2.0800,2.2400,1371
2020-05-21,2.2100,2.2900,2.1150,2.2300,24607
2020-05-20,2.1700,2.1700,2.0650,2.1600,4591
2020-05-19,2.0950,2.2500,2.0600,2.2400,1632
2020-05-18,2.1000,2.1100,2.1000,2.1100,823
2020-05-15,1.9798,2.0900,1.9136,2.0900,7006
2020-05-14,1.9800,2.0800,1.8900,2.0300,10527
2020-05-13,1.9900,2.0999,1.9900,2.0000,2417
2020-05-12,2.0800,2.1000,1.8600,2.0300,16568
2020-05-11,2.0700,2.2000,2.0100,2.0100,16215
2020-05-08,2.0100,2.2500,2.0100,2.2300,7895
2020-05-07,2.0200,2.1100,1.9400,2.0777,6508
2020-05-06,1.8800,1.9600,1.8100,1.8100,7555
2020-05-05,1.9100,2.0000,1.8000,1.8000,87927
2020-05-04,2.0050,2.0800,1.9100,1.9100,26229
2020-05-01,2.1500,2.1600,2.0101,2.0950,3100
2020-04-30,2.1800,2.3100,2.1500,2.3100,10728
2020-04-29,1.9600,2.5400,1.9190,2.3500,22719
2020-04-28,2.2500,2.2500,1.8200,1.9500,2921
2020-04-27,2.1500,2.1500,2.0000,2.0700,8125
2020-04-24,2.2180,2.2400,2.0700,2.0700,4118
2020-04-23,2.1500,2.2499,2.1282,2.1407,11293
2020-04-22,1.9500,2.2987,1.9500,2.0611,12176
2020-04-21,2.1500,2.4000,1.9100,1.9500,12485
2020-04-20,2.0650,2.2500,2.0650,2.2000,9222
2020-04-17,2.1000,2.2400,2.0300,2.2400,16721
2020-04-16,2.3000,2.4103,2.2000,2.2000,26544
2020-04-15,2.2500,2.4500,2.2500,2.4300,10478
2020-04-14,2.3099,2.5400,2.2176,2.2300,27204
2020-04-13,2.3900,2.4000,2.2000,2.3800,6634
2020-04-09,2.1500,2.3337,2.1399,2.1700,3158
2020-04-08,2.1400,2.3000,2.1400,2.3000,8080
2020-04-07,2.3900,2.7000,2.1900,2.1900,12378
2020-04-06,2.4500,2.5000,2.0100,2.5000,28978
2020-04-03,1.9000,2.5000,1.7800,2.1800,46338
2020-04-02,2.2700,2.2700,1.8000,1.9300,9880
2020-04-01,2.0300,2.0300,1.7500,1.7500,793
2020-03-31,2.0900,2.1500,1.9200,1.9200,2269
2020-03-30,1.7300,2.1100,1.7300,2.1100,10245
2020-03-27,2.0100,2.0443,2.0100,2.0443,443
2020-03-26,2.0600,2.1700,2.0600,2.1700,5580
2020-03-25,1.7576,2.0200,1.7220,2.0200,3610
2020-03-24,1.8000,2.1100,1.7103,1.9200,7428
2020-03-23,2.1400,2.5400,1.8833,1.9900,3437
2020-03-20,2.4900,2.4900,1.8200,2.1529,11420
2020-03-19,1.6400,2.7400,1.2400,2.4000,56630
2020-03-18,1.5900,1.6700,1.5500,1.5500,7247
2020-03-17,1.3000,1.5300,1.3000,1.4900,8072
2020-03-16,1.5300,1.8700,1.2700,1.2700,8879
2020-03-13,1.5400,1.8600,1.5150,1.7600,1503
2020-03-12,2.0100,2.0100,1.6501,1.6600,11971
2020-03-11,2.1500,2.1500,2.1500,2.1500,150
2020-03-10,2.2670,2.3024,2.1100,2.1500,9316
2020-03-09,2.2500,2.4387,2.1100,2.3250,15179
2020-03-06,2.5408,2.5800,2.5200,2.5200,1767
2020-03-05,2.5400,2.5700,2.5400,2.5500,1691
2020-03-04,2.5850,2.6100,2.5700,2.6100,3513
2020-03-03,2.5300,2.5900,2.5200,2.5300,25110
2020-03-02,2.6118,2.6118,2.5200,2.5400,2927
2020-02-28,2.5800,2.6300,2.5500,2.6200,3255
2020-02-27,2.6060,2.7024,2.5700,2.6500,8678
2020-02-26,2.6500,2.7200,2.6500,2.7200,10349
2020-02-25,2.6650,2.6650,2.5485,2.5600,15099
2020-02-24,2.7500,2.7500,2.7500,2.7500,284
2020-02-21,2.7300,2.8000,2.6800,2.7000,35936
2020-02-20,2.9200,2.9500,2.8000,2.8000,8291
2020-02-19,2.8900,2.9200,2.8900,2.9200,1978
2020-02-18,3.0100,3.0500,2.9000,2.9271,56387
2020-02-14,3.0100,3.1000,2.9800,3.0050,7819
2020-02-13,2.9800,3.0600,2.9800,3.0600,1374
2020-02-12,3.0500,3.0500,3.0500,3.0500,3705
2020-02-11,3.0500,3.0500,3.0500,3.0500,251
2020-02-10,3.2000,3.2000,3.0350,3.1900,11738
2020-02-07,3.1400,3.1500,3.1000,3.1500,4794
2020-02-06,3.1700,3.1700,3.0500,3.1400,7130
2020-02-05,3.0500,3.1200,3.0500,3.1200,3301
2020-02-04,3.0700,3.1800,3.0000,3.1800,1193
2020-02-03,2.9750,3.2349,2.9750,3.0000,30713
2020-01-31,3.0200,3.0500,2.9000,3.0100,2625
2020-01-30,2.9500,3.0300,2.9500,2.9700,690
2020-01-29,2.9500,2.9550,2.8601,2.8900,26391
2020-01-28,3.1300,3.2800,3.0500,3.0500,6522
2020-01-27,2.8400,3.2800,2.8400,3.0100,53010
2020-01-24,2.9000,2.9000,2.9000,2.9000,29
2020-01-23,3.0000,3.0000,2.9000,2.9000,714
2020-01-22,2.8200,3.0000,2.8000,3.0000,12951
2020-01-21,2.8900,2.9900,2.8000,2.9900,8189
2020-01-17,2.8500,2.8500,2.8500,2.8500,178
2020-01-16,2.8500,2.9000,2.7500,2.8877,39913
2020-01-15,2.9700,2.9700,2.8500,2.8600,1948
2020-01-14,2.8523,2.8900,2.8523,2.8800,1651
2020-01-13,2.8700,2.9900,2.8700,2.9000,3459
2020-01-10,2.7200,2.7600,2.7200,2.7600,1946
2020-01-09,2.9000,2.9000,2.9000,2.9000,224
2020-01-08,2.9443,2.9750,2.7337,2.9100,2697
2020-01-07,2.8500,2.9500,2.7900,2.8000,10157
2020-01-06,2.9900,3.0000,2.8500,2.9000,6292
2020-01-03,2.8600,3.0700,2.8400,2.8600,14626
2020-01-02,2.9800,2.9800,2.8711,2.9200,63152
2019-12-31,2.9400,2.9400,2.8500,2.8500,23138
2019-12-30,2.8500,2.9700,2.8500,2.9000,16722
2019-12-27,2.8900,2.9800,2.8275,2.8600,17414
2019-12-26,2.8500,2.9150,2.8500,2.8500,13913
2019-12-24,2.9100,2.9700,2.8500,2.8650,4076
2019-12-23,2.8000,2.9065,2.8000,2.9065,472
2019-12-20,2.8600,2.8800,2.8500,2.8600,16205
2019-12-19,2.8600,2.8600,2.8600,2.8600,465
2019-12-18,2.8500,2.8800,2.7750,2.8800,7214
2019-12-17,2.7500,2.9800,2.7500,2.8600,58493
2019-12-16,2.8500,3.0700,2.7701,2.7701,8465
2019-12-13,2.8300,2.9850,2.8300,2.8800,31560
2019-12-12,2.8237,3.0000,2.8237,2.9400,11011
2019-12-11,2.9000,3.0000,2.7600,3.0000,33913
2019-12-10,2.7200,2.9500,2.7110,2.9000,63824
2019-12-09,2.7650,2.7900,2.6900,2.7800,36139
2019-12-06,2.6500,2.7700,2.5000,2.7000,82846
2019-12-05,2.7000,2.7500,2.5800,2.6500,32360
2019-12-04,2.8000,2.8000,2.7000,2.7100,11075
2019-12-03,2.7500,2.8200,2.6500,2.7833,12419
2019-12-02,2.7900,2.7900,2.7900,2.7900,95
2019-11-29,2.8500,2.8500,2.7900,2.7900,5342
2019-11-27,2.8100,2.8240,2.8000,2.8000,1758
2019-11-26,2.8800,2.9870,2.8100,2.8200,5468
2019-11-25,2.8600,2.9000,2.8500,2.9000,2984
2019-11-22,2.8638,2.8638,2.8100,2.8100,612
2019-11-21,2.9300,2.9300,2.9000,2.9000,479
2019-11-20,2.8684,3.1000,2.8684,3.1000,7356
2019-11-19,2.9000,2.9900,2.8800,2.9000,3880
2019-11-18,2.9200,2.9200,2.7500,2.7500,10299
2019-11-15,3.0000,3.0000,2.8500,2.8500,1791
2019-11-14,2.9000,2.9800,2.9000,2.9800,6463
2019-11-13,2.8400,2.8400,2.7900,2.8000,10876
2019-11-12,2.8200,2.8200,2.8200,2.8200,171
2019-11-11,2.8400,2.8400,2.8000,2.8200,9690
2019-11-08,2.8000,2.9000,2.8000,2.9000,611
2019-11-07,2.8400,2.9583,2.8300,2.8600,495
2019-11-06,2.9050,3.0000,2.8950,2.9900,1526
2019-11-05,2.9790,3.0000,2.9400,2.9900,7371
2019-11-04,3.0500,3.0750,2.8812,2.9900,3039
2019-11-01,3.1000,3.1000,2.9000,3.0900,1112
2019-10-31,2.8900,3.0700,2.8151,3.0700,3430
2019-10-30,2.8700,3.0000,2.7200,2.8900,20172
2019-10-29,2.9300,2.9600,2.7000,2.7500,5278
2019-10-28,2.8600,2.9000,2.8300,2.8500,6442
2019-10-25,2.9000,3.0750,2.8800,2.9300,6453
