timestamp,open,high,low,close,volume
2020-06-19,10.2900,10.7300,10.1700,10.3800,2747198
2020-06-18,10.1300,10.4510,9.9100,10.1100,2775148
2020-06-17,10.4200,10.4200,10.1100,10.2200,1659509
2020-06-16,10.2100,10.6394,10.0100,10.4200,3118390
2020-06-15,9.0000,9.9700,8.7500,9.8850,2060948
2020-06-12,9.1200,9.4550,9.0500,9.3800,2169827
2020-06-11,8.7100,8.9700,8.2100,8.6200,3699225
2020-06-10,9.9900,10.1700,9.4300,9.5000,2966992
2020-06-09,10.3300,10.3800,9.7300,9.9500,3048989
2020-06-08,9.9000,10.5500,9.6100,10.5100,4076979
2020-06-05,8.5000,9.8000,8.5000,9.5300,6232384
2020-06-04,8.7400,9.0000,8.3400,8.6300,5093106
2020-06-03,7.9100,9.2000,7.7600,9.0500,18757350
2020-06-02,6.8600,6.9200,6.5300,6.8600,3790301
2020-06-01,6.5000,6.7750,6.3650,6.6200,2495462
2020-05-29,6.0400,6.4400,5.9200,6.4200,1884840
2020-05-28,6.2500,6.3000,6.0400,6.0600,1443609
2020-05-27,6.2000,6.2500,5.7000,6.2500,2170756
2020-05-26,5.9650,6.1400,5.8500,6.1100,1785651
2020-05-22,5.8900,5.8900,5.6800,5.8200,913189
2020-05-21,5.9100,5.9300,5.6800,5.8350,987226
2020-05-20,5.8000,5.9750,5.7300,5.8000,1036892
2020-05-19,5.7300,5.8500,5.6281,5.6900,785202
2020-05-18,5.6300,5.8850,5.5500,5.7100,1323806
2020-05-15,5.5900,5.6852,5.4450,5.4700,1220605
2020-05-14,5.3900,5.6650,5.2200,5.6400,1656647
2020-05-13,5.6500,5.8100,5.2750,5.5100,1628290
2020-05-12,6.0100,6.0600,5.6000,5.6400,1667808
2020-05-11,5.4000,5.9500,5.3700,5.8500,1731255
2020-05-08,5.6800,5.6990,5.4000,5.4600,1048988
2020-05-07,5.4800,5.5900,5.2700,5.5700,2034372
2020-05-06,5.5600,5.6200,5.3300,5.3800,1426244
2020-05-05,5.6300,5.8200,5.4500,5.5100,1618083
