timestamp,open,high,low,close,volume
2020-06-19,6.1100,6.1100,5.8748,6.0800,27610
2020-06-18,5.5400,6.2100,5.5400,5.8800,34819
2020-06-17,5.8600,5.9886,5.6600,5.7200,29914
2020-06-16,5.9200,6.1722,5.6800,5.7600,39688
2020-06-15,5.3100,5.9400,5.2500,5.8900,46227
2020-06-12,5.6450,5.9700,5.3200,5.3800,48149
2020-06-11,5.8100,5.8650,5.0000,5.2300,131225
2020-06-10,6.9400,7.0900,6.0900,6.2600,160724
2020-06-09,5.9300,6.9500,5.8000,6.4400,103771
2020-06-08,5.7400,6.1250,5.5700,5.9400,49429
2020-06-05,5.8500,5.9941,5.6750,5.7700,27606
2020-06-04,5.8600,6.0499,5.7600,5.8300,27507
2020-06-03,6.0900,6.4000,5.8793,5.9500,52302
2020-06-02,5.7500,6.1000,5.6500,6.0900,38859
2020-06-01,5.6200,5.8700,5.3800,5.6900,54030
2020-05-29,6.0100,6.0200,5.6100,5.7000,38886
2020-05-28,6.1500,6.1600,5.9000,5.9400,57824
2020-05-27,6.7400,6.7400,5.9100,6.0700,53093
2020-05-26,6.7700,6.9701,6.6000,6.7000,84368
2020-05-22,6.2400,6.6175,6.1700,6.5000,54813
2020-05-21,5.9500,6.2000,5.8600,6.1700,85432
2020-05-20,5.3200,5.9700,5.3000,5.8700,69351
2020-05-19,4.9600,5.7000,4.8200,5.3000,81327
2020-05-18,4.9200,5.4532,4.6189,5.0700,195542
2020-05-15,5.7900,5.8800,5.3301,5.4700,89716
2020-05-14,6.2300,6.2300,5.6100,6.0100,74178
2020-05-13,6.7600,7.0001,5.8601,6.2700,212194
2020-05-12,7.5000,7.6500,6.5000,6.7500,296641
2020-05-11,6.6500,9.1500,6.6112,7.6500,1239802
2020-05-08,5.2629,6.4700,5.1900,6.2900,372215
2020-05-07,5.0750,5.3900,4.9200,5.0400,84496
2020-05-06,4.9600,5.1399,4.8501,5.0800,38386
2020-05-05,5.1100,5.1399,4.8747,4.9700,31745
2020-05-04,5.2500,5.2500,4.8000,5.0300,76171
2020-05-01,5.0300,5.4310,5.0200,5.2500,125487
2020-04-30,5.0700,5.6100,4.8301,5.0000,187500
2020-04-29,4.8400,5.3039,4.5500,4.9000,153404
2020-04-28,4.2600,4.8000,3.9600,4.6500,106080
2020-04-27,4.2500,4.6627,4.1600,4.2269,49741
2020-04-24,3.9600,4.4864,3.9600,4.2800,74579
2020-04-23,3.8800,4.2088,3.8500,4.0100,48361
2020-04-22,3.7329,4.0765,3.7329,3.8200,45910
2020-04-21,3.8300,4.0616,3.6614,3.8900,41609
2020-04-20,3.9300,4.1000,3.8500,3.8600,23916
2020-04-17,3.7200,4.0871,3.6600,3.9600,70062
2020-04-16,4.4256,4.4256,3.4360,3.6500,65781
2020-04-15,4.2500,4.2999,3.8001,4.1800,54310
2020-04-14,3.7100,4.3700,3.7100,4.3101,98835
2020-04-13,3.8300,3.9034,3.6600,3.7413,39127
2020-04-09,3.7000,4.0000,3.6069,3.8400,82638
2020-04-08,3.3300,3.6700,3.3000,3.6400,47038
2020-04-07,3.2700,3.5920,3.1535,3.3100,86094
2020-04-06,3.1000,3.4000,3.1000,3.2500,128530
2020-04-03,3.2400,3.2400,3.0577,3.1100,70375
2020-04-02,3.4800,3.5900,3.1500,3.2800,100248
2020-04-01,3.5300,3.7000,3.4200,3.5300,55696
2020-03-31,4.1500,4.1600,3.4000,3.7000,122728
2020-03-30,4.3900,4.8800,4.0500,4.1500,190409
2020-03-27,3.2200,4.8700,3.1000,3.9900,294343
2020-03-26,0.2993,0.3068,0.2710,0.2736,787753
2020-03-25,0.3050,0.3099,0.2700,0.2841,725255
2020-03-24,0.2650,0.3052,0.2650,0.2906,825095
2020-03-23,0.2180,0.2685,0.2180,0.2564,351386
2020-03-20,0.3200,0.3200,0.2436,0.2755,1229776
2020-03-19,0.2700,0.3013,0.2318,0.2780,999287
2020-03-18,0.2500,0.2700,0.2325,0.2499,536808
2020-03-17,0.3000,0.3200,0.2402,0.2622,997890
2020-03-16,0.2250,0.3184,0.2250,0.2799,1802899
2020-03-13,0.2872,0.3095,0.2103,0.2350,2273793
2020-03-12,0.3332,0.3900,0.2500,0.2750,4002077
2020-03-11,0.3483,0.5500,0.3400,0.4200,15655080
2020-03-10,0.3450,0.3638,0.3154,0.3548,565362
2020-03-09,0.3800,0.3800,0.3301,0.3401,773463
2020-03-06,0.4024,0.4024,0.3700,0.3772,844763
2020-03-05,0.4340,0.4400,0.3900,0.4000,917903
2020-03-04,0.3800,0.4470,0.3610,0.4300,2118918
2020-03-03,0.3949,0.4050,0.3810,0.3859,938398
2020-03-02,0.4400,0.4499,0.3860,0.4089,1917279
2020-02-28,0.5630,0.5900,0.4100,0.4300,4096024
2020-02-27,0.4300,0.4379,0.3690,0.3949,1075773
2020-02-26,0.4403,0.4600,0.4052,0.4403,416406
2020-02-25,0.4890,0.4890,0.4211,0.4453,656563
2020-02-24,0.4900,0.4900,0.4505,0.4700,323384
2020-02-21,0.4895,0.4991,0.4690,0.4782,561599
2020-02-20,0.4991,0.5040,0.4739,0.4886,1071733
2020-02-19,0.5000,0.5050,0.4700,0.4903,395007
2020-02-18,0.5200,0.5200,0.4700,0.4980,345790
2020-02-14,0.5068,0.5250,0.4650,0.4800,753326
2020-02-13,0.4872,0.4994,0.4400,0.4799,572073
2020-02-12,0.5062,0.5200,0.4811,0.4894,1172265
2020-02-11,0.5030,0.5386,0.5001,0.5133,437434
2020-02-10,0.4950,0.5198,0.4900,0.5021,274798
2020-02-07,0.5066,0.5297,0.4950,0.5001,428511
2020-02-06,0.5214,0.5329,0.5010,0.5025,430986
2020-02-05,0.5210,0.5495,0.5188,0.5200,386639
2020-02-04,0.5300,0.5694,0.4950,0.5287,628450
2020-02-03,0.5500,0.5600,0.5150,0.5190,1195061
2020-01-31,0.6300,0.6300,0.5809,0.5900,603870
2020-01-30,0.6399,0.6599,0.6200,0.6300,451596
2020-01-29,0.6300,0.6500,0.6162,0.6329,394220
2020-01-28,0.6315,0.6496,0.6100,0.6314,221154
2020-01-27,0.6300,0.6488,0.6050,0.6290,385312
2020-01-24,0.6652,0.6734,0.6300,0.6360,233526
2020-01-23,0.6658,0.6700,0.6400,0.6600,239321
