timestamp,open,high,low,close,volume
2020-06-19,1.6099,1.6200,1.6000,1.6001,14633
2020-06-18,1.6799,1.6799,1.5997,1.6100,16280
2020-06-17,1.7000,1.8450,1.5900,1.6800,81480
2020-06-16,1.7000,1.7000,1.6300,1.7000,3372
2020-06-15,1.6350,1.6350,1.4900,1.4900,2150
2020-06-12,1.5600,1.6500,1.3620,1.5300,18960
2020-06-11,1.5950,1.6900,1.5501,1.6500,109610
2020-06-10,1.7000,1.7100,1.6100,1.6400,46522
2020-06-09,1.6900,1.7500,1.5400,1.6500,82172
2020-06-08,1.5600,1.6500,1.5600,1.6500,627123
2020-06-05,1.4300,1.5000,1.4300,1.5000,429030
2020-06-04,1.4200,1.4201,1.4200,1.4201,1501
2020-06-03,1.1400,1.4450,1.1400,1.4202,302241
2020-06-02,1.1000,1.1000,1.0900,1.1000,10905
2020-06-01,1.0000,1.1050,0.9973,1.1050,83217
2020-05-29,1.0000,1.0000,0.8701,0.8701,5564
2020-05-28,0.8500,0.9000,0.8500,0.9000,700300
2020-05-27,0.8857,0.9500,0.8500,0.8500,34307
2020-05-26,0.9900,0.9900,0.9900,0.9900,27
2020-05-22,1.0000,1.0000,0.9900,0.9900,570
2020-05-21,1.0000,1.0000,1.0000,1.0000,34
2020-05-20,1.0000,1.0000,0.9999,1.0000,5064
2020-05-19,0.8200,1.0000,0.8200,1.0000,2038
2020-05-18,1.0000,1.0000,0.9949,1.0000,9301
2020-05-15,0.9900,1.0000,0.9300,0.9600,2550
2020-05-14,0.9400,1.0000,0.9000,0.9550,10714
2020-05-13,1.0000,1.0000,1.0000,1.0000,5
2020-05-11,1.0000,1.0000,1.0000,1.0000,5000
2020-05-08,1.0000,1.0000,1.0000,1.0000,1500
2020-05-04,1.0000,1.0000,1.0000,1.0000,1000
2020-05-01,0.9000,1.0000,0.9000,1.0000,900
2020-04-30,1.0000,1.0000,1.0000,1.0000,7
2020-04-27,1.0000,1.0000,1.0000,1.0000,1
2020-04-23,1.0000,1.0000,1.0000,1.0000,1
2020-04-21,0.9500,1.0000,0.9500,1.0000,700
2020-04-15,1.0000,1.0000,1.0000,1.0000,100
2020-04-13,1.0500,1.0500,1.0300,1.0360,501
2020-04-07,0.9000,1.0500,0.9000,1.0000,4800
2020-04-06,0.9500,1.0000,0.9500,1.0000,7000
2020-04-01,0.9000,0.9000,0.9000,0.9000,3000
2020-03-31,1.0000,1.0000,0.9000,0.9000,13300
2020-03-30,1.0000,1.0000,1.0000,1.0000,100
2020-03-27,1.0000,1.0400,1.0000,1.0400,300
2020-03-26,1.0000,1.1300,1.0000,1.1300,900
2020-03-25,0.9300,1.0900,0.5750,1.0900,197800
2020-03-24,0.5000,0.9300,0.5000,0.9300,27230
2020-03-23,0.7000,0.7000,0.7000,0.7000,100
2020-03-20,0.8000,0.8000,0.7500,0.7500,2100
2020-03-19,0.5208,0.9000,0.5208,0.9000,2600
2020-03-18,0.6930,0.9900,0.6930,0.9900,1600
2020-03-17,0.9900,0.9900,0.9900,0.9900,507
2020-03-16,0.8100,0.8100,0.8100,0.8100,600
2020-03-13,1.1000,1.2300,0.8101,0.9500,11150
2020-03-12,1.1000,1.1500,1.1000,1.1500,400
2020-03-10,1.4000,1.4000,1.2500,1.2700,23012
2020-03-09,1.7500,1.7500,1.4000,1.4000,10950
2020-03-05,1.3700,1.3700,1.3700,1.3700,3004
2020-02-26,1.2500,1.3700,1.2500,1.3700,600
2020-02-25,1.2500,1.3700,1.2500,1.3700,41017
2020-02-19,1.2500,1.3000,1.2500,1.3000,174850
2020-02-14,1.3000,1.3000,1.3000,1.3000,36
2020-02-13,1.3000,1.3000,1.3000,1.3000,125000
2020-02-11,1.3000,1.3000,1.3000,1.3000,100
2020-02-07,1.2500,1.3500,1.2500,1.3460,27400
2020-02-05,1.2600,1.2600,1.2500,1.2500,75500
2020-02-03,1.2500,1.2600,1.2500,1.2500,8950
2020-01-31,0.8000,1.2600,0.8000,1.2600,380
2020-01-30,1.3000,1.3000,1.2600,1.2600,1707
2020-01-28,1.2500,1.2550,1.2500,1.2550,1405
2020-01-27,1.3000,1.4000,1.3000,1.4000,102510
2020-01-24,1.3387,1.3387,1.3387,1.3387,100
2020-01-23,1.2500,1.2800,1.2500,1.2800,166298
2020-01-22,1.2500,1.2500,1.2100,1.2500,250630
2020-01-21,1.2500,1.3000,1.2100,1.2500,106920
2020-01-17,1.2500,1.2500,1.2500,1.2500,580
2020-01-16,1.2500,1.2500,1.2500,1.2500,1737
2020-01-13,1.2000,1.2000,1.2000,1.2000,163000
2020-01-10,1.2500,1.2500,1.2000,1.2000,145633
2020-01-09,1.2000,1.2000,1.2000,1.2000,150000
2020-01-08,1.2000,1.2000,1.2000,1.2000,1000
2020-01-07,1.2500,1.2500,1.2500,1.2500,180
2020-01-06,1.2300,1.2500,1.2260,1.2500,1999
2019-12-31,0.9150,1.2500,0.9100,1.1500,10100
2019-12-30,1.2470,1.2500,1.2470,1.2500,917
2019-12-27,1.2500,1.2500,1.1250,1.2500,85600
2019-12-24,1.2500,1.2500,1.1000,1.1000,30500
2019-12-19,1.0000,1.2000,1.0000,1.0500,30400
2019-11-27,0.9016,1.2000,0.9016,1.2000,5500
2019-11-25,0.9900,1.2000,0.9900,1.2000,11700
2019-11-13,0.9900,0.9900,0.9900,0.9900,100
2019-11-06,0.9800,1.0000,0.9000,1.0000,176100
2019-11-05,1.0000,1.2000,1.0000,1.0000,1014300
