timestamp,open,high,low,close,volume
2020-06-19,4.8400,4.9150,4.5900,4.6800,203037
2020-06-18,4.9400,5.0600,4.7900,4.7900,137381
2020-06-17,4.9900,5.0400,4.9300,4.9900,54599
2020-06-16,4.9100,5.0800,4.5650,5.0700,44273
2020-06-15,4.7800,4.9495,4.4800,4.7400,81510
2020-06-12,5.3200,5.6611,4.8000,4.8700,101420
2020-06-11,5.1800,5.2100,4.7600,5.0600,160669
2020-06-10,5.4100,5.6800,5.2500,5.2900,94187
2020-06-09,4.9900,5.4900,4.9000,5.4200,122129
2020-06-08,5.0200,5.0625,4.5900,5.0300,138683
2020-06-05,4.7000,5.0200,4.5852,4.9100,170665
2020-06-04,4.5100,4.5700,4.3500,4.5200,67617
2020-06-03,4.4500,4.6500,4.4300,4.5500,81301
2020-06-02,4.0700,4.4300,4.0700,4.3800,55613
2020-06-01,4.4400,4.4400,4.0700,4.0700,124159
2020-05-29,4.4200,4.4700,4.2300,4.4400,71870
2020-05-28,4.5100,4.7500,4.4200,4.4200,116207
2020-05-27,4.8200,4.8500,4.4000,4.4400,124175
2020-05-26,4.7700,4.9000,4.5900,4.6800,138270
2020-05-22,4.8000,4.8800,4.4600,4.5800,80731
2020-05-21,4.9900,5.1300,4.8600,4.8600,313642
2020-05-20,4.1900,4.9800,4.0500,4.8900,256073
2020-05-19,4.2400,4.2900,4.0200,4.0700,67379
2020-05-18,3.6900,4.2328,3.6756,4.2050,236649
2020-05-15,3.6200,3.6400,3.4300,3.6100,155176
2020-05-14,3.2000,3.6200,2.9001,3.6200,119073
2020-05-13,3.2200,3.4100,3.0900,3.2900,85955
2020-05-12,3.6400,3.6400,3.1800,3.2200,67431
2020-05-11,3.1600,3.7100,2.9400,3.6500,159379
2020-05-08,2.9500,3.2600,2.9300,3.2500,84302
2020-05-07,2.9500,3.0000,2.8050,2.8700,89297
2020-05-06,3.2600,3.2900,2.8600,2.8900,84813
2020-05-05,3.2000,3.4200,3.1743,3.2500,46322
2020-05-04,3.2200,3.2300,3.0600,3.1700,44070
2020-05-01,3.2900,3.3500,3.0550,3.2300,72453
