timestamp,open,high,low,close,volume
2020-06-19,2.3500,2.3800,2.0500,2.2800,669965
2020-06-18,2.2500,2.3300,2.2200,2.3300,326752
2020-06-17,2.2700,2.3600,2.2000,2.2700,422715
2020-06-16,2.4000,2.4400,2.2300,2.2600,619712
2020-06-15,2.1300,2.2924,2.0500,2.2800,435172
2020-06-12,2.1100,2.2100,2.0500,2.1300,522657
2020-06-11,2.3700,2.3700,2.0300,2.0600,1037181
2020-06-10,2.5300,2.5399,2.3600,2.3800,566048
2020-06-09,2.5000,2.5900,2.4050,2.5600,463832
2020-06-08,2.4800,2.5800,2.4600,2.5300,763152
2020-06-05,2.5000,2.5900,2.4400,2.4700,875823
2020-06-04,2.3500,2.4800,2.2800,2.4400,665819
2020-06-03,2.0500,2.3900,2.0500,2.3800,927496
2020-06-02,1.9600,2.1600,1.9500,2.0600,904389
2020-06-01,2.1100,2.2000,2.0300,2.1100,504535
2020-05-29,2.0600,2.1200,2.0300,2.1000,416912
2020-05-28,2.2200,2.2481,2.0700,2.0900,473395
2020-05-27,2.1800,2.2000,2.0700,2.1800,468438
2020-05-26,2.2700,2.2700,2.0650,2.1200,588478
2020-05-22,2.0600,2.2400,2.0100,2.1800,532031
2020-05-21,1.9100,2.0700,1.9000,2.0500,603976
2020-05-20,1.9400,2.0000,1.8600,1.9300,442768
2020-05-19,1.9600,2.0000,1.9000,1.9100,389218
2020-05-18,2.0000,2.0000,1.8900,1.9600,627778
2020-05-15,1.8400,1.9400,1.7850,1.9100,402650
2020-05-14,1.8800,1.9100,1.7500,1.8300,488507
2020-05-13,2.0000,2.0100,1.8150,1.9200,778608
2020-05-12,2.1000,2.1500,2.0000,2.0050,754069
2020-05-11,2.1600,2.2000,2.0600,2.0800,551658
2020-05-08,2.1200,2.1800,2.0500,2.1600,499937
2020-05-07,2.0400,2.1500,2.0200,2.0700,489186
2020-05-06,2.1500,2.1500,2.0200,2.0400,403589
2020-05-05,2.2600,2.2900,2.0927,2.1200,441834
2020-05-04,2.3000,2.3400,2.1300,2.2300,723750
2020-05-01,2.1700,2.3000,2.1100,2.3000,694845
2020-04-30,2.3600,2.4000,2.1600,2.2350,673665
2020-04-29,2.4500,2.4500,2.1300,2.4000,1697468
2020-04-28,1.9800,2.0800,1.8150,2.0800,692691
2020-04-27,1.8800,1.9399,1.8300,1.9000,532092
2020-04-24,1.8500,1.9000,1.7600,1.8500,316547
2020-04-23,1.7600,1.8700,1.7500,1.8200,397707
2020-04-22,1.8000,1.8000,1.6900,1.7600,284923
2020-04-21,1.7400,1.7900,1.6800,1.7700,207728
2020-04-20,1.7100,1.8450,1.6900,1.7700,446360
2020-04-17,1.7500,1.9297,1.7000,1.7700,604304
2020-04-16,1.8100,1.8450,1.7000,1.7000,461641
2020-04-15,1.9200,1.9992,1.8200,1.8400,411194
2020-04-14,2.0600,2.1300,1.9200,1.9600,522884
2020-04-13,2.0000,2.0500,1.9000,2.0200,352806
2020-04-09,2.0600,2.1999,1.9600,2.0000,451466
2020-04-08,1.9300,2.0100,1.8300,2.0100,439522
2020-04-07,2.0406,2.0406,1.8800,1.9000,559315
2020-04-06,1.8000,1.9500,1.7700,1.9400,622520
2020-04-03,1.7100,1.7400,1.5800,1.7300,437637
2020-04-02,1.7200,1.7500,1.6300,1.7100,275811
2020-04-01,1.8300,1.8400,1.7100,1.7200,573988
2020-03-31,1.7100,1.9000,1.7000,1.9000,746173
2020-03-30,1.6200,1.7400,1.6000,1.7400,396972
2020-03-27,1.7100,1.7400,1.6000,1.6700,594327
2020-03-26,1.6100,1.8700,1.6000,1.7600,1015971
2020-03-25,1.4300,1.6400,1.3300,1.5800,1215301
2020-03-24,1.5100,1.5400,1.3500,1.3500,1728045
2020-03-23,1.5800,1.6600,1.4000,1.4400,392854
2020-03-20,1.6700,1.7400,1.4700,1.5600,718796
2020-03-19,1.4100,1.7100,1.3900,1.6400,489464
2020-03-18,1.5500,1.6300,1.3600,1.3800,629256
2020-03-17,1.5100,1.7000,1.3500,1.6600,808771
2020-03-16,1.7500,1.7600,1.4100,1.4400,746653
2020-03-13,2.0300,2.1000,1.6200,1.7300,1334472
2020-03-12,2.1400,2.1400,1.8800,1.8900,722327
2020-03-11,2.3100,2.4400,2.2000,2.2700,795391
2020-03-10,2.5600,2.6400,2.3400,2.3600,633055
2020-03-09,2.6500,2.6600,2.5000,2.5200,541235
2020-03-06,2.9100,2.9800,2.7500,2.7900,382006
2020-03-05,3.0300,3.0800,2.9550,2.9800,373894
2020-03-04,3.0900,3.1300,3.0300,3.1100,446716
2020-03-03,2.9700,3.1900,2.9700,3.0600,684144
2020-03-02,2.8800,3.0100,2.8500,2.9700,504974
2020-02-28,2.8900,3.0477,2.8900,2.9650,666785
2020-02-27,2.9900,3.2100,2.9280,2.9700,439995
2020-02-26,3.0700,3.1200,2.8600,3.0700,844661
2020-02-25,3.2300,3.3063,3.0700,3.0900,489475
2020-02-24,3.2500,3.2900,3.2100,3.2200,330583
2020-02-21,3.3800,3.3900,3.3100,3.3200,298718
2020-02-20,3.4200,3.4415,3.3300,3.3700,492220
2020-02-19,3.4500,3.5200,3.3900,3.4200,628592
2020-02-18,3.5000,3.5000,3.4250,3.4500,471876
2020-02-14,3.6500,3.6500,3.4350,3.5200,495983
2020-02-13,3.6800,3.6800,3.4600,3.6200,429343
2020-02-12,3.6200,3.7600,3.6100,3.6900,435780
2020-02-11,3.4200,3.6200,3.4100,3.6000,562145
2020-02-10,3.4500,3.5400,3.3700,3.4100,528406
2020-02-07,3.6000,3.6350,3.4000,3.4400,565280
2020-02-06,3.6300,3.7000,3.5400,3.5900,531001
2020-02-05,3.7000,3.7500,3.5450,3.5900,453850
2020-02-04,3.7700,3.8600,3.6000,3.6200,941491
2020-02-03,3.9300,4.2000,3.7200,3.7500,868258
2020-01-31,3.8100,3.9000,3.7100,3.8900,881513
2020-01-30,4.2500,4.2700,3.7500,3.8100,1408452
2020-01-29,4.4000,4.6800,4.2400,4.2750,2717853
2020-01-28,3.7800,3.8700,3.7350,3.7700,723522
2020-01-27,3.8700,3.9200,3.7300,3.7700,876369
2020-01-24,3.9600,3.9700,3.8300,3.9300,779142
2020-01-23,4.0000,4.0400,3.7900,3.9800,2276084
2020-01-22,3.7700,3.9700,3.6900,3.9500,2164041
2020-01-21,3.7000,4.0000,3.5800,3.6600,1342214
2020-01-17,3.4800,3.5900,3.2500,3.2800,826975
2020-01-16,3.3200,3.4600,3.2800,3.4300,651175
2020-01-15,3.0100,3.3300,3.0100,3.2500,844781
2020-01-14,2.8000,3.0600,2.7400,3.0300,1206524
2020-01-13,2.6200,2.7400,2.6000,2.7400,389868
2020-01-10,2.6000,2.6400,2.5900,2.6200,368282
2020-01-09,2.6700,2.6800,2.6000,2.6100,378413
2020-01-08,2.7300,2.7900,2.6300,2.6500,387882
2020-01-07,2.7100,2.7600,2.6700,2.7100,338423
2020-01-06,2.7100,2.8000,2.7100,2.7800,375969
2020-01-03,2.7000,2.7800,2.6900,2.7400,412322
2020-01-02,2.8500,2.8900,2.7600,2.7600,546486
2019-12-31,2.8000,2.8200,2.7900,2.8200,279314
2019-12-30,2.8300,2.8300,2.7530,2.8000,423129
2019-12-27,3.0300,3.0400,2.8000,2.8200,470832
2019-12-26,2.8400,3.0500,2.7900,3.0300,409357
2019-12-24,2.7700,2.8300,2.7500,2.8000,324461
2019-12-23,2.7600,2.7850,2.6700,2.7600,366834
2019-12-20,2.7900,2.8200,2.7400,2.7600,666442
2019-12-19,2.8200,2.8200,2.7600,2.7900,247109
2019-12-18,2.7800,2.8200,2.7300,2.8000,740017
2019-12-17,2.8000,2.8300,2.7700,2.7700,473104
2019-12-16,2.8200,2.8800,2.7900,2.8100,513569
2019-12-13,2.8200,2.8700,2.7750,2.8100,383551
2019-12-12,2.8100,2.9100,2.8050,2.8400,289052
2019-12-11,2.8000,2.8600,2.7700,2.8200,310317
2019-12-10,2.8500,2.8600,2.7800,2.7900,291182
2019-12-09,2.8700,2.9400,2.8500,2.8500,338890
2019-12-06,2.8800,2.9600,2.8779,2.8800,304157
2019-12-05,2.7800,2.8700,2.7800,2.8500,351448
2019-12-04,2.7400,2.8800,2.7400,2.7600,613621
2019-12-03,2.9000,2.9378,2.7300,2.8000,718880
2019-12-02,3.1000,3.1400,2.9050,2.9500,773789
2019-11-29,3.0000,3.1000,3.0000,3.0800,516646
2019-11-27,2.9300,3.0600,2.8300,3.0500,469904
2019-11-26,2.9600,3.0300,2.9000,2.9100,1468943
2019-11-25,2.8400,3.0500,2.8400,2.9600,532788
2019-11-22,2.7800,2.8500,2.7500,2.8300,422845
2019-11-21,2.7800,2.8000,2.7000,2.7600,550351
2019-11-20,2.7400,2.8000,2.7000,2.7800,706484
2019-11-19,2.7000,2.7700,2.6800,2.7500,573680
2019-11-18,2.7900,2.7900,2.6800,2.6900,488750
2019-11-15,2.8200,2.8300,2.6900,2.7500,356522
2019-11-14,2.6700,2.8200,2.6700,2.8100,487392
2019-11-13,2.6800,2.7300,2.6500,2.6800,411491
2019-11-12,2.7200,2.7500,2.6600,2.6800,312775
2019-11-11,2.7700,2.8000,2.6700,2.6900,269083
2019-11-08,2.8600,2.8800,2.7650,2.7700,397491
2019-11-07,2.8800,2.9100,2.8336,2.8700,442034
2019-11-06,2.9900,2.9900,2.8500,2.8600,457006
2019-11-05,2.7800,2.9700,2.7600,2.9700,608149
2019-11-04,2.6500,2.8100,2.6100,2.7600,646755
2019-11-01,2.5700,2.6600,2.4600,2.5600,555864
2019-10-31,2.6100,2.6900,2.5600,2.6000,437294
2019-10-30,2.7400,2.7900,2.4800,2.7500,1778131
2019-10-29,2.9200,2.9500,2.8250,2.8900,470460
2019-10-28,2.7600,2.9000,2.7600,2.8900,289083
2019-10-25,2.7600,2.8300,2.7358,2.7800,250603
2019-10-24,2.7700,2.7700,2.7100,2.7500,220470
2019-10-23,2.6300,2.7400,2.5950,2.7300,243936
2019-10-22,2.7100,2.7115,2.6000,2.6300,306872
2019-10-21,2.6900,2.7500,2.6350,2.7200,233944
2019-10-18,2.5300,2.6900,2.5300,2.6600,387175
2019-10-17,2.6400,2.6400,2.5500,2.5600,278173
2019-10-16,2.6800,2.7000,2.6100,2.6400,164635
2019-10-15,2.6200,2.7200,2.6200,2.6800,184460
2019-10-14,2.6600,2.6600,2.5600,2.6300,269298
2019-10-11,2.6200,2.7500,2.6200,2.6700,247944
2019-10-10,2.6300,2.6300,2.5600,2.5800,301675
2019-10-09,2.6400,2.6650,2.5800,2.6200,259256
2019-10-08,2.7100,2.7400,2.6200,2.6300,303938
2019-10-07,2.7300,2.8200,2.7100,2.7300,334846
2019-10-04,2.6800,2.7500,2.6600,2.7400,382540
2019-10-03,2.7200,2.7500,2.6200,2.6900,536824
2019-10-02,2.7700,2.7700,2.6600,2.7300,427523
2019-10-01,2.7200,2.8250,2.7000,2.8000,593855
2019-09-30,2.8600,2.8700,2.7600,2.7700,525285
2019-09-27,2.9200,2.9900,2.8500,2.8500,311080
2019-09-26,3.0300,3.0350,2.8700,2.9100,268117
2019-09-25,3.1000,3.1100,3.0200,3.0300,280431
2019-09-24,3.0800,3.1400,3.0400,3.1100,554098
2019-09-23,3.0000,3.0800,2.9200,3.0700,330815
2019-09-20,2.8800,3.0600,2.8800,2.9700,2505559
2019-09-19,2.9400,2.9858,2.8750,2.8900,504200
2019-09-18,3.0900,3.1000,2.8800,2.9200,585411
2019-09-17,3.1200,3.1750,3.0550,3.0800,432701
2019-09-16,3.0200,3.1300,3.0000,3.1300,662221
2019-09-13,3.0600,3.1300,3.0200,3.0300,551544
2019-09-12,3.2000,3.2100,3.0300,3.0400,620853
2019-09-11,3.0200,3.2500,3.0000,3.1600,640571
2019-09-10,2.9700,3.1266,2.9000,3.0100,1196641
2019-09-09,2.8500,3.0000,2.8100,2.9700,585018
2019-09-06,2.6900,2.8486,2.6700,2.8200,540947
2019-09-05,2.6300,2.7000,2.6200,2.6600,450656
2019-09-04,2.6500,2.6500,2.5500,2.6000,326441
2019-09-03,2.6700,2.7000,2.5500,2.6000,446275
2019-08-30,2.6600,2.7000,2.6300,2.6800,300855
2019-08-29,2.6500,2.6600,2.6000,2.6300,289324
2019-08-28,2.5600,2.6400,2.5400,2.6200,342393
2019-08-27,2.6400,2.6800,2.5300,2.5800,481104
2019-08-26,2.6100,2.7300,2.5800,2.6200,326352
2019-08-23,2.7300,2.7500,2.6000,2.6100,579100
2019-08-22,2.8100,2.8500,2.6800,2.7400,747939
2019-08-21,2.8600,2.9100,2.7700,2.7800,495340
2019-08-20,2.7900,2.8251,2.7500,2.8100,723092
2019-08-19,2.8500,2.9200,2.7300,2.7900,1403856
2019-08-16,2.5600,2.9100,2.3500,2.8300,2942000
2019-08-15,3.3600,3.4200,3.0300,3.0600,2282218
