timestamp,open,high,low,close,volume
2020-06-19,7.5400,7.5400,6.6500,7.1400,15419
2020-06-18,6.8500,8.6350,6.8500,7.5800,47479
2020-06-17,6.4100,7.2500,6.4100,7.0500,16217
2020-06-16,6.6000,6.6900,6.4409,6.6900,3538
2020-06-15,6.3713,6.4300,6.3713,6.4300,952
2020-06-12,6.1600,6.5800,6.1600,6.3790,6468
2020-06-11,6.1900,6.3299,6.1419,6.1419,2732
2020-06-10,6.2000,6.3800,5.9100,6.0800,17719
2020-06-09,6.9850,6.9850,6.1325,6.4500,15834
2020-06-08,7.0500,7.0500,6.6192,6.9016,4101
2020-06-05,6.9426,7.0200,6.7500,6.7500,1252
2020-06-04,7.0300,7.0300,6.0000,6.7300,12988
2020-06-03,7.0313,7.0313,7.0200,7.0200,749
2020-06-02,6.9100,7.4655,6.6000,7.3000,4588
2020-06-01,7.3487,7.4673,6.8600,6.8600,3362
2020-05-29,6.7200,7.0000,6.6891,6.9450,5524
2020-05-28,7.7000,8.1200,6.4100,6.4100,27800
2020-05-27,8.2100,8.5000,7.7550,8.0000,5563
2020-05-26,8.5000,8.5000,8.0260,8.4000,1536
2020-05-22,8.0800,8.5000,7.6300,8.4000,1612
2020-05-21,8.6000,8.6000,7.7300,7.7300,5384
2020-05-20,8.1400,8.5100,7.7300,8.5100,6078
2020-05-19,8.6000,8.6000,7.5400,8.4900,3120
2020-05-18,8.1400,8.6000,7.8000,8.5000,9754
2020-05-15,7.6600,9.9700,7.6600,8.6000,42637
2020-05-14,7.7000,7.7000,6.4500,6.9700,8023
2020-05-13,9.1400,9.1400,7.7300,7.7300,2357
2020-05-12,8.5600,8.9666,8.4000,8.5500,3539
2020-05-11,8.8000,8.8000,8.3600,8.3600,2380
2020-05-08,9.5000,9.5000,8.3000,8.9700,2421
2020-05-07,8.9100,9.3000,8.7100,8.7100,3497
2020-05-06,8.5000,10.0000,8.2000,8.6000,10943
2020-05-05,7.7700,10.1800,7.5050,8.2100,53058
2020-05-04,6.5500,7.4000,6.3000,7.4000,18196
2020-05-01,6.4000,6.4000,6.0000,6.0291,488
2020-04-30,6.0000,6.4000,5.8000,6.4000,2012
2020-04-29,6.3900,6.3900,5.8900,5.9200,1376
2020-04-28,5.9900,6.1555,5.9800,6.0501,2506
2020-04-27,5.9700,6.1000,5.9496,6.1000,1523
2020-04-24,6.3700,6.3704,6.3700,6.3700,1051
2020-04-23,5.8000,6.4000,5.8000,6.3710,2184
2020-04-22,5.9000,5.9000,5.9000,5.9000,108
2020-04-21,6.0000,6.0000,5.8000,5.9000,2135
2020-04-20,6.0900,6.0900,6.0000,6.0000,608
2020-04-17,6.2500,6.2808,6.0200,6.0200,1662
2020-04-16,6.1500,6.4000,6.0326,6.4000,1983
2020-04-15,6.1100,6.1100,6.1100,6.1100,52
2020-04-14,6.2399,6.5000,5.8700,6.1100,5240
2020-04-13,6.2500,6.5000,5.6380,6.4600,3338
2020-04-09,5.8973,6.2500,5.8300,6.2500,1115
2020-04-08,5.7600,5.7900,5.7513,5.7900,2344
2020-04-07,6.1800,6.1800,5.7500,5.9000,1650
2020-04-06,5.9000,5.9100,5.5700,5.5700,1854
2020-04-03,5.2500,5.9000,5.1500,5.7000,1599
2020-04-02,5.2253,5.5138,5.2253,5.2400,1776
2020-04-01,5.9600,6.2500,5.3157,5.3157,2633
2020-03-31,5.7700,5.7700,5.7700,5.7700,138
2020-03-30,5.6200,6.1800,5.3158,5.8000,979
2020-03-27,5.4500,5.8261,5.4500,5.8100,2550
2020-03-26,5.4100,5.6690,5.4100,5.5000,1693
2020-03-25,5.6500,5.6500,4.4800,4.9500,11989
2020-03-24,5.5900,5.5900,5.2345,5.2445,3324
2020-03-23,4.3500,5.6600,4.3500,5.5500,2698
2020-03-20,4.7100,6.4700,4.7100,5.5700,10404
2020-03-19,4.3400,5.8600,3.8000,4.5500,26777
2020-03-18,5.1400,5.1400,3.8600,4.3400,19076
2020-03-17,6.2000,6.2000,4.0000,4.8900,12812
2020-03-16,5.7000,5.7000,4.5000,4.5448,5715
2020-03-13,6.0400,6.0400,5.2500,5.2500,3973
2020-03-12,5.8900,5.8900,5.5000,5.5000,1767
2020-03-11,6.0000,6.5800,5.7600,5.7600,5281
2020-03-10,7.4000,7.4000,6.1300,6.1300,7418
2020-03-09,5.8500,7.3900,5.6000,7.2300,5570
2020-03-06,6.5100,6.5500,6.2045,6.3700,3529
2020-03-05,7.0000,7.4000,6.6460,6.6600,8274
2020-03-04,7.4000,7.4000,6.5600,7.1000,2835
2020-03-03,7.4000,7.4000,6.7617,7.2500,9324
2020-03-02,6.6265,7.3900,6.5600,7.3900,4932
2020-02-28,6.5522,6.7600,6.5522,6.7400,3020
2020-02-27,6.7500,6.9100,6.6100,6.7600,2785
2020-02-26,7.1100,7.4000,6.7900,7.4000,4154
2020-02-25,7.5620,7.5620,7.0100,7.2951,1694
2020-02-24,7.6600,7.6600,7.5000,7.6600,7310
2020-02-21,7.2000,7.5100,7.0100,7.3900,4971
2020-02-20,7.6400,7.9800,7.2500,7.5300,14360
2020-02-19,6.5000,7.5700,6.5000,7.5650,19584
2020-02-18,5.8513,6.9499,5.7500,6.1500,2382
2020-02-14,5.6100,6.2000,5.6100,5.8325,25369
2020-02-13,5.8000,5.9114,5.7155,5.7389,2175
2020-02-12,6.1000,6.3500,5.3900,5.7268,14867
2020-02-11,6.1100,6.1100,6.1100,6.1100,285
2020-02-10,6.0800,6.2700,6.0800,6.1100,5999
2020-02-07,6.3100,6.9100,6.1009,6.3200,8129
2020-02-06,6.7330,6.8300,6.3683,6.3683,6728
2020-02-05,7.0000,7.0000,6.5143,6.7650,5092
2020-02-04,6.0000,6.9700,6.0000,6.9700,10458
2020-02-03,6.5085,6.5085,6.1500,6.2000,5891
2020-01-31,7.1300,7.1300,6.5901,6.9100,3691
2020-01-30,7.2500,7.2500,7.0900,7.0900,1103
2020-01-29,6.7700,7.2925,6.7700,7.2000,6791
2020-01-28,6.8880,7.3700,6.5500,6.6200,17096
2020-01-27,7.4200,7.5091,6.7900,6.7900,23407
2020-01-24,7.5500,7.8995,7.5500,7.6134,8027
2020-01-23,7.4001,7.6100,7.4001,7.4100,2604
2020-01-22,8.5000,9.0000,7.4600,7.5759,46277
2020-01-21,7.6000,8.3000,7.5800,8.3000,19760
2020-01-17,7.3700,7.7600,7.3700,7.4054,9526
2020-01-16,7.5800,7.7500,6.9802,7.3700,16330
2020-01-15,7.5000,8.2900,7.3106,7.5800,12944
2020-01-14,6.8400,7.3601,6.6000,7.1300,13980
2020-01-13,7.3000,8.4900,6.6900,6.8671,71638
2020-01-10,6.6400,7.2500,6.3000,7.0875,36780
2020-01-09,5.7300,6.8325,5.4100,6.2500,57510
2020-01-08,5.7450,5.7975,5.1400,5.4300,16125
2020-01-07,6.0000,6.0000,5.2500,5.2841,52277
2020-01-06,4.8600,6.0000,4.8600,5.9400,87307
2020-01-03,4.9100,5.1500,4.5600,4.7000,16717
2020-01-02,4.6000,4.7200,4.4500,4.5500,16874
2019-12-31,5.4400,5.4400,4.2600,4.4500,80986
2019-12-30,4.4000,7.0800,4.2100,5.2800,249333
2019-12-27,4.3200,4.3600,4.1800,4.2000,12947
2019-12-26,4.4392,4.5000,4.3200,4.3990,4612
2019-12-24,4.3500,4.3500,4.2585,4.2800,8394
2019-12-23,4.0700,4.3700,4.0700,4.1600,10418
2019-12-20,4.2500,4.2772,4.1000,4.2000,9712
2019-12-19,4.2500,4.2500,4.1742,4.1900,4006
2019-12-18,4.4500,4.4500,4.2600,4.2600,1771
2019-12-17,4.4500,4.5000,4.4000,4.4000,5112
2019-12-16,4.6000,4.6600,4.5000,4.5000,4003
2019-12-13,4.5600,4.6200,4.4100,4.6100,8718
2019-12-12,4.6000,4.6000,4.5500,4.5500,885
2019-12-11,4.7500,4.8069,4.5503,4.5503,2685
2019-12-10,4.9100,4.9250,4.6500,4.6800,6088
2019-12-09,5.2000,5.3200,4.7500,4.9700,18665
2019-12-06,5.4700,5.4700,4.8403,5.0451,17709
2019-12-05,4.7900,5.2400,4.7500,5.2400,5651
2019-12-04,5.4500,5.8500,4.8000,4.8000,32950
2019-12-03,5.3500,5.5000,4.7500,4.7500,7409
2019-12-02,5.2500,5.2500,5.0304,5.0304,907
2019-11-29,5.2665,5.5000,5.2665,5.5000,3119
2019-11-27,5.1700,5.5000,5.0202,5.1400,6009
2019-11-26,5.1500,5.3704,5.1500,5.3704,3533
2019-11-25,5.4703,5.4703,4.9200,5.3330,2104
2019-11-22,4.8500,5.3400,4.8500,5.1100,3424
