timestamp,open,high,low,close,volume
2020-06-19,1.5400,1.6200,1.4600,1.5000,375762
2020-06-18,1.3800,1.6200,1.2600,1.5200,1639568
2020-06-17,1.2500,1.4500,1.2400,1.3800,724279
2020-06-16,1.2900,1.3500,1.1900,1.2400,193544
2020-06-15,1.2600,1.2799,1.2000,1.2600,58120
2020-06-12,1.2400,1.2900,1.2300,1.2600,85160
2020-06-11,1.2500,1.3500,1.1900,1.2300,268230
2020-06-10,1.3600,1.4000,1.3000,1.3300,155762
2020-06-09,1.4100,1.4100,1.3300,1.3800,119088
2020-06-08,1.3400,1.3900,1.3000,1.3600,173017
2020-06-05,1.3300,1.3300,1.2600,1.3100,120187
2020-06-04,1.3400,1.3800,1.2401,1.2600,296164
2020-06-03,1.6200,1.6500,1.3000,1.3700,594201
2020-06-02,1.2400,1.7500,1.1400,1.6300,2625095
2020-06-01,1.2600,1.2600,1.2000,1.2000,65584
2020-05-29,1.3700,1.3700,1.1401,1.2800,305913
2020-05-28,1.4500,1.5900,1.3000,1.3300,923123
2020-05-27,1.3000,1.4600,1.2200,1.4300,226589
2020-05-26,1.3000,1.3550,1.1600,1.3200,92659
2020-05-22,1.2200,1.3000,1.1800,1.3000,51800
2020-05-21,1.2100,1.2500,1.1207,1.2100,14253
2020-05-20,1.2600,1.3200,1.1502,1.1900,22026
2020-05-19,1.1800,1.2792,1.0799,1.2200,91871
2020-05-18,1.1800,1.2003,1.1300,1.1700,45945
2020-05-15,1.1000,1.2300,1.1000,1.2000,32359
2020-05-14,1.2400,1.2400,1.0300,1.1000,65417
2020-05-13,1.3000,1.3000,1.2000,1.2200,45782
2020-05-12,1.3600,1.5800,1.1800,1.2200,318545
2020-05-11,1.3300,1.3899,1.3300,1.3500,20662
2020-05-08,1.3300,1.3700,1.2702,1.3100,38239
2020-05-07,1.4300,1.4500,1.2800,1.3700,53008
2020-05-06,1.3300,1.5000,1.3300,1.3300,78403
2020-05-05,1.3600,1.3851,1.3000,1.3201,60934
2020-05-04,1.2200,1.5500,1.1500,1.2701,209566
2020-05-01,1.2700,1.3000,1.1471,1.1824,24852
2020-04-30,1.2700,1.2700,1.1100,1.1800,31490
2020-04-29,1.1400,1.2500,1.1400,1.2499,35262
2020-04-28,1.2800,1.2800,1.1300,1.1527,21535
2020-04-27,1.1558,1.3000,1.1500,1.2100,42752
2020-04-24,1.1800,1.1900,1.1400,1.1500,15583
2020-04-23,1.2000,1.3400,1.1500,1.1900,66832
2020-04-22,1.0800,1.6000,1.0800,1.1899,287123
2020-04-21,1.1600,1.1600,1.0281,1.0699,44898
2020-04-20,1.3500,1.3600,1.1000,1.1800,75744
2020-04-17,1.1300,1.2898,1.1000,1.1600,73580
2020-04-16,1.1800,1.2600,1.1000,1.1300,75190
2020-04-15,1.1700,1.2500,1.0800,1.1700,127979
2020-04-14,1.2500,1.9800,1.0500,1.3800,2354558
2020-04-13,1.0400,1.0857,0.9528,1.0500,29871
2020-04-09,1.0059,1.0500,0.9110,1.0100,51333
2020-04-08,0.9887,1.0448,0.9118,0.9700,31673
2020-04-07,0.9045,0.9936,0.8803,0.9359,16151
2020-04-06,0.8730,0.9700,0.8257,0.8970,23832
2020-04-03,0.8588,0.8588,0.8101,0.8201,13154
2020-04-02,0.9630,0.9996,0.8100,0.8600,10628
2020-04-01,0.9100,1.0000,0.9000,0.9348,10997
2020-03-31,0.9139,1.0100,0.8589,0.9600,21880
2020-03-30,0.9600,1.0300,0.9111,0.9694,33055
2020-03-27,1.0700,1.0700,0.9200,1.0500,53735
2020-03-26,1.0600,1.1500,0.8400,1.1050,202972
2020-03-25,0.8300,2.0500,0.7600,1.1300,1540921
2020-03-24,0.9100,0.9400,0.7960,0.8800,61646
2020-03-23,0.8600,0.9553,0.7800,0.9248,111240
2020-03-20,0.7100,0.9000,0.6100,0.7800,202304
2020-03-19,0.6750,0.7400,0.6700,0.6700,9603
2020-03-18,0.6800,0.7178,0.6500,0.6725,23885
2020-03-17,0.6936,0.7000,0.6500,0.6600,8872
2020-03-16,0.7400,0.7914,0.6850,0.6900,27476
2020-03-13,0.8600,0.8985,0.7327,0.8440,48116
2020-03-12,0.9800,0.9800,0.7995,0.8500,58058
2020-03-11,1.0400,1.0700,1.0100,1.0104,17361
2020-03-10,1.0500,1.1000,1.0000,1.0910,36548
2020-03-09,1.1900,1.2003,0.9639,1.0000,79793
2020-03-06,1.1500,1.3799,1.0624,1.1972,101672
2020-03-05,1.1658,1.3699,1.1400,1.1498,14101
2020-03-04,1.2101,1.2800,1.1200,1.1599,23403
2020-03-03,1.4100,1.4100,1.1723,1.2027,39847
2020-03-02,1.0800,1.4600,1.0800,1.3350,147467
2020-02-28,1.0700,1.1900,0.9600,1.0700,58254
2020-02-27,1.1000,1.2067,1.0700,1.1438,64515
2020-02-26,1.2800,1.2999,1.2200,1.2300,15989
2020-02-25,1.4337,1.4755,1.2100,1.3000,62376
2020-02-24,1.4700,1.4900,1.4100,1.4800,25881
2020-02-21,1.5000,1.5000,1.4000,1.4900,28805
2020-02-20,1.5100,1.6400,1.5000,1.5000,45743
2020-02-19,1.6400,1.6600,1.5101,1.5800,32372
2020-02-18,1.5800,1.6700,1.5100,1.5650,79510
2020-02-14,1.5200,1.5500,1.3200,1.5495,105770
2020-02-13,1.4900,1.5777,1.4600,1.4600,27397
2020-02-12,1.5800,1.5800,1.4500,1.4500,48173
2020-02-11,1.5200,1.7000,1.2500,1.4200,135133
2020-02-10,2.0600,2.0600,1.6500,1.7100,127889
2020-02-07,2.0100,2.0899,2.0000,2.0200,56659
2020-02-06,2.2100,2.2100,2.0100,2.0500,96395
2020-02-05,2.2100,2.2103,2.0600,2.1400,122767
2020-02-04,2.6500,2.6500,2.1600,2.2000,465113
2020-02-03,3.3700,4.4234,2.5000,2.7500,10049463
2020-01-31,2.0700,2.1331,2.0300,2.0300,31744
2020-01-30,2.0862,2.2679,2.0746,2.1541,8788
2020-01-29,2.1800,2.2000,2.1000,2.1100,7743
2020-01-28,2.2371,2.2371,2.1441,2.1711,9881
2020-01-27,2.2300,2.2394,2.1623,2.1900,29097
2020-01-24,2.2523,2.4999,2.2500,2.2900,85754
2020-01-23,2.4200,2.4693,2.2582,2.3000,29855
2020-01-22,2.3800,2.4621,2.3525,2.4200,19847
2020-01-21,2.3000,2.4900,2.3000,2.4000,42353
