timestamp,open,high,low,close,volume
2020-06-19,4.6900,5.5799,4.1000,4.9000,76378
2020-06-18,5.6532,5.6532,4.8000,4.8000,27305
2020-06-17,4.3321,6.2000,4.2600,4.8300,148130
2020-06-16,4.9999,4.9999,3.9500,4.2800,69893
2020-06-15,3.9800,4.0000,3.0001,3.6750,69511
2020-06-12,4.1900,4.4750,3.8000,4.1400,13428
2020-06-11,5.5600,5.5600,3.8500,4.1600,28904
2020-06-10,4.8500,5.6609,4.5450,5.5600,173463
2020-06-09,4.7360,5.1000,4.6100,4.9800,199129
2020-06-08,5.0000,5.0750,4.6439,4.6439,28908
2020-06-05,4.2700,4.9700,4.2700,4.9100,266051
2020-06-04,4.8500,4.9000,4.0000,4.2500,31466
2020-06-03,4.3900,4.9500,4.3900,4.5600,82413
2020-06-02,5.2000,5.2400,4.2500,4.4000,329682
2020-06-01,4.7900,5.2400,3.8000,4.5000,107824
2020-05-29,2.7500,4.6000,2.5500,4.5000,426681
2020-05-28,2.8500,2.8500,2.5500,2.7416,13626
2020-05-27,2.4600,2.9200,2.3970,2.4481,15834
2020-05-26,2.3800,2.7500,2.3000,2.3600,15971
2020-05-22,2.9000,2.9000,2.4050,2.4800,45295
2020-05-21,2.6823,2.9000,2.6823,2.8500,9602
2020-05-20,2.9500,2.9500,2.7500,2.7500,172426
2020-05-19,2.7000,2.8000,2.6000,2.8000,2205
2020-05-18,2.7500,2.7500,2.6500,2.6500,938
2020-05-15,2.4432,4.3000,2.4000,2.5999,25585
2020-05-14,2.0500,2.6400,1.9000,2.6000,8450
2020-05-13,2.0000,2.5300,1.8700,2.1300,10038
2020-05-12,2.0000,2.6400,2.0000,2.1300,10700
2020-05-11,2.0000,2.1000,2.0000,2.0500,16900
2020-05-08,1.9000,2.1200,1.9000,2.0100,49690
2020-05-06,1.8349,1.8349,1.8349,1.8349,20
2020-05-05,1.8349,1.8349,1.8349,1.8349,100
2020-05-04,1.6600,1.9900,1.6600,1.9600,4720
2020-05-01,1.9800,1.9900,1.9800,1.9900,1000
2020-04-30,1.8500,2.0000,1.7900,1.9700,79800
2020-04-29,1.6500,1.9000,1.6000,1.8900,15359
2020-04-28,1.8500,1.8500,1.7800,1.7800,2000
2020-04-27,1.8900,1.9000,1.8900,1.9000,500
2020-04-22,1.5200,2.0000,1.5200,1.9900,66400
2020-04-21,1.8601,1.9800,1.3000,1.9600,20451
2020-04-20,1.9000,1.9900,1.9000,1.9900,4769
