timestamp,open,high,low,close,volume
2020-06-19,3.0300,3.1500,3.0300,3.1500,13836
2020-06-18,3.0900,3.1210,2.9956,3.0900,45040
2020-06-17,3.0300,3.0300,2.8900,2.8900,5911
2020-06-16,3.1500,3.1500,2.9800,3.0300,15051
2020-06-15,2.8000,2.9900,2.8000,2.9300,5829
2020-06-12,3.0600,3.0600,2.8558,2.9400,5685
2020-06-11,2.9800,3.1200,2.8100,2.8300,9441
2020-06-10,3.1500,3.1500,3.0300,3.0900,3918
2020-06-09,3.1400,3.1400,3.0500,3.0900,4599
2020-06-08,3.3750,3.4300,3.1200,3.1500,6756
2020-06-05,3.0800,3.2700,3.0100,3.2100,42112
2020-06-04,2.9477,2.9835,2.8550,2.9700,20586
2020-06-03,2.9552,3.0000,2.8900,2.9400,10373
2020-06-02,2.9001,2.9400,2.8400,2.8400,8485
2020-06-01,2.9850,3.0000,2.8600,3.0000,12692
2020-05-29,2.9700,2.9700,2.9000,2.9300,7143
2020-05-28,2.9600,2.9600,2.8700,2.8700,2792
2020-05-27,2.7700,3.0300,2.7700,3.0100,11439
2020-05-26,2.9600,3.0187,2.9000,2.9700,12724
2020-05-22,2.8800,2.8800,2.7700,2.8800,9764
2020-05-21,2.8900,2.9000,2.8200,2.8200,16499
2020-05-20,2.8600,2.8850,2.8500,2.8700,15261
2020-05-19,3.0150,3.1000,2.8600,2.8600,17483
2020-05-18,3.0800,3.1950,2.9500,3.0000,6225
2020-05-15,3.0250,3.0400,2.9300,2.9400,6604
2020-05-14,3.0000,3.1400,2.8800,3.1400,12008
2020-05-13,2.9900,3.0000,2.8800,3.0000,8282
2020-05-12,2.9300,3.0324,2.9300,2.9800,9554
2020-05-11,2.9500,3.1400,2.9200,2.9200,28022
2020-05-08,3.1300,3.3500,2.9650,3.0700,27749
2020-05-07,2.8500,3.1000,2.8500,3.0800,24891
2020-05-06,2.8600,3.0000,2.8550,2.9000,17990
2020-05-05,3.0400,3.0900,2.9100,2.9100,18051
2020-05-04,2.9500,3.1400,2.8803,2.9100,15774
2020-05-01,3.1700,3.3600,2.8800,2.9000,54840
2020-04-30,3.0853,3.1900,3.0800,3.1900,4488
2020-04-29,3.0100,3.2000,3.0100,3.0400,8830
2020-04-28,3.0000,3.4200,3.0000,3.0000,6857
2020-04-27,2.7880,3.1100,2.7495,2.9400,32658
2020-04-24,2.7162,2.7600,2.7000,2.7000,1169
2020-04-23,2.7100,2.7200,2.7100,2.7200,519
