timestamp,open,high,low,close,volume
2020-06-19,5.0600,5.0900,4.9700,5.0800,34625
2020-06-18,5.0000,5.1100,4.9000,5.0600,101139
2020-06-17,5.0600,5.1200,4.9899,5.0000,58653
2020-06-16,5.2400,5.2900,4.9561,4.9600,31771
2020-06-15,4.9600,5.1400,4.9000,5.1300,53444
2020-06-12,5.1300,5.1300,4.8700,4.9600,20628
2020-06-11,5.1500,5.1747,4.8600,4.9900,47748
2020-06-10,5.3200,5.3700,5.1600,5.3400,36556
2020-06-09,5.4200,5.4200,5.2400,5.2500,26157
2020-06-08,5.4200,5.4200,5.2700,5.4200,27078
2020-06-05,5.5100,5.5200,5.2800,5.3800,44097
2020-06-04,5.3800,5.3800,5.2600,5.2900,21967
2020-06-03,5.3135,5.5200,5.3135,5.3800,44937
2020-06-02,5.1400,5.3700,5.1400,5.3300,26585
2020-06-01,5.2610,5.3200,5.2000,5.2300,11829
2020-05-29,5.1464,5.3500,5.0700,5.2400,29096
2020-05-28,5.0900,5.3400,5.0900,5.1700,18880
2020-05-27,5.1555,5.1700,4.9700,5.1000,22332
2020-05-26,5.2800,5.2800,5.0700,5.1300,23086
2020-05-22,5.2000,5.2200,4.9000,4.9900,39837
2020-05-21,5.2700,5.2900,5.1600,5.2000,22952
2020-05-20,5.1355,5.2900,5.1100,5.2800,39668
2020-05-19,4.9390,5.1705,4.9390,5.1100,41344
2020-05-18,4.8900,5.1100,4.8100,4.9700,37448
2020-05-15,4.9300,5.0900,4.8500,4.9200,14091
2020-05-14,4.8500,4.9200,4.7900,4.9100,28674
2020-05-13,5.2200,5.2200,4.8200,4.9200,41246
2020-05-12,5.4500,5.4500,5.2200,5.2800,44924
2020-05-11,5.1900,5.7100,5.1900,5.4900,59716
2020-05-08,4.9800,5.3001,4.9800,5.2700,57668
2020-05-07,4.9500,5.1300,4.9247,5.0300,41593
2020-05-06,5.0000,5.0500,4.9747,5.0200,11592
2020-05-05,4.9900,5.2200,4.9900,5.0400,41813
2020-05-04,5.0900,5.1000,4.9397,5.0100,24609
2020-05-01,4.8800,5.1000,4.8600,5.1000,44684
2020-04-30,4.8400,5.0100,4.7350,4.9600,37150
2020-04-29,4.9700,5.1600,4.7017,4.9500,37375
2020-04-28,4.9850,5.1600,4.7900,4.9400,53602
2020-04-27,4.6500,5.1300,4.6500,5.1200,43614
2020-04-24,4.6400,4.7700,4.5300,4.5900,45193
2020-04-23,4.3800,4.6000,4.3800,4.5400,39413
2020-04-22,4.3100,4.4700,4.3100,4.4400,30370
2020-04-21,4.3800,4.4300,4.1800,4.2500,49423
2020-04-20,4.3400,4.5100,4.2800,4.3700,22545
2020-04-17,4.6900,4.7700,4.1800,4.3500,131604
2020-04-16,4.5600,4.7467,4.5600,4.7000,15027
2020-04-15,4.5800,4.7400,4.4700,4.6400,27529
2020-04-14,4.8000,4.9000,4.6700,4.8200,46115
2020-04-13,4.6500,4.7809,4.5355,4.7000,34254
2020-04-09,4.7500,4.7600,4.4590,4.6000,61425
2020-04-08,4.6100,4.7600,4.6100,4.7400,36873
2020-04-07,4.7500,4.8100,4.5600,4.6300,34762
2020-04-06,4.5800,4.7000,4.5000,4.6400,32274
2020-04-03,4.2900,4.7400,4.2900,4.4800,39677
2020-04-02,4.2800,4.4900,4.2000,4.4300,28210
2020-04-01,4.2497,4.3300,4.2000,4.2700,18258
2020-03-31,4.1300,4.3900,4.0900,4.3500,20058
2020-03-30,4.3500,4.7500,4.1000,4.1800,51707
2020-03-27,4.2900,4.4100,4.1800,4.2500,31936
2020-03-26,4.4700,4.6800,4.3000,4.4800,60461
2020-03-25,4.4700,4.6750,4.2900,4.3800,42217
2020-03-24,4.1500,4.4600,4.0900,4.4000,74622
2020-03-23,3.9900,4.0400,3.7700,4.0300,54198
2020-03-20,3.8700,4.0600,3.7500,4.0400,72635
2020-03-19,3.8600,4.0500,3.7500,3.8400,70324
2020-03-18,3.8300,4.0300,3.8200,3.9100,34871
2020-03-17,3.6700,4.1400,3.6000,4.0500,126268
2020-03-16,3.7500,3.7800,3.5500,3.6000,80607
2020-03-13,4.0400,4.2000,3.8180,4.0500,81929
2020-03-12,4.2000,4.2000,3.8700,3.8700,140309
2020-03-11,4.3700,4.3700,4.2100,4.3300,69797
2020-03-10,4.2269,4.5930,4.2269,4.4100,20400
2020-03-09,4.4100,4.5700,4.3500,4.4200,51460
2020-03-06,4.7500,4.8500,4.5500,4.6800,98657
2020-03-05,4.9700,4.9800,4.7800,4.7800,82775
2020-03-04,5.0300,5.1300,4.9000,4.9700,76734
2020-03-03,4.9500,5.0800,4.8300,4.9000,88882
2020-03-02,5.0000,5.0600,4.8900,4.9600,99431
2020-02-28,4.8300,5.0500,4.8100,4.9800,116055
2020-02-27,5.0000,5.1500,4.8200,4.9700,118720
2020-02-26,5.0500,5.3000,5.0500,5.0700,77379
2020-02-25,5.4300,5.4500,5.0000,5.0700,101881
2020-02-24,5.5000,5.6100,5.4300,5.4300,88073
2020-02-21,5.7500,5.9400,5.6600,5.6700,79679
2020-02-20,5.7200,5.9816,5.7200,5.8600,50791
2020-02-19,5.7800,6.0300,5.6352,5.7000,108040
2020-02-18,5.7000,5.8800,5.6200,5.7900,112114
2020-02-14,5.4100,5.7200,5.4100,5.7000,92416
2020-02-13,5.4400,5.6600,5.3700,5.4100,133227
2020-02-12,5.3200,5.4318,5.2500,5.3000,94220
2020-02-11,5.2000,5.4000,5.2000,5.3000,119245
2020-02-10,5.5500,5.6100,5.1750,5.1900,206763
2020-02-07,5.5100,5.7000,5.3100,5.5900,81313
2020-02-06,5.6600,5.7000,5.4600,5.5300,94529
2020-02-05,5.5200,5.7700,5.4900,5.6200,92817
2020-02-04,5.2300,5.6092,5.2100,5.4700,78733
2020-02-03,5.1000,5.3500,5.0800,5.1900,91054
2020-01-31,5.2800,5.3500,5.1200,5.1300,179139
2020-01-30,6.1700,6.2100,5.3308,5.3400,239401
2020-01-29,7.8600,7.8900,6.3100,6.3100,256817
2020-01-28,7.7000,7.9600,7.5200,7.8800,284111
2020-01-27,7.6900,7.8000,7.5100,7.7400,50790
2020-01-24,7.8600,7.8800,7.6500,7.7700,83474
2020-01-23,7.6700,7.8700,7.6450,7.8000,83445
2020-01-22,7.7000,7.7400,7.5021,7.6200,54203
2020-01-21,7.5500,7.7000,7.4782,7.7000,52912
2020-01-17,7.6000,7.6100,7.4450,7.5400,37628
2020-01-16,7.4101,7.5700,7.4100,7.5200,44420
2020-01-15,7.5000,7.5200,7.4050,7.4500,49561
2020-01-14,7.4400,7.4900,7.3800,7.4600,37002
2020-01-13,7.3000,7.5000,7.2800,7.4700,64568
2020-01-10,7.2000,7.3700,7.1800,7.3200,38160
2020-01-09,7.1800,7.2400,7.1700,7.2300,38811
2020-01-08,7.1500,7.2100,7.1500,7.1700,22062
2020-01-07,7.1000,7.1800,7.0575,7.1700,26078
2020-01-06,7.2100,7.2500,7.0600,7.1000,44213
2020-01-03,7.1400,7.2500,7.0900,7.2100,40267
