timestamp,open,high,low,close,volume
2020-06-19,4.4000,4.4000,4.2100,4.2500,245776
2020-06-18,4.4500,4.5300,4.2900,4.3300,145577
2020-06-17,4.5300,4.5550,4.3000,4.5100,198943
2020-06-16,4.5900,4.7100,4.4900,4.5300,93368
2020-06-15,4.2600,4.5400,4.2600,4.4700,109268
2020-06-12,4.3300,4.5400,4.3100,4.3800,148166
2020-06-11,4.3400,4.3500,4.1750,4.3200,290947
2020-06-10,4.7800,4.8200,4.3700,4.4100,675924
2020-06-09,4.8000,4.9190,4.7200,4.8200,169651
2020-06-08,4.8000,5.0500,4.7996,4.8500,252646
2020-06-05,4.9400,5.0800,4.7500,4.8000,211639
2020-06-04,4.6300,4.8000,4.5440,4.7900,102986
2020-06-03,4.5200,4.7200,4.4752,4.5900,278010
2020-06-02,4.7200,4.7525,4.4500,4.4800,238863
2020-06-01,4.7600,4.8400,4.7100,4.7100,89560
2020-05-29,4.9200,5.0000,4.6800,4.7800,130930
2020-05-28,5.0200,5.0700,4.9100,4.9700,183936
2020-05-27,4.7500,5.0300,4.7000,5.0300,464068
2020-05-26,4.4200,4.8440,4.4000,4.7200,449440
2020-05-22,4.8200,4.8400,4.2500,4.3600,645256
2020-05-21,4.8300,4.9500,4.8000,4.8600,143736
2020-05-20,4.8500,4.9300,4.8103,4.8400,149888
2020-05-19,4.6500,4.8500,4.5500,4.7900,188718
2020-05-18,4.3900,4.7500,4.3900,4.6500,304435
2020-05-15,4.1500,4.4000,4.1500,4.3300,116569
2020-05-14,4.1300,4.2210,4.0300,4.2000,136345
2020-05-13,4.3900,4.4000,3.9600,4.1800,438114
2020-05-12,4.6000,4.6000,4.3490,4.3700,270050
2020-05-11,4.6900,4.7070,4.4100,4.5700,584771
2020-05-08,4.8000,4.9000,4.7000,4.7000,232345
2020-05-07,4.6300,4.8550,4.6300,4.7500,131449
2020-05-06,5.0100,5.0250,4.5700,4.6300,739769
2020-05-05,5.1000,5.2100,4.9900,5.0500,169411
2020-05-04,5.0400,5.1000,4.9300,5.0800,148537
2020-05-01,5.0500,5.2100,4.9800,5.0400,261591
2020-04-30,5.2600,5.2600,5.0100,5.1000,239325
2020-04-29,5.1000,5.2800,5.0000,5.1000,330581
2020-04-28,5.0300,5.2500,5.0100,5.0400,323169
2020-04-27,5.0200,5.1000,4.9100,5.0400,129971
2020-04-24,5.0500,5.3000,4.9000,5.0300,145510
2020-04-23,4.9900,5.2500,4.9800,5.0500,102999
2020-04-22,5.1200,5.2000,4.7600,4.9200,337542
2020-04-21,5.2200,5.3150,5.0200,5.0700,188969
2020-04-20,5.5200,5.7190,5.0900,5.3400,295114
2020-04-17,5.5800,5.6600,5.5100,5.6300,128980
2020-04-16,5.4400,5.4500,5.2300,5.4500,157852
2020-04-15,5.5000,5.5100,5.3101,5.4100,145708
2020-04-14,5.5400,5.7500,5.4200,5.5800,199205
2020-04-13,5.7900,5.7900,5.2200,5.4800,205608
2020-04-09,5.0500,5.7500,5.0500,5.6600,385896
2020-04-08,5.0000,5.2396,4.8100,4.9900,419033
2020-04-07,4.8800,5.0900,4.7500,4.9100,307794
2020-04-06,4.7100,4.9600,4.6700,4.8100,240880
2020-04-03,4.8800,4.9082,4.4900,4.7150,309635
2020-04-02,4.8700,4.9400,4.7200,4.8700,187467
2020-04-01,5.0800,5.1600,4.7700,4.8300,456508
2020-03-31,5.4000,5.4200,5.1800,5.2400,244227
2020-03-30,5.5900,5.6600,5.1800,5.3900,264951
2020-03-27,5.5100,5.9500,5.3100,5.7700,268591
2020-03-26,5.4000,5.9100,5.3300,5.6000,390049
2020-03-25,5.1200,5.6500,5.0695,5.4000,355142
2020-03-24,4.7000,5.3800,4.6501,5.0800,496727
2020-03-23,4.7600,4.7738,3.7600,4.3700,1059510
2020-03-20,5.1700,5.4500,4.7100,4.7500,631006
2020-03-19,4.1000,5.3800,4.1000,4.9800,899697
2020-03-18,5.4100,5.5000,4.1000,4.1000,1423901
2020-03-17,5.8000,6.0395,5.5200,5.5200,725526
2020-03-16,6.2600,6.2600,5.7500,5.7500,641812
2020-03-13,6.8200,7.0000,6.4000,6.4800,576562
2020-03-12,6.8100,6.8300,6.3200,6.6900,866810
2020-03-11,7.0900,7.1500,6.9600,7.0100,236316
2020-03-10,7.1800,7.2500,7.0101,7.2100,338150
2020-03-09,7.1300,7.3400,7.0000,7.0900,354123
2020-03-06,7.3500,7.5390,7.2400,7.4100,141354
2020-03-05,7.4700,7.6100,7.4100,7.5100,86682
2020-03-04,7.3700,7.7000,7.3700,7.6500,136255
2020-03-03,7.5900,7.7200,7.3400,7.4100,213576
2020-03-02,7.0000,7.5500,7.0000,7.5500,283785
2020-02-28,7.1900,7.3564,6.8500,6.9800,830555
2020-02-27,7.7200,7.7427,7.3700,7.3700,312545
