timestamp,open,high,low,close,volume
2020-06-19,2.0600,2.2500,2.0100,2.0800,1223250
2020-06-18,2.0300,2.2000,1.9300,2.0600,1375130
2020-06-17,1.9400,2.1700,1.8800,1.9899,1185245
2020-06-16,1.9500,2.0000,1.8500,1.8900,219400
2020-06-15,2.0800,2.0800,1.9088,1.9300,219735
2020-06-12,1.9200,2.6000,1.8000,2.1700,1139954
2020-06-11,2.6000,2.7500,1.9500,1.9800,854356
2020-06-10,2.0100,2.3500,1.9800,2.1350,515277
2020-06-09,2.0000,2.0400,1.9500,2.0300,155759
2020-06-08,2.1400,2.2300,1.9600,2.0000,812610
2020-06-05,1.9500,1.9800,1.8300,1.9300,118148
2020-06-04,1.9000,1.9400,1.8800,1.9200,108253
2020-06-03,1.9100,1.9500,1.8201,1.8700,60302
2020-06-02,1.9000,1.9500,1.8464,1.9300,60639
2020-06-01,1.9500,1.9500,1.7800,1.9000,308724
2020-05-29,1.7700,1.8000,1.7400,1.7600,27336
2020-05-28,1.7700,1.8600,1.7600,1.7754,16906
2020-05-27,1.7700,1.8200,1.7500,1.7621,41594
2020-05-26,1.9200,1.9500,1.7400,1.7400,47080
2020-05-22,1.7500,1.9300,1.7500,1.8800,46809
2020-05-21,1.9900,2.0599,1.7600,1.7900,103402
2020-05-20,1.9500,2.1000,1.9500,2.0500,165294
2020-05-19,1.7000,1.9200,1.7000,1.9200,441776
2020-05-18,1.6800,1.7873,1.6701,1.7200,13896
2020-05-15,1.6300,1.8000,1.6300,1.7200,50850
2020-05-14,1.6600,1.7000,1.6000,1.7000,19182
2020-05-13,1.8800,1.8800,1.6200,1.6900,44125
2020-05-12,1.7500,1.8600,1.6700,1.7500,55490
2020-05-11,1.6500,1.8400,1.6500,1.8000,131030
2020-05-08,1.6500,1.7300,1.6400,1.7300,40292
2020-05-07,1.6200,1.7501,1.6101,1.7100,135937
2020-05-06,1.5900,1.7800,1.5600,1.6900,275882
2020-05-05,1.6700,1.7073,1.5690,1.6700,47664
2020-05-04,1.6800,1.7988,1.5500,1.7200,239339
2020-05-01,1.8500,1.8500,1.7000,1.7700,136258
2020-04-30,1.8300,1.8800,1.7300,1.7600,77627
2020-04-29,1.9500,1.9500,1.8200,1.8800,105425
2020-04-28,2.0300,2.1000,1.8800,1.9500,268909
2020-04-27,1.9500,1.9700,1.8300,1.8800,90950
2020-04-24,1.9200,1.9800,1.8300,1.8800,68711
2020-04-23,1.9900,2.0150,1.7700,1.9500,270442
2020-04-22,3.6000,3.6500,2.0200,2.1200,4399893
2020-04-21,1.9000,1.9001,1.6501,1.7400,55888
2020-04-20,1.9800,2.2500,1.8700,1.9100,192347
2020-04-17,2.2600,2.6000,2.0000,2.2600,319722
2020-04-16,1.5600,2.3700,1.3800,1.9100,828216
2020-04-15,1.4200,1.5500,1.4200,1.5101,49777
2020-04-14,1.5300,1.5600,1.4300,1.5356,50120
2020-04-13,1.6600,1.6600,1.4497,1.5200,20177
2020-04-09,1.7000,1.7300,1.4850,1.5500,28713
2020-04-08,1.7800,2.2000,1.5700,1.6700,139520
2020-04-07,1.7300,1.7408,1.6800,1.7200,8945
2020-04-06,1.7700,1.7700,1.6500,1.7000,6833
2020-04-03,1.7316,1.7316,1.6200,1.6200,26830
2020-04-02,1.7300,1.8707,1.6500,1.6900,68742
2020-04-01,1.9099,1.9099,1.6000,1.7800,80088
2020-03-31,1.7300,1.8800,1.6900,1.7300,30902
2020-03-30,1.7000,1.7283,1.5600,1.6900,39550
2020-03-27,1.6500,1.7900,1.6500,1.7000,11258
2020-03-26,1.6700,1.7700,1.6300,1.6800,35583
2020-03-25,1.7100,1.9000,1.6700,1.6700,21791
2020-03-24,1.7400,1.8111,1.7000,1.7000,33753
2020-03-23,1.8000,1.9300,1.7009,1.7706,22075
2020-03-20,1.9500,2.0005,1.6700,1.8200,107643
2020-03-19,1.6800,1.9450,1.6550,1.8300,92493
2020-03-18,1.7300,2.0300,1.7000,1.7100,24926
2020-03-17,1.8500,2.0400,1.7250,1.8703,75996
2020-03-16,1.6905,1.9100,1.6905,1.8800,56930
2020-03-13,1.8000,1.9700,1.6001,1.9301,99568
2020-03-12,1.8001,1.9900,1.7700,1.8800,92544
2020-03-11,1.8950,1.9650,1.7700,1.9101,115290
2020-03-10,1.8100,2.0800,1.8000,1.9500,138370
2020-03-09,1.6200,1.8510,1.6200,1.8400,50524
2020-03-06,2.1800,2.1900,1.9500,2.0500,92922
2020-03-05,2.2500,2.2500,1.9000,2.1599,141519
2020-03-04,2.0100,2.2700,1.8800,2.1700,172991
2020-03-03,1.8800,2.2800,1.8200,2.1000,185137
2020-03-02,1.8800,2.2500,1.8600,1.9700,203617
2020-02-28,2.0000,3.1600,1.7800,2.3000,886300
2020-02-27,1.7500,1.9800,1.7500,1.8900,86312
2020-02-26,1.8900,2.0000,1.7800,1.8300,91795
2020-02-25,1.8300,1.9899,1.7000,1.8800,97744
2020-02-24,1.8500,2.0500,1.7400,1.8200,65382
2020-02-21,1.9200,2.0300,1.8600,1.8700,48432
2020-02-20,1.7071,1.9650,1.7000,1.8800,108882
2020-02-19,2.0999,2.0999,1.6600,1.8200,29687
2020-02-18,1.8000,2.2000,1.8000,1.9200,55755
2020-02-14,1.6000,1.8221,1.6000,1.7800,45759
2020-02-13,1.5600,1.6200,1.5600,1.6000,13417
2020-02-12,1.5862,1.7696,1.5000,1.5200,14234
2020-02-11,1.7300,1.7500,1.6800,1.7500,5733
2020-02-10,1.7100,1.7800,1.6962,1.7300,4770
2020-02-07,1.7700,1.8500,1.6800,1.7201,12117
2020-02-06,1.7800,1.8900,1.7500,1.7700,30978
2020-02-05,1.8000,1.8000,1.7200,1.7600,27137
2020-02-04,1.7400,1.8150,1.7400,1.7800,17371
2020-02-03,1.9000,1.9000,1.7100,1.8200,24360
2020-01-31,1.9800,2.0500,1.8200,1.8601,42209
2020-01-30,2.0600,2.2500,1.9200,2.1600,155692
2020-01-29,2.4000,3.7500,2.0300,2.3100,2435054
2020-01-28,1.9100,1.9204,1.8500,1.9000,12218
2020-01-27,1.8300,1.9100,1.8300,1.8900,17905
2020-01-24,1.8100,1.9410,1.8073,1.8900,29226
2020-01-23,1.9000,1.9782,1.8000,1.8500,63617
2020-01-22,1.8100,1.9400,1.7796,1.9200,61813
2020-01-21,1.8200,1.9500,1.6800,1.8301,97961
2020-01-17,1.8400,1.9000,1.7934,1.8300,80947
2020-01-16,1.8200,1.9200,1.7800,1.8500,51202
2020-01-15,1.8200,1.9500,1.7100,1.8200,59175
2020-01-14,2.0300,2.0313,1.8200,1.8750,104035
2020-01-13,1.8500,2.1232,1.8200,2.0196,182477
2020-01-10,1.8300,1.8300,1.6500,1.7800,67064
2020-01-09,1.8200,1.8400,1.7500,1.8200,49064
2020-01-08,1.9400,1.9700,1.8500,1.8500,49891
2020-01-07,1.8300,1.9697,1.7900,1.9397,85496
2020-01-06,1.8200,1.9500,1.7999,1.8500,49246
2020-01-03,1.8800,1.9892,1.7800,1.8990,58439
2020-01-02,2.0100,2.0100,1.7800,1.9300,31706
2019-12-31,2.1100,2.1200,1.9201,1.9500,34066
2019-12-30,2.0379,2.1200,1.9000,2.1200,14039
2019-12-27,2.0000,2.0500,1.8800,2.0500,23660
2019-12-26,2.0900,2.2399,1.9157,1.9899,29062
2019-12-24,2.2200,2.2200,1.9800,2.1897,7589
2019-12-23,1.9201,2.1000,1.9100,1.9300,13135
2019-12-20,2.1900,2.2000,1.9400,2.1000,42821
2019-12-19,2.1100,2.2724,2.0101,2.1700,26377
2019-12-18,2.2800,2.2803,2.1800,2.1800,4114
2019-12-17,2.3400,2.3650,2.2500,2.2613,13633
2019-12-16,2.3500,2.3900,2.2200,2.3500,36230
2019-12-13,2.6902,2.6902,2.2100,2.3500,24190
2019-12-12,2.4100,2.5200,2.3000,2.3300,31446
2019-12-11,2.5300,2.5450,2.2000,2.4642,31609
2019-12-10,2.5200,2.5900,2.5200,2.5400,36545
2019-12-09,2.7400,2.7500,2.5900,2.6000,32495
2019-12-06,2.7000,2.7776,2.7000,2.7200,46251
2019-12-05,2.7400,2.7550,2.6850,2.7300,46098
2019-12-04,2.8000,2.8600,2.7600,2.7701,29903
2019-12-03,2.7100,3.0850,2.7100,2.8000,73435
2019-12-02,2.7200,2.7500,2.7000,2.7500,41043
2019-11-29,2.8000,2.8400,2.6850,2.7200,35279
2019-11-27,2.8000,2.8900,2.7750,2.7750,46096
2019-11-26,2.7200,2.8300,2.7200,2.7600,51899
2019-11-25,2.7900,2.7900,2.7200,2.7300,41810
2019-11-22,2.7900,2.8200,2.7201,2.7300,28279
2019-11-21,2.7400,2.7997,2.7300,2.7652,28193
2019-11-20,2.8200,2.8300,2.7800,2.8000,67274
2019-11-19,2.7300,2.8497,2.6400,2.7700,37289
2019-11-18,2.7500,3.1400,2.7200,2.7300,41572
2019-11-15,2.7300,2.8400,2.7100,2.7800,61231
2019-11-14,2.8000,2.8500,2.7400,2.7500,48905
2019-11-13,2.7100,2.8600,2.7100,2.8000,77337
2019-11-12,2.7400,2.7500,2.7100,2.7300,37089
2019-11-11,2.7200,2.8000,2.6900,2.7700,39594
2019-11-08,2.8000,2.8300,2.7300,2.7300,35801
2019-11-07,2.7400,2.9000,2.7190,2.7900,64076
2019-11-06,2.8000,2.8100,2.6800,2.7500,71273
2019-11-05,2.8000,2.8997,2.7700,2.7900,46219
2019-11-04,2.7300,2.8363,2.7199,2.8300,53783
2019-11-01,2.8000,2.8474,2.7200,2.7400,53821
2019-10-31,2.8200,2.8600,2.7550,2.7600,38080
2019-10-30,2.7800,2.8908,2.7700,2.8100,37886
2019-10-29,2.7300,2.7800,2.7003,2.7600,41634
2019-10-28,2.9700,2.9700,2.7100,2.7400,49130
2019-10-25,2.7700,2.8600,2.7300,2.7600,30714
2019-10-24,2.8100,2.8500,2.7400,2.7800,41863
2019-10-23,2.8500,2.8501,2.7201,2.7400,55900
2019-10-22,2.7300,3.0142,2.7300,2.8100,39978
2019-10-21,2.7000,2.7900,2.7000,2.7600,52093
2019-10-18,2.7400,2.8611,2.7400,2.7900,49310
