timestamp,open,high,low,close,volume
2020-06-19,3.0500,3.2800,2.9600,3.1800,873155
2020-06-18,3.0800,3.2100,3.0500,3.0500,238411
2020-06-17,3.0400,3.2600,2.9700,3.0900,494380
2020-06-16,3.1000,3.1100,2.8600,3.0000,766105
2020-06-15,3.0100,3.1600,2.9000,3.0600,332863
2020-06-12,3.1700,3.1800,2.8500,3.0800,534331
2020-06-11,3.0700,3.3000,2.9200,3.0800,676016
2020-06-10,3.2200,3.2500,3.1100,3.1800,339349
2020-06-09,3.2300,3.2480,3.0800,3.1900,376380
2020-06-08,3.1200,3.2700,3.0000,3.1800,831689
2020-06-05,2.6800,3.4800,2.5400,3.3600,2964415
2020-06-04,2.6500,2.6954,2.5300,2.6700,472272
2020-06-03,2.6300,2.7800,2.5800,2.7300,796399
2020-06-02,2.5400,2.5500,2.3600,2.5200,490760
2020-06-01,2.4500,2.5200,2.3600,2.4600,405818
2020-05-29,2.3000,2.4000,2.2500,2.3800,465787
2020-05-28,2.1800,2.5500,2.1800,2.2700,1576796
2020-05-27,2.3000,2.3200,2.1500,2.1900,281212
2020-05-26,2.4100,2.4300,2.2800,2.3000,450897
2020-05-22,2.3700,2.4700,2.2500,2.3100,755817
2020-05-21,2.2400,2.4424,2.1200,2.3800,1419837
2020-05-20,1.7600,2.6800,1.7600,2.2000,8792662
2020-05-19,1.8000,1.8400,1.6700,1.7500,148420
2020-05-18,1.6400,1.8100,1.6000,1.8100,295993
2020-05-15,1.7200,1.7800,1.6482,1.7000,253739
2020-05-14,1.5200,1.9000,1.4500,1.7700,746599
2020-05-13,1.6300,1.6700,1.4800,1.5500,295990
2020-05-12,1.6000,1.7000,1.5200,1.6300,239653
2020-05-11,1.6000,1.7022,1.6000,1.6300,241847
2020-05-08,1.5900,1.6500,1.5700,1.6400,219601
2020-05-07,1.6500,1.8900,1.4800,1.6600,1015194
2020-05-06,1.9400,2.0090,1.9100,1.9300,92644
2020-05-05,2.0500,2.0900,1.9500,1.9500,191967
2020-05-04,2.0400,2.1000,2.0340,2.0900,57333
2020-05-01,2.1500,2.2000,1.9600,2.1000,210797
2020-04-30,2.1100,2.2100,2.0900,2.1800,207191
2020-04-29,2.1700,2.2400,2.1100,2.2100,184798
2020-04-28,2.3200,2.3200,2.1700,2.2200,213159
2020-04-27,2.3000,2.4700,2.2000,2.2800,757555
2020-04-24,2.1000,2.1998,2.0700,2.1800,372991
2020-04-23,2.0700,2.2200,2.0700,2.1000,331863
2020-04-22,2.1200,2.1200,2.0000,2.1200,232893
2020-04-21,2.1800,2.2000,1.9104,2.1200,544545
2020-04-20,2.0400,2.2800,2.0300,2.1500,1278365
2020-04-17,1.9500,2.1000,1.7700,2.0700,1169947
2020-04-16,3.0000,3.1100,2.0000,2.1100,15127097
2020-04-15,1.5300,1.5500,1.4900,1.5300,67719
2020-04-14,1.5400,1.5700,1.4900,1.5400,89164
2020-04-13,1.4800,1.5600,1.4500,1.5400,150750
2020-04-09,1.6400,1.6500,1.4500,1.4800,258303
2020-04-08,1.5000,1.6200,1.4000,1.5800,272752
2020-04-07,1.4500,1.5500,1.3000,1.5000,1048435
2020-04-06,1.0900,2.1100,1.0100,1.5000,6579021
2020-04-03,1.1700,1.1700,0.9999,1.0400,137559
2020-04-02,1.2400,1.2400,1.0900,1.1800,113520
2020-04-01,1.3900,1.3900,1.1900,1.1999,106981
2020-03-31,1.2400,1.3700,1.2000,1.3300,264857
2020-03-30,1.1300,1.5000,1.1300,1.1800,824438
2020-03-27,1.1000,1.1250,1.0000,1.0436,51059
2020-03-26,1.0200,1.1500,1.0200,1.1000,133193
2020-03-25,0.9396,1.0900,0.9301,1.0300,100170
2020-03-24,0.9178,0.9399,0.9001,0.9398,111841
2020-03-23,0.9300,0.9383,0.8301,0.9089,54975
2020-03-20,0.8241,0.9500,0.8241,0.8803,128783
2020-03-19,0.8587,0.8587,0.7850,0.8282,68247
2020-03-18,0.8299,0.9000,0.8000,0.8300,86102
2020-03-17,0.8859,0.8860,0.8100,0.8260,53057
2020-03-16,0.7900,0.9058,0.7774,0.7850,135763
2020-03-13,0.9000,0.9399,0.8200,0.9100,218708
2020-03-12,0.8500,0.8500,0.7550,0.8200,149215
2020-03-11,0.8300,0.9900,0.8200,0.8800,309036
2020-03-10,1.1000,1.1100,1.0100,1.0500,164014
2020-03-09,1.1500,1.1570,1.0600,1.1000,91279
2020-03-06,1.2200,1.2200,1.1700,1.1800,64390
2020-03-05,1.2100,1.2600,1.2100,1.2299,29325
2020-03-04,1.2900,1.2900,1.2100,1.2110,50627
2020-03-03,1.2500,1.2800,1.2500,1.2598,28789
2020-03-02,1.3100,1.3100,1.2000,1.2300,54801
2020-02-28,1.2000,1.2600,1.2000,1.2100,118884
2020-02-27,1.2100,1.3300,1.2100,1.2894,78680
2020-02-26,1.2100,1.4700,1.2100,1.2800,123356
2020-02-25,1.3000,1.3300,1.2100,1.2393,94620
2020-02-24,1.3100,1.3300,1.3000,1.3250,52882
2020-02-21,1.4200,1.4289,1.3500,1.3800,42199
2020-02-20,1.3700,1.4500,1.3600,1.4000,58033
2020-02-19,1.3500,1.4000,1.3100,1.3600,45183
2020-02-18,1.3400,1.3888,1.3400,1.3700,38028
2020-02-14,1.4000,1.4000,1.3000,1.3800,132546
2020-02-13,1.3700,1.4000,1.3600,1.3975,32788
2020-02-12,1.4000,1.4500,1.3800,1.4049,46756
2020-02-11,1.4600,1.4600,1.3520,1.4000,122198
2020-02-10,1.5100,1.5200,1.4450,1.4484,73653
2020-02-07,1.4900,1.5400,1.4900,1.5019,18452
2020-02-06,1.5300,1.5300,1.4900,1.5000,26454
2020-02-05,1.5000,1.5300,1.4700,1.5200,38119
2020-02-04,1.4800,1.5085,1.4700,1.4700,18887
2020-02-03,1.4800,1.5200,1.4500,1.4600,37231
2020-01-31,1.4500,1.5400,1.4002,1.4800,105723
2020-01-30,1.4600,1.5000,1.4000,1.4400,117032
2020-01-29,1.5200,1.5300,1.4900,1.4900,32914
2020-01-28,1.5300,1.5500,1.5077,1.5400,54309
2020-01-27,1.5100,1.5500,1.5100,1.5400,90277
2020-01-24,1.5300,1.5700,1.5300,1.5500,57985
2020-01-23,1.4600,1.5100,1.4600,1.5100,55128
2020-01-22,1.5100,1.5100,1.4600,1.5000,63508
2020-01-21,1.5400,1.5400,1.4900,1.5100,62451
2020-01-17,1.5200,1.5300,1.5000,1.5300,67888
2020-01-16,1.5200,1.5600,1.4600,1.5200,95398
2020-01-15,1.5600,1.6000,1.5200,1.5300,88062
2020-01-14,1.5000,1.5600,1.5000,1.5400,70436
2020-01-13,1.5500,1.5900,1.5000,1.5199,111686
2020-01-10,1.5700,1.6800,1.5400,1.5700,72318
2020-01-09,1.5800,1.6100,1.5500,1.5500,56297
2020-01-08,1.6700,1.6700,1.5500,1.6100,114404
2020-01-07,1.5500,1.7500,1.5500,1.6200,312889
2020-01-06,1.7300,1.7600,1.5522,1.5800,58291
2020-01-03,1.5500,1.6593,1.5500,1.5900,52280
2020-01-02,1.5400,1.6600,1.5400,1.5900,55632
2019-12-31,1.5900,1.6300,1.5500,1.5700,74660
2019-12-30,1.6500,1.7000,1.6000,1.6000,103770
2019-12-27,1.6200,1.7296,1.5900,1.6650,91860
2019-12-26,1.6600,1.7000,1.6103,1.6550,85183
2019-12-24,1.6500,1.6500,1.5900,1.6193,28428
2019-12-23,1.6200,1.7000,1.5300,1.6299,120091
2019-12-20,1.6500,1.7400,1.5000,1.5400,145016
2019-12-19,1.6600,1.8500,1.6200,1.6400,393813
2019-12-18,1.4900,1.6622,1.4300,1.6200,337164
2019-12-17,1.3900,1.4200,1.3900,1.4200,19596
2019-12-16,1.4100,1.4500,1.3500,1.3900,36730
2019-12-13,1.4100,1.4300,1.3800,1.4300,41256
2019-12-12,1.4009,1.4200,1.3800,1.3901,32847
2019-12-11,1.4300,1.4692,1.3900,1.3900,24372
2019-12-10,1.4700,1.5300,1.4200,1.4265,117219
2019-12-09,1.3800,1.4500,1.3800,1.4289,46874
2019-12-06,1.4000,1.4500,1.3700,1.3700,43830
2019-12-05,1.4300,1.4300,1.3769,1.3800,43472
2019-12-04,1.4200,1.4800,1.4200,1.4400,32670
2019-12-03,1.4000,1.4700,1.3800,1.4400,33680
2019-12-02,1.3800,1.4499,1.3600,1.4499,55058
2019-11-29,1.3500,1.3800,1.3301,1.3600,32140
2019-11-27,1.3100,1.4100,1.3100,1.3350,42242
2019-11-26,1.3500,1.3900,1.3000,1.3315,70867
2019-11-25,1.3900,1.4303,1.3649,1.3850,105541
2019-11-22,1.3300,1.4100,1.3300,1.3800,76066
2019-11-21,1.2700,1.3750,1.2601,1.3300,211734
2019-11-20,1.2100,1.2900,1.1900,1.2500,262697
2019-11-19,1.2600,1.2900,1.2100,1.2500,144703
2019-11-18,1.3600,1.3900,1.2600,1.2800,170195
2019-11-15,1.4000,1.4100,1.3600,1.3900,57695
2019-11-14,1.4400,1.4700,1.3400,1.4300,84518
2019-11-13,1.4500,1.5600,1.4100,1.4200,133497
2019-11-12,1.4200,1.4730,1.3900,1.3900,95052
2019-11-11,1.5100,1.5437,1.4000,1.4100,105119
2019-11-08,1.5900,1.6000,1.5000,1.5600,64472
2019-11-07,1.6200,1.6500,1.5900,1.5900,31278
2019-11-06,1.6700,1.6800,1.5900,1.6200,39796
2019-11-05,1.6600,1.6987,1.6502,1.6800,12504
2019-11-04,1.6700,1.7036,1.6500,1.6700,26081
2019-11-01,1.5800,1.7100,1.5700,1.6900,54263
2019-10-31,1.6900,1.6900,1.5500,1.5900,82147
2019-10-30,1.7100,1.7400,1.6800,1.6900,21190
2019-10-29,1.7200,1.7400,1.6700,1.7000,48785
2019-10-28,1.7200,1.7700,1.7200,1.7400,49609
2019-10-25,1.7100,1.7500,1.7000,1.7300,27991
2019-10-24,1.7400,1.7705,1.7100,1.7100,28427
2019-10-23,1.7400,1.7600,1.7250,1.7300,42447
2019-10-22,1.7500,1.7501,1.7150,1.7200,79452
2019-10-21,1.8300,1.8300,1.7200,1.7300,64372
2019-10-18,1.7600,1.8000,1.7600,1.7800,115604
2019-10-17,1.8200,1.8200,1.6900,1.7700,145406
2019-10-16,1.9000,2.0299,1.7500,1.8300,672660
2019-10-15,1.6900,2.0500,1.6900,1.7500,793607
2019-10-14,1.6700,1.7600,1.6600,1.6700,53664
2019-10-11,1.6700,1.7428,1.6700,1.6900,45497
2019-10-10,1.7400,1.7400,1.6755,1.6800,23608
2019-10-09,1.7300,1.9600,1.6800,1.7200,99283
2019-10-08,1.7500,1.8065,1.6601,1.7500,174714
2019-10-07,1.7600,1.8300,1.7315,1.7500,33513
2019-10-04,1.8200,1.8900,1.7200,1.7300,54819
2019-10-03,1.7500,1.8500,1.6901,1.8400,74939
2019-10-02,1.8100,1.8100,1.7000,1.7500,208889
2019-10-01,1.9500,1.9500,1.8500,1.8700,173181
2019-09-30,2.0800,2.0903,1.9200,1.9600,236330
2019-09-27,2.0600,2.0800,2.0250,2.0300,35755
2019-09-26,2.0600,2.1500,2.0000,2.0589,155794
2019-09-25,2.0700,2.0900,2.0500,2.0500,39358
2019-09-24,2.1100,2.1400,2.0500,2.0700,74720
2019-09-23,2.0900,2.1500,2.0800,2.1200,118019
2019-09-20,2.0400,2.0800,2.0300,2.0800,90770
2019-09-19,2.0100,2.1300,2.0000,2.0600,152441
2019-09-18,2.0200,2.0500,1.9900,2.0100,51479
2019-09-17,2.0100,2.0800,1.9800,2.0100,136609
2019-09-16,2.0000,2.1100,2.0000,2.0100,106101
2019-09-13,2.1200,2.1800,1.9400,2.0300,333132
2019-09-12,2.1800,2.2089,2.0483,2.1000,100657
2019-09-11,2.1000,2.2500,2.0984,2.1700,279844
2019-09-10,2.0400,2.1400,2.0400,2.1000,78048
2019-09-09,2.0600,2.0900,2.0400,2.0500,50995
2019-09-06,1.9900,2.1000,1.9900,2.0500,121469
2019-09-05,1.9800,2.0200,1.9700,1.9900,50513
2019-09-04,2.0000,2.0000,1.9497,1.9800,69723
2019-09-03,2.0000,2.0500,1.9300,1.9700,86403
2019-08-30,2.0300,2.0600,1.9500,1.9907,99576
2019-08-29,2.0300,2.0900,2.0100,2.0100,77967
2019-08-28,2.0200,2.0600,2.0000,2.0300,28429
2019-08-27,2.0300,2.1400,2.0100,2.0200,112029
2019-08-26,2.0700,2.0700,2.0200,2.0300,23023
2019-08-23,2.0500,2.1200,2.0300,2.0300,62696
2019-08-22,2.1100,2.1500,2.0567,2.0800,49757
2019-08-21,2.1500,2.1900,2.0500,2.0800,88698
2019-08-20,2.1000,2.1504,2.0900,2.1500,23357
2019-08-19,2.1900,2.1909,2.1100,2.1100,49685
2019-08-16,2.1300,2.2600,2.1113,2.1800,70944
2019-08-15,2.2000,2.2400,2.1100,2.1400,45164
2019-08-14,2.3000,2.4700,2.1500,2.1700,190051
2019-08-13,2.3300,2.5150,2.2600,2.3100,383427
2019-08-12,2.2800,2.4400,2.2000,2.3700,180002
