timestamp,open,high,low,close,volume
2020-06-19,5.2700,5.5050,5.1200,5.2400,1534063
2020-06-18,5.1900,5.3000,5.0300,5.1900,956454
2020-06-17,5.4500,5.4800,5.0700,5.1600,5003714
2020-06-16,7.3639,7.5000,6.0000,6.2500,1747011
2020-06-15,7.3000,7.8500,7.2600,7.6700,264860
2020-06-12,7.5100,7.6850,7.2400,7.5200,284237
2020-06-11,7.2800,7.4700,7.0701,7.3000,474932
2020-06-10,7.8000,7.8800,7.5100,7.5200,282423
2020-06-09,7.4800,7.9000,7.1700,7.7700,475946
2020-06-08,7.7400,7.8800,7.1400,7.4700,817167
2020-06-05,7.5100,7.6900,7.2700,7.3600,372860
2020-06-04,7.7100,7.7500,7.1700,7.2900,551983
2020-06-03,7.9700,8.0000,7.7200,7.7300,474724
2020-06-02,7.7500,8.0000,7.4810,7.8900,597926
2020-06-01,8.3200,9.2100,7.4550,7.6700,3284431
2020-05-29,7.6100,8.9800,7.0506,8.1600,3380498
2020-05-28,8.7700,9.2900,8.3400,9.2100,796034
2020-05-27,10.1000,10.3183,7.7800,8.7500,1063541
2020-05-26,9.9500,10.7100,9.6200,9.9900,987672
2020-05-22,9.0700,9.5800,9.0100,9.4700,403266
2020-05-21,9.0300,9.4300,8.9000,9.0500,357452
2020-05-20,8.8000,9.4800,8.8000,9.0600,487558
2020-05-19,8.7600,9.0400,8.6100,8.6500,271899
2020-05-18,8.9900,9.1928,8.4300,8.8000,459663
2020-05-15,8.3500,8.8314,8.2800,8.6700,306906
2020-05-14,7.8000,8.6792,7.5200,8.4000,394369
2020-05-13,8.3900,8.4900,7.6100,7.8100,521523
2020-05-12,8.7600,9.0700,8.3000,8.3600,496955
2020-05-11,8.1900,8.9500,8.1400,8.7400,675076
2020-05-08,8.2700,8.5900,7.8800,8.1900,431584
2020-05-07,7.8600,8.4490,7.6826,8.2000,700433
2020-05-06,7.3400,8.1400,7.2800,7.7100,458503
2020-05-05,8.1400,8.3862,7.3000,7.4400,1341548
2020-05-04,7.1800,8.8499,7.1200,8.1400,3455077
2020-05-01,6.7400,7.4900,6.5300,7.2700,1679811
