timestamp,open,high,low,close,volume
2020-06-19,5.0800,5.4300,4.7800,4.8000,1807701
2020-06-18,4.2500,5.3000,4.2000,5.1900,2829384
2020-06-17,4.2000,4.4900,4.1600,4.3000,1141447
2020-06-16,4.2100,4.3000,4.0900,4.1500,843521
2020-06-15,3.7400,4.0900,3.6100,4.0800,743195
2020-06-12,3.7200,3.8800,3.6400,3.7700,592766
2020-06-11,3.9000,3.9250,3.6000,3.6150,982277
2020-06-10,4.1100,4.1400,3.9500,4.0600,612199
2020-06-09,3.9800,4.1900,3.9150,4.0700,690159
2020-06-08,3.9900,4.1000,3.8401,4.0550,594846
2020-06-05,4.0500,4.1700,3.8500,3.9000,566502
2020-06-04,3.9987,4.1500,3.8400,3.9100,730056
2020-06-03,4.0000,4.0000,3.8000,3.8200,529294
2020-06-02,4.0400,4.0400,3.8566,3.9700,455069
2020-06-01,4.1200,4.2100,4.0200,4.0200,505889
2020-05-29,3.9900,4.1400,3.9500,4.1100,405842
2020-05-28,4.2700,4.2700,3.9700,4.0000,614365
2020-05-27,4.1400,4.2400,3.9600,4.2100,559054
2020-05-26,4.3300,4.3600,4.0700,4.0900,609935
2020-05-22,4.2400,4.3900,4.1100,4.2400,668545
2020-05-21,4.0800,4.2500,3.9300,4.2200,766993
2020-05-20,3.9500,4.0800,3.8405,4.0800,732656
2020-05-19,3.7200,3.9400,3.6600,3.8200,556325
2020-05-18,3.6500,3.8700,3.6000,3.7300,680503
2020-05-15,3.5000,3.6300,3.4200,3.5000,544521
2020-05-14,3.6800,3.6800,3.4600,3.4900,796312
2020-05-13,3.9600,4.1137,3.6600,3.7800,1000749
2020-05-12,3.7800,4.2400,3.6700,3.9600,1002569
2020-05-11,3.5000,3.9188,3.5000,3.7400,808112
2020-05-08,3.3600,3.5299,3.2500,3.4800,454449
2020-05-07,3.4500,3.4500,3.2600,3.3400,462861
2020-05-06,3.2900,3.3900,3.2499,3.3300,293644
2020-05-05,3.3600,3.4600,3.2900,3.3100,375925
2020-05-04,3.2700,3.3900,3.1500,3.2800,280827
2020-05-01,3.3800,3.4300,3.0500,3.3300,833654
2020-04-30,3.5600,3.6400,3.4100,3.4600,524087
2020-04-29,3.3700,3.6300,3.3200,3.5700,757380
2020-04-28,3.4400,3.4500,3.2800,3.3300,454434
2020-04-27,3.3700,3.4500,3.2650,3.4100,568224
2020-04-24,3.3600,3.4000,3.2700,3.3700,451466
2020-04-23,3.4900,3.4900,3.2100,3.3100,1014403
2020-04-22,3.2700,3.3100,3.1600,3.1700,304682
2020-04-21,3.0600,3.2150,3.0100,3.1900,571159
2020-04-20,3.2300,3.3000,3.0700,3.1300,451421
2020-04-17,3.2100,3.2500,3.1200,3.2300,361888
2020-04-16,3.1400,3.2100,3.0100,3.1400,421830
2020-04-15,3.1900,3.2700,3.0750,3.1700,398977
2020-04-14,3.1200,3.3500,3.0700,3.2900,754321
2020-04-13,3.0400,3.0900,2.9600,3.0600,403154
2020-04-09,3.0200,3.1200,2.9000,3.0800,636435
2020-04-08,2.9100,3.0100,2.8050,2.9300,413837
2020-04-07,3.0500,3.0900,2.7400,2.8500,619997
2020-04-06,2.7400,2.9700,2.6800,2.9500,888198
2020-04-03,2.6400,2.6800,2.5300,2.6200,566743
2020-04-02,2.7900,2.8300,2.5800,2.6300,917981
2020-04-01,3.0400,3.1100,2.8100,2.8200,1093877
2020-03-31,3.0200,3.4600,2.9200,3.1500,2086093
2020-03-30,2.9000,3.0200,2.6750,3.0100,1140805
2020-03-27,2.9000,3.0100,2.7600,2.9200,647599
