timestamp,open,high,low,close,volume
2020-06-19,3.2800,3.4400,3.2800,3.2800,15713
2020-06-18,3.2500,3.2900,3.0600,3.0600,9930
2020-06-17,3.2700,3.3884,3.2000,3.2400,6754
2020-06-16,3.2100,3.5000,3.2100,3.3500,6809
2020-06-15,3.3500,3.4000,3.1850,3.2100,9413
2020-06-12,3.4899,3.4899,3.3000,3.4100,6219
2020-06-11,3.5400,3.5400,3.3000,3.3359,20529
2020-06-10,3.5100,3.5650,3.4200,3.4400,19195
2020-06-09,3.5300,3.7500,3.5300,3.5700,8577
2020-06-08,3.7900,3.7900,3.5200,3.6100,15762
2020-06-05,3.6450,3.6800,3.4200,3.6800,11126
2020-06-04,3.5700,3.6400,3.4800,3.6400,11132
2020-06-03,3.3900,3.5903,3.3700,3.5277,13517
2020-06-02,3.5800,3.5800,3.4250,3.5300,24921
2020-06-01,3.5800,3.6300,3.5000,3.5000,14772
2020-05-29,3.5400,3.7000,3.5150,3.5500,10710
2020-05-28,3.5900,3.8786,3.5800,3.6100,72994
2020-05-27,3.4141,3.6000,3.3900,3.5500,52006
2020-05-26,3.4700,3.4800,3.2100,3.3600,25590
2020-05-22,3.2900,3.4200,3.2400,3.4200,22574
2020-05-21,3.4800,3.4800,3.3300,3.3300,20137
2020-05-20,3.4300,3.4478,3.3338,3.4200,18472
2020-05-19,2.9600,3.4900,2.9600,3.2800,46053
2020-05-18,2.9400,3.2500,2.8000,3.2227,19482
2020-05-15,2.8500,2.9950,2.8500,2.9400,10697
2020-05-14,3.1300,3.1617,2.8000,3.0800,28001
2020-05-13,3.2600,3.3500,3.1135,3.2300,19464
2020-05-12,3.4000,3.4000,3.1000,3.2515,39009
2020-05-11,2.7500,3.5000,2.5600,3.1700,94052
2020-05-08,2.7200,2.7600,2.6300,2.7594,30846
2020-05-07,2.6200,2.7500,2.5750,2.6400,33970
2020-05-06,2.6800,2.6800,2.5100,2.5100,11366
2020-05-05,2.6700,2.6800,2.5600,2.6500,10617
2020-05-04,2.5000,2.7300,2.4000,2.6532,140914
2020-05-01,2.5200,2.5500,2.3500,2.4400,15278
2020-04-30,2.5067,2.6500,2.5067,2.5200,39375
2020-04-29,2.5200,2.5700,2.5100,2.5550,3565
2020-04-28,2.5400,2.6192,2.5100,2.5200,12989
2020-04-27,2.5701,2.6500,2.5400,2.5500,10699
2020-04-24,2.6390,2.6390,2.5401,2.5500,23513
2020-04-23,2.6000,2.6000,2.5411,2.6000,4361
2020-04-22,2.6500,2.6500,2.5950,2.6500,864
2020-04-21,2.6746,2.6746,2.5426,2.5600,21535
2020-04-20,2.6000,2.7500,2.5400,2.5400,20343
2020-04-17,2.6900,2.7397,2.4900,2.6000,18690
2020-04-16,2.5600,2.7300,2.5100,2.5100,32938
2020-04-15,2.6400,2.6400,2.5100,2.6400,1288
2020-04-14,2.6500,2.6500,2.5500,2.6500,6522
2020-04-13,2.6500,2.6500,2.5082,2.6500,1963
2020-04-09,2.6700,2.7400,2.6400,2.6500,33032
2020-04-08,2.6500,2.7500,2.6500,2.7500,12059
2020-04-07,2.6777,2.7000,2.6400,2.7000,5714
2020-04-06,2.6900,2.8600,2.6350,2.6500,13983
2020-04-03,2.8110,2.8250,2.6200,2.7600,25097
2020-04-02,2.7900,2.9500,2.7800,2.8200,10215
2020-04-01,2.8500,3.0300,2.7900,2.7900,11922
2020-03-31,2.7200,3.0900,2.6900,2.8500,14850
2020-03-30,2.6286,2.8291,2.6000,2.6500,5335
2020-03-27,2.7717,2.7717,2.5193,2.5400,24069
2020-03-26,2.4029,2.5500,2.3500,2.5200,101092
2020-03-25,2.3400,2.5400,2.3000,2.3000,46228
2020-03-24,2.4000,2.4400,2.2500,2.3900,25698
2020-03-23,2.4000,2.4000,2.2390,2.3955,11722
2020-03-20,2.4500,2.5000,2.3500,2.5000,34323
2020-03-19,2.0200,2.4857,2.0200,2.4250,5820
2020-03-18,2.4600,2.4600,2.1200,2.4000,35352
2020-03-17,2.5145,2.6000,2.1979,2.5300,31858
2020-03-16,2.5700,2.6700,2.5100,2.5850,55708
2020-03-13,2.7100,2.9100,2.5000,2.7000,27263
2020-03-12,2.6100,3.2000,2.5300,2.6000,36284
2020-03-11,2.6600,2.8600,2.6500,2.7100,14732
2020-03-10,2.7630,2.8562,2.6800,2.8562,2023
2020-03-09,2.8100,2.9899,2.6500,2.8000,17136
2020-03-06,2.9000,2.9800,2.9000,2.9100,5430
2020-03-05,2.9200,3.0000,2.9000,3.0000,1635
2020-03-04,2.9400,3.0388,2.9307,2.9500,5893
2020-03-03,3.0100,3.0100,2.9300,2.9700,18389
2020-03-02,3.0100,3.0730,2.9950,3.0100,37678
2020-02-28,2.9600,3.0500,2.9600,3.0500,1837
2020-02-27,3.0300,3.1500,2.9450,3.0500,18247
2020-02-26,3.0500,3.1400,3.0500,3.0500,8869
2020-02-25,3.1773,3.1800,3.0500,3.0850,13398
2020-02-24,3.0697,3.1900,3.0400,3.1215,16896
2020-02-21,3.3085,3.3085,3.1300,3.1767,21570
2020-02-20,3.3000,3.3100,3.2500,3.2800,20126
2020-02-19,3.4000,3.4000,3.2800,3.3300,10167
2020-02-18,3.3000,3.3900,3.2762,3.3300,3806
2020-02-14,3.3900,3.4000,3.2600,3.3400,85791
2020-02-13,3.4000,3.4000,3.3600,3.3600,15787
2020-02-12,3.3600,3.6000,3.3600,3.3850,162412
2020-02-11,3.4400,3.4400,3.3600,3.3603,4574
2020-02-10,3.4779,3.4779,3.3600,3.3800,19012
2020-02-07,3.4850,3.5000,3.4700,3.4700,1653
2020-02-06,3.5000,3.5000,3.4700,3.4700,1618
2020-02-05,3.4993,3.4993,3.4758,3.4800,2203
2020-02-04,3.5000,3.5100,3.4700,3.4701,8442
2020-02-03,3.5900,3.6150,3.5000,3.5000,8788
2020-01-31,3.6600,3.7494,3.6000,3.6198,21420
2020-01-30,3.6200,3.6400,3.5010,3.6399,23037
2020-01-29,3.4400,3.6000,3.4200,3.6000,49249
2020-01-28,3.3880,3.3880,3.3880,3.3880,210
2020-01-27,3.3600,3.4000,3.3600,3.3600,7639
2020-01-24,3.4500,3.4500,3.3754,3.3900,5573
2020-01-23,3.3818,3.4500,3.3818,3.4500,6117
2020-01-22,3.3600,3.4500,3.3600,3.4140,4030
2020-01-21,3.3900,3.4450,3.3900,3.4400,10666
2020-01-17,3.4716,3.4716,3.4500,3.4500,763
2020-01-16,3.4400,3.5000,3.3943,3.4950,2541
2020-01-15,3.4652,3.5000,3.3830,3.3830,837
2020-01-14,3.4800,3.5000,3.3900,3.3900,2197
2020-01-13,3.4800,3.5000,3.4628,3.4900,12409
2020-01-10,3.4973,3.5000,3.4135,3.4965,7667
2020-01-09,3.4300,3.4938,3.4300,3.4774,1503
2020-01-08,3.4198,3.4900,3.4198,3.4600,30721
2020-01-07,3.3880,3.4200,3.3880,3.4021,1339
2020-01-06,3.3900,3.4925,3.3863,3.3900,8005
2020-01-03,3.4400,3.4500,3.3276,3.3600,5950
2020-01-02,3.3768,3.4500,3.3708,3.3950,2642
2019-12-31,3.3869,3.4500,3.3600,3.3600,4899
2019-12-30,3.3600,3.4426,3.3600,3.3869,6087
2019-12-27,3.4271,3.4500,3.3690,3.4000,5674
2019-12-26,3.3700,3.4201,3.3700,3.3862,7549
2019-12-24,3.3779,3.4200,3.3700,3.3910,3126
2019-12-23,3.3708,3.3800,3.3600,3.3700,7606
2019-12-20,3.3700,3.4000,3.3620,3.4000,5914
2019-12-19,3.3700,3.4200,3.3700,3.4200,745
2019-12-18,3.4300,3.4300,3.3650,3.3800,16684
2019-12-17,3.3700,3.4339,3.3600,3.4150,17200
2019-12-16,3.4800,3.5282,3.3913,3.4200,14241
2019-12-13,3.5350,3.5400,3.5000,3.5000,8700
2019-12-12,3.5000,3.5900,3.5000,3.5300,11303
2019-12-11,3.5500,3.5626,3.5000,3.5200,4429
2019-12-10,3.4900,3.6000,3.4900,3.5300,13156
2019-12-09,3.5900,3.5900,3.4132,3.5000,9879
2019-12-06,3.4500,3.5900,3.4500,3.5500,25097
2019-12-05,3.4300,3.6000,3.4000,3.4500,10703
2019-12-04,3.5500,3.6200,3.4300,3.4300,11516
2019-12-03,3.5600,3.5978,3.5560,3.5800,16615
2019-12-02,3.3600,3.5600,3.3600,3.5600,17478
2019-11-29,3.4200,3.4727,3.3650,3.3800,4533
2019-11-27,3.4932,3.4932,3.4700,3.4700,7498
2019-11-26,3.4500,3.6800,3.4500,3.5200,6659
2019-11-25,3.2900,3.6100,3.2900,3.5000,14238
2019-11-22,3.4060,3.4094,3.2900,3.2900,9242
2019-11-21,3.1900,3.4000,3.1900,3.3478,29084
2019-11-20,3.1996,3.4275,3.0800,3.2300,36024
2019-11-19,3.0000,3.2900,2.9100,3.0850,24898
2019-11-18,2.9300,2.9500,2.9163,2.9500,27641
2019-11-15,2.9000,2.9300,2.8600,2.9300,11000
2019-11-14,2.9100,2.9100,2.8500,2.8600,816
2019-11-13,2.8920,2.8920,2.8600,2.8600,1185
2019-11-12,2.8100,2.9200,2.8100,2.8600,5163
2019-11-11,2.8500,2.9200,2.8001,2.8400,18144
2019-11-08,2.9400,2.9500,2.9000,2.9300,4136
2019-11-07,2.8500,2.9500,2.8400,2.9000,39008
2019-11-06,2.8300,2.8350,2.8300,2.8350,2803
2019-11-05,2.7200,2.8300,2.7200,2.8300,9716
2019-11-04,2.7400,2.7564,2.7400,2.7500,3875
2019-11-01,2.6900,2.7850,2.6900,2.7700,26563
2019-10-31,2.6700,2.7050,2.6600,2.6600,14598
2019-10-30,2.7000,2.7783,2.6600,2.6600,11118
2019-10-29,2.7600,2.9508,2.7100,2.7200,17257
2019-10-28,2.7600,2.9000,2.7600,2.7600,21599
2019-10-25,2.9000,2.9150,2.7713,2.8600,14029
2019-10-24,2.9274,2.9481,2.9000,2.9000,3389
2019-10-23,2.9000,2.9500,2.8600,2.9100,22714
2019-10-22,2.9659,2.9659,2.8877,2.9000,2085
2019-10-21,2.8100,2.8700,2.7800,2.7800,3879
2019-10-18,2.7800,2.8800,2.7800,2.8800,950
2019-10-17,2.8950,2.8950,2.7438,2.8100,4101
2019-10-16,2.8500,2.8600,2.7799,2.8179,33137
2019-10-15,2.8800,2.9771,2.8400,2.8400,6226
2019-10-14,2.9000,2.9730,2.9000,2.9000,2080
2019-10-11,2.9000,2.9800,2.9000,2.9300,3876
2019-10-10,2.8000,3.0300,2.8000,2.9100,2083
2019-10-09,2.9987,3.0000,2.9700,2.9750,6795
2019-10-08,2.9200,2.9990,2.9000,2.9900,12677
2019-10-07,2.9700,2.9700,2.8400,2.9000,13035
2019-10-04,2.9800,2.9900,2.9045,2.9200,6001
2019-10-03,2.8200,2.9200,2.8000,2.9200,2603
2019-10-02,2.6700,2.8700,2.6700,2.8000,19063
2019-10-01,2.9200,2.9800,2.8600,2.9150,4266
2019-09-30,2.8400,2.9900,2.8400,2.9900,2367
2019-09-27,2.8900,2.9330,2.8500,2.8500,12976
2019-09-26,2.9100,2.9450,2.9100,2.9100,13006
2019-09-25,2.8500,2.9750,2.8500,2.9100,12099
2019-09-24,2.9600,2.9950,2.8600,2.9000,5182
2019-09-23,2.9400,3.2000,2.9300,2.9600,49674
2019-09-20,2.8000,3.0500,2.8000,2.9100,66805
2019-09-19,2.7100,2.7800,2.7000,2.7500,7818
2019-09-18,2.7500,2.8200,2.7300,2.7300,6983
2019-09-17,2.7600,2.8426,2.7500,2.7900,6661
2019-09-16,2.8537,2.8724,2.7700,2.7700,10511
2019-09-13,2.8595,2.8900,2.8000,2.8800,10021
2019-09-12,2.8400,2.9500,2.8300,2.8300,9563
2019-09-11,2.9145,2.9145,2.8200,2.8200,2371
2019-09-10,2.9145,2.9900,2.9000,2.9356,4526
2019-09-09,2.9250,2.9600,2.8600,2.8959,2184
2019-09-06,2.8900,2.9421,2.8600,2.9200,6067
2019-09-05,2.9700,2.9700,2.9005,2.9005,3110
2019-09-04,3.0000,3.0200,2.8900,2.9300,4506
2019-09-03,2.8869,2.9900,2.8800,2.9600,5896
2019-08-30,2.9797,3.0000,2.9500,2.9500,12607
2019-08-29,2.9200,3.0000,2.8609,2.9500,14903
2019-08-28,3.0757,3.0900,2.9200,2.9200,19174
2019-08-27,2.8643,3.0000,2.8500,2.8500,5030
2019-08-26,3.0900,3.0900,2.9500,2.9600,13880
2019-08-23,2.8924,3.0800,2.8924,3.0200,11566
2019-08-22,2.9700,3.1350,2.9700,2.9950,17326
2019-08-21,2.9800,3.1500,2.9800,3.1500,41601
2019-08-20,2.9758,3.0000,2.9100,2.9145,11725
2019-08-19,2.9275,3.0500,2.9275,3.0211,24884
2019-08-16,2.9160,3.0000,2.9000,2.9648,9591
2019-08-15,2.9648,2.9750,2.7500,2.9600,24536
2019-08-14,2.8800,3.0000,2.8600,2.9500,40485
2019-08-13,2.8500,2.9500,2.8500,2.8810,25092
2019-08-12,2.9000,3.0000,2.8000,2.8000,16936
2019-08-09,2.8200,3.0100,2.8200,2.9800,15711
2019-08-08,2.8500,2.9800,2.8300,2.8500,64654
2019-08-07,2.8300,2.8800,2.7685,2.8800,6479
2019-08-06,2.7100,2.9500,2.7100,2.8800,37430
2019-08-05,2.6900,2.9500,2.6633,2.7300,22812
2019-08-02,2.8500,2.8500,2.6700,2.7100,12328
2019-08-01,2.8241,2.9000,2.7800,2.7800,40844
2019-07-31,3.0251,3.1000,2.8300,2.8300,131338
2019-07-30,3.0800,3.1700,3.0700,3.0700,7297
2019-07-29,3.1000,3.1700,3.1000,3.1200,7538
2019-07-26,3.0500,3.1800,3.0500,3.1200,12722
2019-07-25,3.1000,3.1300,3.0500,3.0500,1374
2019-07-24,3.1100,3.1500,3.0501,3.1400,42902
2019-07-23,3.1500,3.1800,3.1300,3.1300,5704
2019-07-22,3.1560,3.1564,3.1100,3.1299,35003
2019-07-19,3.1700,3.2063,3.0600,3.1769,69720
2019-07-18,3.3100,3.3100,3.1500,3.1500,22404
2019-07-17,3.2000,3.3630,3.2000,3.2000,1245
2019-07-16,3.2500,3.2500,3.2000,3.2000,3362
2019-07-15,3.2160,3.3600,3.2100,3.2100,2526
2019-07-12,3.2600,3.2600,3.1600,3.1600,11805
2019-07-11,3.2900,3.3700,3.2500,3.2600,26734
2019-07-10,3.3328,3.3500,3.2700,3.2900,21987
2019-07-09,3.3400,3.3400,3.2600,3.2600,2363
2019-07-08,3.3200,3.3200,3.2700,3.3099,28711
2019-07-05,3.2700,3.3300,3.2700,3.2700,2253
2019-07-03,3.2700,3.2700,3.2700,3.2700,53
2019-07-02,3.3050,3.3300,3.2700,3.2700,947
2019-07-01,3.3300,3.3400,3.3000,3.3000,3330
2019-06-28,3.3400,3.3400,3.3000,3.3200,13258
2019-06-27,3.3200,3.3400,3.3000,3.3200,11861
2019-06-26,3.3400,3.3400,3.2600,3.2750,20751
2019-06-25,3.2700,3.3100,3.2500,3.3000,8432
2019-06-24,3.1600,3.3300,3.1600,3.2500,12659
2019-06-21,3.2150,3.3200,3.1600,3.1700,51139
2019-06-20,3.3500,3.3500,3.2300,3.2300,58939
2019-06-19,3.2600,3.3300,3.2100,3.2100,17827
2019-06-18,3.3236,3.3236,3.2700,3.2700,744
2019-06-17,3.2700,3.3500,3.2700,3.2900,3212
2019-06-14,3.3264,3.3500,3.2800,3.2800,7233
2019-06-13,3.3000,3.3500,3.2601,3.3400,5307
2019-06-12,3.3000,3.3400,3.2300,3.2700,29231
2019-06-11,3.2800,3.3000,3.2600,3.2600,7853
2019-06-10,3.2300,3.2900,3.2100,3.2500,10249
2019-06-07,3.2900,3.2999,3.2300,3.2700,13438
2019-06-06,3.3000,3.3300,3.2100,3.2200,8812
2019-06-05,3.2541,3.3350,3.2100,3.2100,16895
2019-06-04,3.2300,3.3200,3.2000,3.2400,16347
2019-06-03,3.3244,3.3500,3.2663,3.2950,6075
2019-05-31,3.2107,3.3300,3.2107,3.3000,11406
2019-05-30,3.2000,3.2000,3.2000,3.2000,257
2019-05-29,3.2000,3.2850,3.2000,3.2100,7090
2019-05-28,3.2500,3.3300,3.2000,3.2000,2247
2019-05-24,3.2500,3.3300,3.2000,3.2000,3626
2019-05-23,3.2000,3.2000,3.2000,3.2000,299
2019-05-22,3.2100,3.2600,3.2000,3.2000,5502
2019-05-21,3.2181,3.2600,3.2102,3.2600,2901
2019-05-20,3.2500,3.2500,3.2100,3.2120,4007
2019-05-17,3.2100,3.2500,3.1500,3.2400,6494
2019-05-16,3.2200,3.2500,3.2200,3.2261,4378
2019-05-15,3.2900,3.3248,3.2100,3.2300,5528
2019-05-14,3.2411,3.3000,3.2400,3.2900,5920
2019-05-13,3.2900,3.3000,3.2000,3.2000,4437
2019-05-10,3.3299,3.3500,3.2500,3.2500,6130
2019-05-09,3.2500,3.3100,3.2500,3.3100,32351
2019-05-08,3.3400,3.4932,3.2300,3.2500,45083
2019-05-07,3.3500,3.6485,3.3200,3.3200,16668
2019-05-06,3.4000,3.5000,3.3500,3.3500,5283
2019-05-03,3.3700,3.4900,3.3700,3.4700,10334
2019-05-02,3.3500,3.4000,3.3100,3.3500,3117
2019-05-01,3.3500,3.4829,3.3100,3.3104,16582
2019-04-30,3.3066,3.3300,3.3066,3.3200,1338
2019-04-29,3.3000,3.3600,3.3000,3.3200,3871
2019-04-26,3.3535,3.3535,3.3000,3.3100,2902
2019-04-25,3.3001,3.3200,3.3001,3.3200,371
2019-04-24,3.3100,3.3440,3.3000,3.3000,5504
2019-04-23,3.3000,3.3800,3.2500,3.3100,13535
2019-04-22,3.4300,3.4818,3.3250,3.3400,11671
2019-04-18,3.4200,3.4900,3.4200,3.4500,2538
2019-04-17,3.4700,3.4797,3.3600,3.3600,2517
