timestamp,open,high,low,close,volume
2020-06-19,3.0900,3.1600,3.0900,3.1000,222619
2020-06-18,3.2900,3.3000,3.0800,3.1100,387989
2020-06-17,3.3500,3.4100,3.2600,3.2900,105967
2020-06-16,3.4900,3.4999,3.2600,3.3500,328071
2020-06-15,3.2500,3.4400,3.1500,3.3500,173213
2020-06-12,3.4600,3.4600,3.1200,3.3100,213795
2020-06-11,3.0900,3.4499,3.0300,3.2100,276295
2020-06-10,3.6000,3.7800,3.2100,3.4500,339310
2020-06-09,3.4700,3.5400,3.3600,3.5100,94935
2020-06-08,3.2100,3.5880,3.2100,3.4800,211105
2020-06-05,3.3400,3.3400,3.1316,3.2200,142643
2020-06-04,3.1800,3.2800,3.0600,3.2100,130952
2020-06-03,3.4100,3.4400,3.1600,3.1600,155189
2020-06-02,3.4300,3.4400,3.2700,3.4000,124434
2020-06-01,3.2200,3.4400,3.0900,3.3700,125441
2020-05-29,3.3000,3.3599,3.0700,3.1900,142028
2020-05-28,3.4300,3.4662,3.3000,3.3100,88565
2020-05-27,3.3800,3.4900,3.3000,3.4100,185863
2020-05-26,3.5000,3.5000,3.3000,3.3400,140108
2020-05-22,3.3800,3.4500,3.3000,3.3800,83557
2020-05-21,3.4000,3.4900,3.2700,3.3700,98661
2020-05-20,3.3100,3.4300,3.2900,3.3600,101733
2020-05-19,3.3700,3.4800,3.2300,3.2600,136691
2020-05-18,3.2500,3.6500,3.1700,3.3500,294666
2020-05-15,3.1000,3.2300,3.0490,3.1700,57907
2020-05-14,3.1200,3.1600,2.9700,3.1200,78229
2020-05-13,3.2800,3.3700,2.9900,3.1700,172610
2020-05-12,3.2500,3.5200,3.2100,3.3500,167602
2020-05-11,3.0000,3.2700,2.9900,3.2400,279084
2020-05-08,3.0900,3.1950,2.9200,3.0000,310091
2020-05-07,3.3400,3.4200,3.0500,3.0700,386807
2020-05-06,3.2500,3.4800,3.1600,3.2500,233611
2020-05-05,3.2000,3.4200,3.1805,3.2300,99963
2020-05-04,3.0800,3.2000,3.0501,3.1900,62194
2020-05-01,3.3500,3.4200,3.0300,3.1900,110379
2020-04-30,3.7400,3.7794,3.3600,3.4200,171342
2020-04-29,3.6600,3.7800,3.4500,3.6500,172755
2020-04-28,3.5300,3.6300,3.4100,3.6300,60842
2020-04-27,3.6400,3.6400,3.3200,3.4600,148116
2020-04-24,3.3600,3.5500,3.1800,3.5400,194427
2020-04-23,3.2900,3.4800,3.2173,3.3500,167791
2020-04-22,3.4200,3.4438,3.1000,3.3000,198122
2020-04-21,3.3100,3.4650,3.0000,3.1200,329550
2020-04-20,3.6200,3.8200,3.2600,3.2600,217152
2020-04-17,3.9300,3.9400,3.6200,3.7600,312712
2020-04-16,3.5100,3.5600,3.1600,3.5600,95559
2020-04-15,3.7300,3.7300,3.3400,3.4500,65463
2020-04-14,3.3000,3.7300,3.2800,3.6100,270222
2020-04-13,3.1500,3.3200,3.0300,3.2600,77536
2020-04-09,2.6500,3.3500,2.6110,3.1000,288083
2020-04-08,2.5900,2.6700,2.5500,2.6700,42338
2020-04-07,2.6500,2.6500,2.4200,2.5400,51609
2020-04-06,2.5000,2.6500,2.4500,2.6500,58923
2020-04-03,2.5500,2.6700,2.4001,2.4900,40760
2020-04-02,2.3600,2.6600,2.2300,2.5500,65670
2020-04-01,2.3800,2.5429,2.2400,2.3500,44609
2020-03-31,2.3000,2.6000,2.2653,2.4400,83314
2020-03-30,2.2900,2.3900,2.1900,2.3500,88272
2020-03-27,2.4100,2.4800,2.2700,2.3300,57101
2020-03-26,2.4300,2.5000,2.2500,2.5000,50878
2020-03-25,2.1800,2.7600,2.1501,2.4400,128040
2020-03-24,2.0300,2.2400,1.9966,2.1500,94981
2020-03-23,1.7700,2.0936,1.7580,1.9700,98202
2020-03-20,1.5800,1.9448,1.5800,1.7500,201523
2020-03-19,1.4700,1.6100,1.4142,1.5500,1074564
