timestamp,open,high,low,close,volume
2020-06-19,2.7500,2.8000,2.6101,2.6500,742676
2020-06-18,2.7000,2.8500,2.5200,2.6900,1071848
2020-06-17,2.6900,2.8100,2.5500,2.6800,1622164
2020-06-16,3.1000,3.2500,2.8000,3.0600,2672756
2020-06-15,2.5500,2.9500,2.5100,2.6700,2254537
2020-06-12,2.9000,2.9100,2.5000,2.6000,828295
2020-06-11,3.0000,3.0000,2.6000,2.6900,1411434
2020-06-10,3.1600,3.5500,3.0200,3.1800,2844622
2020-06-09,3.3900,3.4200,3.0000,3.0800,2127086
2020-06-08,2.7000,3.5300,2.5501,3.5200,5537835
2020-06-05,2.4600,2.7300,2.3500,2.6300,1506883
2020-06-04,2.2400,2.6800,2.1500,2.4700,1539956
2020-06-03,2.6000,2.7500,2.1800,2.2900,1392721
2020-06-02,2.9300,3.2000,2.6500,2.8200,1295781
2020-06-01,2.7500,3.1084,2.5101,3.0200,1264873
2020-05-29,4.1000,4.1000,2.4700,3.0500,434396
2020-05-28,0.8400,1.1500,0.7510,0.7780,15927769
2020-05-27,1.1487,1.1500,0.8500,0.9200,7168838
2020-05-26,1.2200,1.3500,1.0500,1.2300,9564881
2020-05-22,1.1900,1.2300,1.0700,1.1900,3315685
2020-05-21,1.0700,1.2400,1.0426,1.1900,6457977
2020-05-20,1.0300,1.0400,0.9850,1.0300,1777950
2020-05-19,1.0100,1.0600,0.9600,1.0000,2745724
2020-05-18,1.0487,1.1200,0.9200,1.0400,6008813
2020-05-15,0.8800,1.0600,0.8450,0.9800,7207994
2020-05-14,0.8100,0.8450,0.7600,0.8300,1212556
2020-05-13,0.8200,0.8500,0.7500,0.8100,1611972
2020-05-12,0.8000,0.9200,0.6520,0.7811,3821867
2020-05-11,0.6100,0.8499,0.5976,0.7753,3777325
2020-05-08,0.6244,0.6399,0.5750,0.6126,930343
2020-05-07,0.6200,0.6999,0.5700,0.6196,1316771
2020-05-06,1.0400,1.3300,0.6150,0.7288,21616313
2020-05-05,0.5223,0.8000,0.5011,0.7901,1991652
2020-05-04,0.5213,0.5300,0.4750,0.5300,54780
2020-05-01,0.5460,0.5460,0.5050,0.5150,95805
2020-04-30,0.5699,0.5699,0.5100,0.5491,146726
2020-04-29,0.5500,0.5700,0.5220,0.5624,228000
2020-04-28,0.5531,0.5531,0.5000,0.5393,149262
2020-04-27,0.5400,0.5990,0.5200,0.5451,491418
2020-04-24,0.4900,0.5302,0.4700,0.5196,169570
2020-04-23,0.5000,0.5000,0.4600,0.4962,343171
2020-04-22,0.6219,0.6800,0.4700,0.5000,740381
2020-04-21,0.4500,0.8600,0.4300,0.5750,5306477
2020-04-20,0.4900,0.5100,0.4400,0.4525,288270
2020-04-17,0.5000,0.5100,0.4680,0.4801,179847
2020-04-16,0.4730,0.5300,0.4560,0.4722,328325
2020-04-15,0.4349,0.9200,0.4200,0.5100,6062837
2020-04-14,0.4300,0.4400,0.4052,0.4168,39948
2020-04-13,0.4479,0.4479,0.4201,0.4235,19350
2020-04-09,0.4200,0.4500,0.4000,0.4100,59433
2020-04-08,0.3999,0.4700,0.3940,0.4480,104966
2020-04-07,0.4126,0.4200,0.3600,0.3941,245781
2020-04-06,0.4000,0.4299,0.3880,0.3999,79983
2020-04-03,0.4000,0.4100,0.3700,0.3844,152979
2020-04-02,0.4399,0.4399,0.3900,0.4000,68421
2020-04-01,0.4300,0.4611,0.4100,0.4201,102970
