timestamp,open,high,low,close,volume
2020-06-19,1.4600,1.5400,1.4500,1.5200,8956347
2020-06-18,1.4700,1.5000,1.4300,1.4800,5974867
2020-06-17,1.4300,1.5200,1.4200,1.4800,8431548
2020-06-16,1.4300,1.4600,1.4300,1.4500,4545585
2020-06-15,1.4500,1.4700,1.4100,1.4500,6360789
2020-06-12,1.4410,1.4700,1.4200,1.4700,5154073
2020-06-11,1.4200,1.4700,1.4100,1.4300,7614486
2020-06-10,1.4300,1.4900,1.4300,1.4800,7981093
2020-06-09,1.4400,1.4800,1.4000,1.4800,9048797
2020-06-08,1.4800,1.4900,1.4100,1.4500,10641981
2020-06-05,1.4300,1.5000,1.4000,1.4800,11293898
2020-06-04,1.4700,1.4900,1.4300,1.4600,9400224
2020-06-03,1.5100,1.5400,1.4800,1.5100,8337720
2020-06-02,1.5200,1.5600,1.4700,1.5500,9771726
2020-06-01,1.7000,1.7000,1.5500,1.5800,32715174
2020-05-29,1.3800,1.5000,1.3700,1.4900,9297160
2020-05-28,1.4100,1.4300,1.3300,1.4000,6922853
2020-05-27,1.4500,1.4650,1.4100,1.4400,5562065
2020-05-26,1.5000,1.5500,1.4500,1.4800,7922807
2020-05-22,1.4600,1.5200,1.4400,1.5150,6790720
2020-05-21,1.4700,1.4900,1.4200,1.4500,6329616
2020-05-20,1.4430,1.5400,1.4200,1.4700,12283399
2020-05-19,1.5200,1.5250,1.4200,1.4700,12096858
2020-05-18,1.5800,1.6000,1.5100,1.5500,9302918
2020-05-15,1.5750,1.6400,1.5000,1.5600,20122939
2020-05-14,1.7900,1.9000,1.7300,1.7800,32928120
2020-05-13,1.6248,1.7200,1.5200,1.6900,10924727
2020-05-12,1.6500,1.6800,1.5800,1.6200,7457795
2020-05-11,1.5500,1.7200,1.5000,1.6800,11299613
2020-05-08,1.4500,1.5400,1.4500,1.5300,5673552
2020-05-07,1.4100,1.5100,1.3700,1.4700,7315632
2020-05-06,1.4200,1.4600,1.4000,1.4500,6478995
2020-05-05,1.4918,1.5700,1.4500,1.4800,9328992
2020-05-04,1.6000,1.6000,1.5100,1.5400,7476624
2020-05-01,1.5700,1.6200,1.5000,1.6000,6915471
2020-04-30,1.5000,1.8300,1.4500,1.6400,32525461
2020-04-29,1.7000,1.7000,1.5500,1.6200,24114129
2020-04-28,1.9400,2.0000,1.7100,1.7600,31170284
2020-04-27,1.8600,2.1300,1.7400,2.0200,132012624
2020-04-24,1.3200,1.4500,1.2100,1.4000,28654904
2020-04-23,1.3500,1.3700,1.1800,1.1900,17390113
2020-04-22,1.3100,1.3300,1.2000,1.2400,9589166
2020-04-21,1.3900,1.4100,1.3300,1.3600,9174419
2020-04-20,1.4500,1.5000,1.3800,1.3900,12777202
2020-04-17,1.4100,1.4500,1.3400,1.3800,16498194
