timestamp,open,high,low,close,volume
2020-06-19,2.7700,5.1500,2.5100,3.8550,25676424
2020-06-18,2.5000,2.9199,2.4000,2.6600,1494887
2020-06-17,3.7035,3.7900,2.3100,2.4500,1555033
2020-06-16,2.2000,3.9500,2.1201,3.7500,2477249
2020-06-15,2.1100,2.3000,2.0400,2.1600,68745
2020-06-12,2.1700,2.4200,2.1000,2.1600,42721
2020-06-11,2.5100,2.5100,2.0000,2.1000,150511
2020-06-10,2.5500,2.5700,2.4300,2.4700,55147
2020-06-09,2.6400,2.6400,2.4000,2.5500,88574
2020-06-08,2.3800,2.6212,2.3800,2.5600,214736
2020-06-05,2.5000,2.5363,2.3600,2.3700,67892
2020-06-04,2.3700,2.4100,2.3600,2.4100,35076
2020-06-03,2.4900,2.4900,2.3200,2.3600,111016
2020-06-02,2.3800,2.4485,2.3800,2.4000,25645
2020-06-01,2.5000,2.5000,2.3500,2.3800,38863
2020-05-29,2.5000,2.5900,2.3100,2.3700,72909
2020-05-28,2.5500,2.5900,2.4801,2.5000,63021
2020-05-27,2.5900,2.5900,2.4100,2.4490,48220
2020-05-26,2.3100,2.5200,2.2747,2.5200,87707
2020-05-22,2.1886,2.2200,2.1600,2.2200,19399
2020-05-21,2.1697,2.2700,2.1265,2.2200,26511
2020-05-20,2.1000,2.2795,2.0800,2.1900,36260
2020-05-19,2.3750,2.3750,2.0100,2.0400,58524
2020-05-18,2.4600,2.4600,2.3100,2.3350,19619
2020-05-15,2.3600,2.3600,2.2700,2.3500,17309
2020-05-14,2.3400,2.4669,2.2100,2.2900,48467
2020-05-13,2.4100,2.5400,2.3400,2.3400,22303
2020-05-12,2.4900,2.4900,2.4000,2.4000,13179
2020-05-11,2.4500,2.4700,2.4000,2.4400,27220
2020-05-08,2.3579,2.4400,2.3579,2.4400,17521
2020-05-07,2.2598,2.3873,2.2598,2.3400,10694
2020-05-06,2.2600,2.4955,2.2500,2.2700,20587
2020-05-05,2.4600,2.4600,2.2600,2.3300,18891
2020-05-04,2.5900,2.5900,2.2400,2.3700,25076
2020-05-01,2.2400,2.4500,2.2400,2.4500,21393
2020-04-30,2.5900,2.5900,2.4800,2.4800,28547
2020-04-29,2.4700,2.5800,2.4000,2.5300,40638
2020-04-28,2.5700,2.6473,2.4000,2.4700,43445
2020-04-27,2.4900,2.7500,2.4000,2.5700,34266
2020-04-24,2.3300,2.4630,2.2914,2.4000,32267
2020-04-23,2.3100,2.3400,2.1800,2.3400,43327
2020-04-22,2.6100,2.6100,2.3000,2.3100,36238
2020-04-21,2.5500,2.6563,2.3400,2.6100,24935
2020-04-20,2.7600,2.7800,2.4623,2.5000,47687
2020-04-17,2.5900,2.6400,2.4200,2.6200,71650
2020-04-16,2.2500,2.3400,2.2024,2.2700,25715
2020-04-15,2.3400,2.3400,2.2700,2.2800,42033
2020-04-14,2.1500,2.3400,2.1500,2.3400,86523
2020-04-13,2.0800,2.1399,1.9600,2.1000,35365
2020-04-09,1.8000,2.0000,1.8000,1.9400,72724
2020-04-08,1.8100,1.8900,1.7100,1.8200,49618
2020-04-07,1.7100,1.8500,1.7100,1.7600,53785
2020-04-06,1.7100,1.7100,1.6300,1.6600,48358
2020-04-03,1.7200,1.7200,1.5200,1.5800,69631
2020-04-02,1.8400,1.8699,1.6201,1.7100,36270
2020-04-01,1.8700,1.8700,1.6000,1.7400,38459
2020-03-31,1.8600,1.9399,1.8500,1.8600,17374
2020-03-30,1.9600,2.0500,1.8500,1.9400,38051
2020-03-27,1.9900,1.9900,1.6899,1.9550,55600
2020-03-26,1.8900,2.0900,1.8191,1.9900,43844
2020-03-25,1.9000,1.9300,1.6000,1.8000,83601
2020-03-24,1.4500,1.6700,1.4000,1.6000,159100
2020-03-23,1.6100,1.6100,1.3501,1.3700,107852
2020-03-20,2.3300,2.4600,1.2800,1.5200,312622
2020-03-19,2.1500,2.3300,2.0381,2.2600,166198
2020-03-18,2.6000,2.6000,2.0500,2.1600,53950
2020-03-17,2.5800,2.6900,2.5296,2.5900,30295
2020-03-16,2.4800,2.5700,2.2400,2.5300,41762
2020-03-13,2.5700,2.5900,2.5000,2.5000,33412
2020-03-12,2.7700,3.0000,2.4500,2.5000,63048
2020-03-11,3.1000,3.1000,3.0000,3.0300,14138
2020-03-10,3.1900,3.1900,3.0497,3.1100,22708
2020-03-09,3.1800,3.2000,3.1000,3.1500,27150
2020-03-06,3.6300,3.6300,3.2100,3.2400,157385
2020-03-05,3.3100,3.6400,3.1900,3.6400,37482
2020-03-04,3.2114,3.3400,3.1700,3.3300,25277
2020-03-03,3.1748,3.3100,3.1748,3.3100,13530
2020-03-02,3.1500,3.2488,3.1300,3.1500,48069
2020-02-28,3.1100,3.2000,3.0000,3.1100,69543
2020-02-27,3.2500,3.2700,3.1092,3.1950,23258
2020-02-26,3.4500,3.4833,3.2200,3.2900,38831
2020-02-25,3.5700,3.6000,3.4500,3.4600,31925
2020-02-24,3.8200,3.8700,3.4200,3.4200,74832
2020-02-21,3.8721,3.9300,3.8700,3.8800,6580
2020-02-20,3.8270,3.9700,3.8270,3.8800,21566
2020-02-19,3.9600,3.9600,3.8100,3.8400,36273
2020-02-18,3.9900,4.0000,3.8500,3.8531,42377
2020-02-14,4.0400,4.0400,3.9200,4.0000,32404
2020-02-13,3.9500,4.0500,3.9500,4.0400,37110
2020-02-12,3.9800,3.9800,3.8600,3.9400,22359
2020-02-11,4.0000,4.0000,3.8600,3.9400,26717
2020-02-10,3.9500,4.0900,3.8600,3.9000,37995
2020-02-07,3.8600,3.9730,3.8600,3.9000,26508
2020-02-06,4.0100,4.0400,3.8200,3.8600,18584
2020-02-05,3.9100,3.9800,3.8700,3.9400,26289
2020-02-04,4.1000,4.1500,3.8400,3.8828,56715
2020-02-03,3.8500,4.0700,3.7400,4.0200,75353
2020-01-31,3.8000,3.8000,3.7100,3.8000,26720
2020-01-30,3.8900,3.8900,3.7400,3.8350,30889
2020-01-29,3.7700,3.9800,3.7700,3.8800,50910
2020-01-28,3.5368,3.7300,3.5200,3.7200,47584
2020-01-27,3.6600,3.6600,3.5000,3.5400,30099
2020-01-24,3.6700,3.6700,3.5200,3.6500,30390
2020-01-23,3.7800,3.8500,3.6142,3.6400,45682
2020-01-22,3.4900,3.8400,3.4700,3.7500,128427
2020-01-21,3.3500,3.4800,3.3100,3.4300,32805
2020-01-17,3.3100,3.3700,3.2900,3.3600,8516
2020-01-16,3.3400,3.3800,3.3000,3.3100,20403
2020-01-15,3.2612,3.3100,3.2500,3.3000,28795
2020-01-14,3.2200,3.2700,3.1900,3.2700,18091
2020-01-13,3.2000,3.2200,3.1600,3.1800,17746
2020-01-10,3.2100,3.2922,3.1500,3.1600,20422
2020-01-09,3.2800,3.4000,3.2000,3.2000,41776
2020-01-08,3.3200,3.4500,3.2600,3.3100,32568
2020-01-07,3.2000,3.3000,3.1600,3.3000,37389
2020-01-06,3.1500,3.1818,3.1000,3.1400,14900
2020-01-03,3.1500,3.2000,3.1200,3.1300,26205
2020-01-02,3.0900,3.1700,3.0900,3.1400,15620
2019-12-31,3.1200,3.1800,3.0900,3.0900,37479
2019-12-30,3.0800,3.1300,3.0000,3.1100,22869
2019-12-27,3.0600,3.1500,3.0600,3.1000,44166
2019-12-26,3.0799,3.1460,3.0400,3.0900,50533
2019-12-24,3.0800,3.0800,3.0400,3.0500,24817
2019-12-23,3.0200,3.0500,3.0000,3.0350,24985
2019-12-20,2.9000,3.0200,2.8900,3.0000,59305
2019-12-19,2.8800,2.9500,2.8500,2.9300,43132
2019-12-18,2.9597,2.9600,2.8300,2.8741,66535
2019-12-17,3.0000,3.0000,2.9000,2.9498,65146
2019-12-16,3.0200,3.0200,2.9500,3.0000,12523
2019-12-13,3.0300,3.0600,2.9800,2.9900,12903
2019-12-12,2.9900,3.0300,2.9700,3.0300,5665
2019-12-11,3.0000,3.0000,2.9500,2.9800,9881
2019-12-10,3.0400,3.0400,2.9400,2.9700,17086
2019-12-09,3.0300,3.0780,3.0300,3.0300,16704
2019-12-06,3.0200,3.0400,3.0100,3.0200,10169
2019-12-05,2.9800,3.0100,2.9400,3.0099,10301
2019-12-04,2.8700,2.9800,2.8500,2.9600,36208
2019-12-03,2.8400,2.8700,2.8200,2.8700,22021
2019-12-02,2.8300,2.8779,2.8300,2.8300,34245
2019-11-29,2.8473,2.8500,2.8200,2.8350,17890
2019-11-27,2.9500,2.9764,2.8200,2.8200,67987
2019-11-26,3.0100,3.0200,2.9200,2.9500,42993
2019-11-25,2.9000,3.0100,2.9000,3.0000,16392
2019-11-22,2.9100,2.9600,2.8700,2.9000,24174
2019-11-21,2.8890,2.9500,2.8600,2.9300,9205
2019-11-20,2.9755,3.0000,2.8700,2.9000,15365
2019-11-19,2.9319,2.9600,2.9000,2.9600,16076
2019-11-18,3.0300,3.0300,2.9500,2.9600,23466
2019-11-15,3.0000,3.0600,2.9470,3.0150,21772
2019-11-14,2.9346,2.9700,2.9100,2.9600,23541
2019-11-13,2.9100,2.9500,2.8700,2.9300,24599
2019-11-12,2.9462,2.9500,2.9200,2.9300,24753
2019-11-11,2.8200,2.9500,2.8200,2.9300,17736
2019-11-08,2.9000,2.9500,2.8100,2.8200,50335
2019-11-07,2.8800,2.9500,2.8000,2.9000,54399
2019-11-06,2.8952,2.8952,2.8014,2.8500,48308
2019-11-05,2.8500,2.9300,2.8500,2.9200,12654
2019-11-04,2.8500,2.8850,2.8300,2.8700,24708
2019-11-01,2.8500,2.8954,2.8400,2.8400,32141
2019-10-31,2.8600,2.9000,2.8500,2.8800,20083
2019-10-30,2.8900,2.9000,2.8500,2.8600,32313
2019-10-29,2.9000,2.9500,2.8700,2.8700,46720
2019-10-28,2.9200,2.9900,2.9000,2.9000,11704
2019-10-25,2.9600,2.9900,2.9200,2.9300,13622
2019-10-24,2.9300,2.9800,2.9100,2.9800,16424
2019-10-23,2.9279,2.9800,2.9000,2.9000,7332
2019-10-22,3.0000,3.0000,2.8900,2.9100,17054
2019-10-21,2.9500,3.0000,2.9500,2.9600,30803
2019-10-18,2.9400,2.9400,2.9200,2.9400,16283
2019-10-17,2.9400,2.9600,2.9000,2.9300,14148
2019-10-16,2.9000,2.9600,2.8900,2.9300,43998
2019-10-15,2.9300,2.9300,2.8900,2.9000,14277
2019-10-14,2.9300,2.9800,2.9000,2.9400,8344
2019-10-11,2.9000,2.9496,2.8900,2.9000,14334
2019-10-10,2.9100,2.9285,2.8800,2.9100,19896
2019-10-09,2.9000,2.9200,2.8800,2.8800,14151
2019-10-08,2.9100,2.9400,2.8800,2.9200,29660
2019-10-07,2.9800,2.9800,2.9000,2.9000,39855
2019-10-04,2.9900,3.0300,2.9600,2.9600,23378
2019-10-03,3.0100,3.0200,2.9900,3.0000,16299
2019-10-02,3.0400,3.0700,3.0000,3.0000,20295
2019-10-01,3.0800,3.1000,3.0600,3.0900,8208
2019-09-30,3.0400,3.1000,2.9900,3.1000,25047
2019-09-27,3.0800,3.0800,3.0300,3.0700,26207
2019-09-26,3.1200,3.1400,3.0800,3.1300,16620
2019-09-25,3.1400,3.1400,3.1125,3.1300,7396
2019-09-24,3.0900,3.1400,3.0500,3.0700,30042
2019-09-23,3.0700,3.1000,3.0500,3.0800,17937
2019-09-20,3.0500,3.1800,3.0200,3.0600,57639
2019-09-19,3.1400,3.1800,3.0500,3.0600,38806
2019-09-18,3.1300,3.1828,3.1200,3.1400,32379
2019-09-17,3.1200,3.1800,3.0900,3.1500,44386
2019-09-16,3.0700,3.1300,3.0400,3.0600,22858
2019-09-13,3.0700,3.0900,3.0100,3.0500,13718
2019-09-12,3.0600,3.1000,3.0584,3.0800,8700
2019-09-11,3.0800,3.1300,3.0300,3.0300,5382
2019-09-10,3.0500,3.1400,3.0478,3.0600,21837
2019-09-09,3.0031,3.0300,3.0031,3.0266,15618
2019-09-06,2.9600,2.9900,2.9500,2.9800,14092
2019-09-05,3.0000,3.0374,2.9150,2.9600,49951
2019-09-04,3.0303,3.0469,2.9900,3.0100,36810
2019-09-03,3.0500,3.0700,3.0200,3.0200,8249
2019-08-30,3.0800,3.1245,3.0300,3.0500,8958
