timestamp,open,high,low,close,volume
2020-06-19,9.1500,9.1500,8.7500,8.9900,94200
2020-06-18,9.0000,9.3000,8.9900,9.0200,41928
2020-06-17,9.7600,9.7600,9.0300,9.0300,37243
2020-06-16,9.6400,9.8050,9.4600,9.7500,83049
2020-06-15,8.9400,9.4700,8.9100,9.3200,48821
2020-06-12,9.3500,9.3500,8.8400,9.1200,78240
2020-06-11,9.3000,9.3700,8.7700,8.9400,85188
2020-06-10,9.9200,9.9200,9.5900,9.5900,65053
2020-06-09,9.9400,10.1700,9.7400,9.9900,38660
2020-06-08,10.3500,10.3500,10.1000,10.1900,86036
2020-06-05,10.1800,10.4600,9.9400,10.3000,75278
2020-06-04,9.8100,10.0200,9.6600,9.7400,56565
2020-06-03,9.7200,10.1400,9.7200,9.9300,46783
2020-06-02,9.4100,9.6900,9.2000,9.5100,52267
2020-06-01,9.6100,9.6100,9.2600,9.2800,48220
2020-05-29,9.4800,9.7800,9.3700,9.5900,53694
2020-05-28,10.1500,10.1500,9.6600,9.6700,53305
2020-05-27,9.8000,10.1500,9.5700,10.1200,93341
2020-05-26,9.7400,9.7590,9.4900,9.6000,87182
2020-05-22,9.6800,9.6800,9.0200,9.3300,79881
2020-05-21,9.4100,9.6800,9.4100,9.5900,81007
2020-05-20,9.3800,9.6400,9.3400,9.5000,72574
2020-05-19,9.6000,9.6100,9.1200,9.1600,60960
2020-05-18,9.0700,9.7400,9.0700,9.7400,61687
2020-05-15,8.7000,8.8300,8.5800,8.8200,27047
2020-05-14,8.5600,8.8200,8.3400,8.7200,62856
2020-05-13,8.8100,8.8900,8.5400,8.7400,98973
2020-05-12,9.3000,9.3000,8.8300,8.8400,63280
2020-05-11,9.5300,9.6596,9.2700,9.3000,100849
2020-05-08,9.4700,9.7500,9.4700,9.6400,77906
2020-05-07,9.2700,9.5400,9.1400,9.2300,77258
2020-05-06,9.6800,9.7000,9.2500,9.2600,87624
2020-05-05,10.0100,10.4900,9.6600,9.6700,87872
2020-05-04,9.7600,10.0200,9.6800,9.8900,85104
2020-05-01,9.9300,10.1100,9.7600,9.9000,110482
2020-04-30,10.4400,10.4501,9.9100,10.1200,102773
2020-04-29,10.4400,11.0300,10.2600,10.7600,81938
2020-04-28,10.1500,10.3800,9.8400,10.1600,89809
2020-04-27,9.4400,10.2700,9.4300,10.0500,93832
2020-04-24,9.4100,9.5800,9.3400,9.3900,37891
2020-04-23,9.5500,9.7800,9.3600,9.4300,57923
2020-04-22,9.7100,9.7800,9.4800,9.5600,64230
2020-04-21,9.3100,9.8400,9.2400,9.5800,77430
2020-04-20,9.9500,10.1427,9.4000,9.5100,61970
2020-04-17,9.4700,10.2500,9.4700,9.9600,87034
2020-04-16,9.5400,9.5999,9.0500,9.3100,85475
2020-04-15,10.2600,10.2700,9.4500,9.5400,118204
2020-04-14,11.7000,11.7000,10.5200,10.5350,85523
2020-04-13,10.9900,11.5300,10.2600,11.1300,250207
2020-04-09,10.2500,10.8000,10.2500,10.8000,56583
2020-04-08,9.8300,10.4400,9.8300,10.1400,52224
2020-04-07,10.2000,10.5000,9.7150,9.7500,44325
2020-04-06,10.2500,10.3400,10.0000,10.1100,60236
2020-04-03,9.8900,10.1700,9.8100,9.8600,54788
2020-04-02,9.8800,10.2800,9.7800,9.9300,58358
2020-04-01,10.4500,10.4500,9.8700,9.8800,61054
2020-03-31,10.2400,10.6500,9.9800,10.6500,102490
2020-03-30,10.1900,10.4000,10.0000,10.3200,29370
2020-03-27,10.4700,10.6800,9.9600,10.0200,56728
2020-03-26,10.8700,11.0700,10.2600,10.9500,85855
2020-03-25,10.1800,10.5200,10.0000,10.2400,58528
2020-03-24,10.0400,10.5900,9.9600,10.2500,61663
2020-03-23,9.9600,10.2100,9.3500,9.6300,73862
2020-03-20,10.4300,10.7200,9.9300,10.0200,123993
2020-03-19,9.3500,10.5700,8.9200,10.4000,101358
2020-03-18,9.7000,10.4700,9.4000,9.4100,109964
2020-03-17,8.6900,9.9300,8.6900,9.8100,82893
2020-03-16,8.5100,9.3100,8.5100,8.5400,60537
2020-03-13,9.5000,10.1000,9.2300,10.1000,77362
2020-03-12,10.1000,10.1415,9.1200,9.1500,69339
2020-03-11,10.5000,10.6400,10.2250,10.2600,63802
2020-03-10,10.7000,10.8800,10.4200,10.6100,70596
2020-03-09,11.3500,11.3900,10.2800,10.5200,60657
2020-03-06,11.4600,11.6700,11.1365,11.3200,46151
2020-03-05,11.9700,11.9700,11.4400,11.6200,38346
2020-03-04,11.6700,11.9500,11.3500,11.9500,33090
2020-03-03,12.0200,12.0200,11.4000,11.5100,54601
2020-03-02,11.5800,12.0900,11.5400,12.0600,63649
2020-02-28,11.1600,11.5700,11.0500,11.3400,64617
2020-02-27,12.1100,12.3800,11.1100,11.5600,69099
2020-02-26,12.5200,12.5700,12.1400,12.1500,21254
2020-02-25,12.6503,12.7600,12.3500,12.4300,22768
2020-02-24,12.4900,12.7900,12.4900,12.7200,24686
2020-02-21,12.9900,12.9900,12.7600,12.7800,28787
2020-02-20,12.9200,12.9600,12.8300,12.8700,12743
2020-02-19,12.9900,13.1399,12.8700,12.9000,14080
2020-02-18,13.0200,13.0800,12.9600,12.9900,8489
2020-02-14,13.2000,13.2000,13.0100,13.0400,20387
2020-02-13,13.1100,13.1600,13.0101,13.1300,9184
2020-02-12,13.1200,13.2300,13.0000,13.0200,13615
2020-02-11,13.0800,13.1200,12.9800,13.0300,27952
2020-02-10,13.0000,13.0600,12.9100,13.0100,11657
2020-02-07,13.1000,13.1200,13.0000,13.0000,15755
2020-02-06,13.3200,13.3200,13.1978,13.2100,25245
2020-02-05,13.1800,13.4500,13.1600,13.3900,41358
2020-02-04,13.3000,13.3200,13.0800,13.0800,41002
2020-02-03,13.2300,13.3100,13.1600,13.1800,26546
2020-01-31,13.4600,13.4600,13.1100,13.1200,37900
2020-01-30,13.6300,13.6508,13.5300,13.5700,19715
2020-01-29,13.7100,13.7200,13.6200,13.6900,8597
2020-01-28,13.8400,13.8400,13.6600,13.7200,11286
2020-01-27,13.6200,13.7900,13.6200,13.7300,18110
2020-01-24,13.8600,13.8600,13.7200,13.7700,18995
2020-01-23,13.7900,13.9800,13.7000,13.8500,26320
2020-01-22,13.6600,13.8700,13.6600,13.8500,24097
2020-01-21,13.7800,13.8600,13.7300,13.8000,14778
2020-01-17,13.8400,13.8800,13.6100,13.8500,51288
2020-01-16,13.6700,13.8500,13.6500,13.7800,11578
2020-01-15,13.7000,13.8100,13.5600,13.5900,15166
2020-01-14,13.7700,13.8600,13.6100,13.7500,23648
2020-01-13,13.6500,13.8700,13.6450,13.8100,19201
2020-01-10,13.8000,13.8200,13.5700,13.6900,20412
2020-01-09,13.9700,13.9700,13.7800,13.8300,35016
2020-01-08,13.9700,13.9800,13.8001,13.9100,34315
2020-01-07,13.8600,14.0200,13.7700,13.9300,66080
2020-01-06,13.6700,13.9800,13.6700,13.9400,20132
2020-01-03,13.6100,13.7700,13.5890,13.7000,23526
2020-01-02,13.8800,13.9100,13.4600,13.7300,34347
2019-12-31,13.9200,13.9200,13.6900,13.7900,28509
2019-12-30,13.9200,13.9900,13.7300,13.8900,21944
2019-12-27,13.9700,13.9700,13.8500,13.8700,17082
2019-12-26,14.0989,14.1400,13.9000,13.9100,17380
2019-12-24,14.1000,14.1500,14.0500,14.1300,7942
2019-12-23,14.5000,14.5000,13.9400,14.0500,39376
2019-12-20,14.3500,14.4100,14.2400,14.4000,109755
2019-12-19,14.2600,14.3700,14.2000,14.3500,20026
2019-12-18,14.1800,14.4000,14.1100,14.3600,23498
2019-12-17,14.1800,14.2600,14.0700,14.1800,14336
2019-12-16,14.2400,14.3800,14.0550,14.2100,45883
2019-12-13,13.8913,14.1300,13.8800,14.1200,20812
2019-12-12,13.6900,14.0700,13.6900,14.0300,25727
2019-12-11,13.6400,13.8300,13.5700,13.7200,33343
2019-12-10,13.6300,13.6800,13.5400,13.6800,33129
2019-12-09,13.4300,13.6800,13.3400,13.6400,32969
2019-12-06,13.4600,13.5700,13.3600,13.3800,27638
2019-12-05,13.3000,13.4500,13.3000,13.3900,13566
2019-12-04,13.3200,13.4300,13.2800,13.3500,18993
2019-12-03,13.0000,13.3100,12.9400,13.2800,45549
2019-12-02,13.6000,13.6700,13.0500,13.0900,41175
2019-11-29,13.5000,13.5800,13.4400,13.5400,7839
2019-11-27,13.3911,13.5800,13.3911,13.5600,29922
2019-11-26,13.3300,13.5300,13.3300,13.4000,39399
2019-11-25,13.1700,13.3600,13.1028,13.3600,28355
2019-11-22,13.1700,13.1850,13.0250,13.1800,19319
2019-11-21,13.0600,13.1000,12.9600,13.1000,14259
2019-11-20,13.1000,13.2400,13.0000,13.0800,40436
2019-11-19,13.0050,13.1600,12.9600,13.1200,26461
2019-11-18,13.0100,13.0800,12.9000,13.0400,26704
2019-11-15,13.0900,13.0900,13.0000,13.0200,17422
2019-11-14,13.0000,13.0600,13.0000,13.0100,11125
