timestamp,open,high,low,close,volume
2020-06-19,9.8800,10.3900,9.7900,10.1500,675375
2020-06-18,9.5300,10.3800,9.5220,9.7100,603107
2020-06-17,10.1200,10.5500,9.3500,9.5400,873060
2020-06-16,10.0000,10.2300,9.7000,10.0800,611609
2020-06-15,8.5400,10.0100,8.4700,9.9400,1624807
2020-06-12,8.6100,9.1600,8.2733,8.4700,593124
2020-06-11,8.9600,9.1600,8.3600,8.5700,644182
2020-06-10,9.3700,9.6300,9.1200,9.1700,611343
2020-06-09,8.7600,9.4900,8.4500,9.2000,525830
2020-06-08,9.2000,9.2400,8.3000,8.4600,645088
2020-06-05,8.5800,9.4400,8.4400,9.0800,801337
2020-06-04,8.1000,8.6500,8.0500,8.5000,545201
2020-06-03,8.0000,8.1500,7.6100,8.1300,488853
2020-06-02,7.9500,7.9700,7.6000,7.9000,498665
2020-06-01,7.5000,7.9800,7.4000,7.6700,442310
2020-05-29,7.1000,7.4500,6.8300,7.4500,710777
2020-05-28,6.7000,6.8000,6.5600,6.6600,275620
2020-05-27,6.6500,6.7600,6.2300,6.6300,333447
2020-05-26,6.7500,6.9000,6.5100,6.6100,467357
2020-05-22,6.1200,6.5300,6.0988,6.5100,444381
2020-05-21,5.8600,6.1500,5.7000,6.1200,215109
2020-05-20,5.7500,5.9300,5.6800,5.8200,171989
2020-05-19,5.8600,5.9600,5.6800,5.7300,215516
2020-05-18,5.2800,5.8850,5.0600,5.8200,566148
2020-05-15,5.6400,5.6500,5.0500,5.2800,597119
2020-05-14,5.5700,5.6500,5.4700,5.5500,338647
2020-05-13,6.0000,6.1900,5.5500,5.6600,433127
2020-05-12,5.8700,6.2500,5.7701,5.8600,536477
2020-05-11,5.8900,6.0221,5.7500,5.8600,381972
2020-05-08,5.9100,6.0900,5.8000,5.8700,419255
2020-05-07,6.4900,6.5000,5.4400,5.9100,1301648
2020-05-06,7.2300,7.4100,6.7400,6.7400,440505
2020-05-05,6.6700,7.2500,6.6700,7.2100,603226
2020-05-04,6.3600,6.6500,6.2500,6.5700,490037
2020-05-01,6.1000,6.3400,5.9224,6.2600,315610
2020-04-30,6.2900,6.4400,6.1000,6.1500,311810
2020-04-29,6.1300,6.3600,6.0500,6.2300,504965
2020-04-28,6.1400,6.1400,5.8350,6.0400,289405
2020-04-27,6.0700,6.2300,6.0000,6.0700,256565
2020-04-24,6.0300,6.1513,5.8200,6.0700,206182
2020-04-23,6.1600,6.2600,5.8900,6.0300,278078
2020-04-22,6.1700,6.2700,6.0800,6.1400,186969
2020-04-21,6.1500,6.2800,5.8100,6.0300,399369
2020-04-20,6.0200,6.3800,6.0200,6.2300,406819
2020-04-17,6.0000,6.2500,5.8900,6.0700,527892
2020-04-16,5.7000,5.9900,5.6500,5.9300,515164
2020-04-15,5.6500,5.7500,5.3900,5.6300,307197
2020-04-14,5.5500,5.8700,5.5400,5.7000,552536
2020-04-13,5.1000,5.5900,5.0300,5.5250,697392
2020-04-09,5.1400,5.1600,5.0000,5.0900,373665
2020-04-08,5.0000,5.1500,4.9200,5.1000,453327
2020-04-07,4.9000,5.0400,4.7500,4.8800,321578
2020-04-06,4.7600,4.9400,4.7302,4.8100,485429
2020-04-03,4.7400,4.8200,4.5500,4.6500,525807
2020-04-02,4.4400,4.8200,4.4325,4.7000,481572
2020-04-01,4.5300,4.6200,4.3000,4.4200,599929
2020-03-31,4.5800,4.9200,4.3000,4.6400,535511
2020-03-30,4.9400,5.1500,4.2600,4.5100,773040
2020-03-27,4.8800,5.1000,4.8200,4.9000,565436
2020-03-26,4.8800,5.2500,4.8800,4.9000,403444
2020-03-25,4.6500,5.1200,4.6430,4.8800,456411
2020-03-24,4.8300,5.8500,4.5000,4.6400,2336046
2020-03-23,4.6700,4.8500,4.4300,4.6200,512685
2020-03-20,4.8600,4.9500,4.5000,4.6000,509479
2020-03-19,4.7000,4.8500,4.4328,4.7600,540294
2020-03-18,5.0200,5.4600,4.4000,4.4100,971914
2020-03-17,4.7000,5.6500,4.6101,5.0500,1287186
2020-03-16,5.0000,5.2400,4.0000,4.5000,1111783
2020-03-13,6.0300,6.4800,5.5500,5.5500,867235
2020-03-12,6.2600,6.7700,6.0830,6.1000,644062
2020-03-11,7.3700,7.3800,6.5090,6.6800,699625
2020-03-10,7.5200,7.8300,7.0000,7.4400,567540
2020-03-09,8.3000,8.4299,7.2700,7.3300,731033
2020-03-06,7.4000,8.7700,7.4000,8.5500,1131559
2020-03-05,6.9200,8.0000,6.9200,7.6200,641087
2020-03-04,6.7500,7.1000,6.7500,6.9600,401354
2020-03-03,6.9500,7.0000,6.5000,6.7200,502086
2020-03-02,7.1300,7.3800,6.8500,6.9100,360476
2020-02-28,6.8600,7.2000,6.6000,6.9800,550700
2020-02-27,7.3100,7.5651,6.1600,6.7600,1464798
2020-02-26,8.9000,9.2500,6.7100,7.3100,2114420
2020-02-25,8.2300,10.0000,7.7500,8.8800,3291422
2020-02-24,6.4900,7.8800,6.2000,7.6400,1889776
2020-02-21,6.0900,6.9800,6.0500,6.8700,1124876
2020-02-20,5.9600,6.0800,5.9100,6.0500,629574
2020-02-19,6.3000,6.3000,5.7440,5.9600,965188
2020-02-18,5.1900,6.4400,5.0140,6.3300,1266731
2020-02-14,5.7200,5.7900,5.0900,5.1600,1210354
2020-02-13,4.7500,6.6700,4.7500,5.4000,6562185
2020-02-12,4.7300,4.8299,4.6500,4.7200,823296
2020-02-11,4.2500,4.7500,4.2000,4.6700,1432350
2020-02-10,4.0900,4.1200,4.0200,4.0700,139633
2020-02-07,4.0500,4.0900,4.0000,4.0600,118226
2020-02-06,4.1200,4.1300,4.0000,4.0500,238371
2020-02-05,4.0900,4.1121,3.9700,4.0800,304113
2020-02-04,4.0100,4.1340,4.0100,4.0800,171068
2020-02-03,4.0600,4.2000,3.9650,4.0100,149032
2020-01-31,4.0200,4.0900,3.9645,4.0700,49835
2020-01-30,4.1300,4.1600,3.9900,4.0200,152171
2020-01-29,4.1700,4.1900,4.1300,4.1300,65144
2020-01-28,4.1800,4.2000,4.1100,4.1600,96964
2020-01-27,4.1200,4.2900,4.1200,4.1700,153265
2020-01-24,4.2100,4.2134,4.1099,4.1400,73143
2020-01-23,4.2400,4.3000,4.1200,4.1900,127267
2020-01-22,4.3500,4.3500,4.2500,4.2700,76259
2020-01-21,4.3800,4.3800,4.2900,4.3100,65154
2020-01-17,4.3900,4.3900,4.3303,4.3500,78552
2020-01-16,4.3900,4.4050,4.3400,4.3800,100029
2020-01-15,4.3600,4.3900,4.3300,4.3500,60005
2020-01-14,4.3900,4.3900,4.3200,4.3400,118833
2020-01-13,4.4300,4.4500,4.3100,4.3800,181464
2020-01-10,4.3500,4.3900,4.3100,4.3500,198464
2020-01-09,4.3500,4.4000,4.3301,4.3450,146401
2020-01-08,4.3400,4.3900,4.3100,4.3400,132014
2020-01-07,4.3600,4.3700,4.3100,4.3400,274430
2020-01-06,4.3100,4.4000,4.2500,4.3000,497324
2020-01-03,4.1700,4.2500,4.1200,4.1700,158513
2020-01-02,4.3000,4.3581,4.1100,4.1200,230360
2019-12-31,4.3200,4.4700,4.1701,4.2800,341651
2019-12-30,4.1300,4.3500,4.1184,4.2900,521513
2019-12-27,4.0500,4.1400,4.0376,4.0900,261617
2019-12-26,3.9400,4.0900,3.9300,4.0560,181972
2019-12-24,3.8800,3.9800,3.8500,3.9500,70604
2019-12-23,3.6700,3.8400,3.6700,3.8300,88725
2019-12-20,3.7200,3.8000,3.6300,3.7000,187527
2019-12-19,3.8500,3.8500,3.6900,3.6900,153238
2019-12-18,3.7800,3.8600,3.7700,3.8000,45024
2019-12-17,3.8700,3.8700,3.7900,3.8000,59865
2019-12-16,3.8500,3.8800,3.8000,3.8400,61353
2019-12-13,3.8800,3.8811,3.8200,3.8500,50219
2019-12-12,3.9100,3.9384,3.8300,3.8850,67048
2019-12-11,3.9500,4.0000,3.9286,3.9300,56732
2019-12-10,3.9100,3.9700,3.9004,3.9200,48662
2019-12-09,3.9200,3.9612,3.9100,3.9200,43901
2019-12-06,3.9900,3.9950,3.9104,3.9300,31257
2019-12-05,4.0000,4.0000,3.9500,3.9600,76574
2019-12-04,4.0000,4.0100,3.9502,3.9900,76454
2019-12-03,4.0200,4.0400,3.9200,3.9900,96236
2019-12-02,4.0100,4.0300,3.9473,4.0200,76815
2019-11-29,3.9700,3.9900,3.9500,3.9700,30871
2019-11-27,3.9900,3.9900,3.9321,3.9500,78546
2019-11-26,4.0000,4.0000,3.9400,3.9700,76372
2019-11-25,3.9500,3.9900,3.8093,3.9600,77622
2019-11-22,3.9200,3.9500,3.8700,3.9200,59590
2019-11-21,3.9700,3.9700,3.8700,3.9200,69170
2019-11-20,3.9000,4.0000,3.8142,3.9300,286196
2019-11-19,3.7100,3.8800,3.7100,3.7800,70711
2019-11-18,3.7000,3.7400,3.6500,3.7100,41092
2019-11-15,3.7800,3.7800,3.6800,3.7500,38365
2019-11-14,3.6100,3.8045,3.6100,3.7000,120314
2019-11-13,3.8500,3.8800,3.8000,3.8500,43689
2019-11-12,3.8800,3.8800,3.7600,3.8500,29694
2019-11-11,3.7800,3.8800,3.7800,3.8800,29982
2019-11-08,3.7260,3.8000,3.7000,3.8000,27049
2019-11-07,3.7900,3.8300,3.6000,3.7400,50262
2019-11-06,3.8100,3.8400,3.7100,3.7500,27093
2019-11-05,3.8600,3.8800,3.8000,3.8400,33075
2019-11-04,3.7600,3.8800,3.7500,3.8800,55239
2019-11-01,3.6200,3.7500,3.6200,3.6700,34926
2019-10-31,3.6300,3.6600,3.5800,3.6300,25327
2019-10-30,3.6900,3.7116,3.5800,3.6200,63772
