timestamp,open,high,low,close,volume
2020-06-19,10.0000,10.0000,9.4800,9.4800,1298
2020-06-18,9.7000,9.7485,9.7000,9.7474,1226
2020-06-17,9.7500,9.7500,9.7500,9.7500,5644
2020-06-16,9.9700,9.9700,9.9700,9.9700,4
2020-06-15,9.9700,9.9700,9.9700,9.9700,79
2020-06-12,9.9700,9.9700,9.9700,9.9700,225
2020-06-11,9.9700,9.9700,9.4331,9.9700,1258
2020-06-10,9.2950,9.2950,9.2950,9.2950,212
2020-06-09,9.3500,9.3550,9.3500,9.3550,739
2020-06-08,10.0000,10.0000,9.7602,9.7602,369
2020-06-05,9.6000,9.6000,9.5000,9.5000,2878
2020-06-04,9.2500,9.2500,8.9500,8.9500,1397
2020-06-03,9.2500,9.2500,9.1500,9.1500,2927
2020-06-02,9.1500,9.1500,9.1500,9.1500,121
2020-06-01,8.7600,8.7600,8.7600,8.7600,30
2020-05-29,8.7900,9.1000,8.7600,8.7600,1707
2020-05-28,8.7000,8.8000,8.5110,8.6500,2134
2020-05-27,8.6000,8.6000,8.6000,8.6000,46
2020-05-26,8.5450,8.6000,8.5436,8.6000,1920
2020-05-22,8.4800,8.6000,8.4800,8.5700,33256
2020-05-21,8.3000,8.3000,8.3000,8.3000,89
2020-05-20,8.2900,8.3000,8.2900,8.3000,529
2020-05-19,8.1265,8.4800,8.0400,8.3000,2506
2020-05-18,8.0001,8.0001,8.0001,8.0001,321
2020-05-15,8.3500,8.3500,8.3500,8.3500,13
2020-05-14,8.0001,8.3500,8.0001,8.3500,2493
2020-05-13,8.5000,8.5000,8.5000,8.5000,34
2020-05-12,8.1550,8.5000,8.1550,8.5000,503
2020-05-11,7.4300,8.4700,7.4300,8.4500,2601
2020-05-08,8.4999,8.5000,8.1720,8.4500,3947
2020-05-07,8.0300,8.0300,8.0300,8.0300,10
2020-05-06,8.0300,8.0300,8.0300,8.0300,6
2020-05-05,8.2650,8.2650,8.0300,8.0300,707
2020-05-04,8.4600,8.4600,8.4600,8.4600,20
2020-05-01,8.4600,8.4600,8.4600,8.4600,127
2020-04-30,8.5000,8.5000,8.3970,8.3970,767
2020-04-29,8.2550,8.2550,8.2550,8.2550,302
2020-04-28,8.4550,8.4550,8.4550,8.4550,415
2020-04-27,8.0000,8.3350,8.0000,8.2495,2018
2020-04-24,7.7400,7.8500,7.7400,7.8500,1746
2020-04-23,7.9557,7.9557,7.6000,7.7399,827
2020-04-22,7.9044,7.9587,7.5100,7.6380,4685
2020-04-21,7.8950,7.8950,7.8950,7.8950,107
2020-04-20,8.4402,8.4402,8.4402,8.4402,2
2020-04-17,8.4900,8.4900,8.4000,8.4402,1793
2020-04-16,8.8565,8.8565,8.2500,8.4000,9519
2020-04-15,8.5001,8.8442,8.5000,8.8442,1471
2020-04-14,9.1630,9.3430,9.0000,9.0000,18188
2020-04-13,9.3500,9.3500,9.0100,9.0100,1256
2020-04-09,9.0000,9.1765,8.9500,9.0101,9813
2020-04-08,8.5600,9.0440,8.5500,9.0440,5668
2020-04-07,8.2100,9.0000,8.0500,9.0000,13931
2020-04-06,7.8369,8.3500,7.6942,8.3500,30422
2020-04-03,7.7001,7.8100,7.4300,7.5375,3700
2020-04-02,7.7950,7.8900,7.7900,7.7900,1367
2020-04-01,7.7100,7.8900,7.7100,7.8800,826
2020-03-31,7.8900,7.8900,7.8900,7.8900,216
2020-03-30,7.8900,7.8900,7.8515,7.8900,2497
2020-03-27,7.8900,7.8900,7.7570,7.8254,5405
2020-03-26,7.9800,7.9800,7.8100,7.8249,5373
2020-03-25,7.9400,7.9400,7.6900,7.6900,2316
2020-03-24,8.0931,8.0931,7.6800,7.9496,4137
2020-03-23,8.1500,8.2289,7.6300,8.0000,7102
2020-03-20,8.1900,8.1900,7.4502,7.4600,10782
2020-03-19,8.0000,8.7900,8.0000,8.7900,304
2020-03-18,8.2500,8.4900,7.7600,7.7600,2620
2020-03-17,8.6900,8.6900,8.6108,8.6108,485
2020-03-16,8.5700,8.5700,8.4000,8.4000,10486
2020-03-13,8.7000,8.8450,8.7000,8.8450,1744
2020-03-12,9.4000,9.4000,8.5200,8.5541,14431
2020-03-11,9.5200,9.6626,9.2199,9.2199,4668
2020-03-10,9.9852,9.9852,9.9750,9.9750,315
2020-03-09,9.4214,9.7740,8.8500,9.6050,22888
2020-03-06,10.5416,11.1500,9.9700,10.1600,14586
2020-03-05,11.0000,11.0000,11.0000,11.0000,0
2020-03-04,11.0000,11.3700,10.4700,11.0000,12630
2020-03-03,10.7500,11.5000,10.7500,11.5000,3712
2020-03-02,11.1250,11.1397,10.9100,11.1397,2335
2020-02-28,10.7500,11.0993,10.7500,10.8650,17380
2020-02-27,10.8487,10.8948,10.7500,10.8741,7100
2020-02-26,11.2600,11.4400,10.7500,11.2398,11700
2020-02-25,11.4990,11.4990,11.4990,11.4990,954
2020-02-24,11.1000,11.3000,11.1000,11.3000,1362
2020-02-21,11.3700,11.3700,11.3700,11.3700,594
2020-02-20,11.3700,11.3700,11.3700,11.3700,700
2020-02-19,11.6100,11.6100,11.3700,11.3700,1128
2020-02-18,11.6518,11.6518,11.6518,11.6518,400
2020-02-14,11.5100,11.6518,11.5100,11.6518,2338
2020-02-13,11.5045,11.5045,11.2838,11.2838,4042
2020-02-12,12.0000,12.0000,11.6000,11.7085,3806
2020-02-11,11.9191,11.9191,11.8500,11.8500,2191
2020-02-10,12.0100,12.0100,11.8600,11.9184,2449
2020-02-07,11.9316,11.9900,11.8644,11.9000,1946
2020-02-06,11.8991,11.8991,11.8500,11.8500,843
2020-02-05,12.0000,12.0000,11.8500,11.8706,8910
2020-02-04,11.9000,11.9000,11.9000,11.9000,110
2020-02-03,11.9844,11.9844,11.8500,11.8500,9507
2020-01-31,11.9300,11.9786,11.9000,11.9100,8238
2020-01-30,11.9501,11.9960,11.9500,11.9537,2977
2020-01-29,11.9804,11.9804,11.9000,11.9500,13904
2020-01-28,11.8300,12.0144,11.8300,11.9000,4046
2020-01-27,11.6700,11.9900,11.4488,11.6900,11247
2020-01-24,11.1500,11.3900,11.1500,11.3800,13540
2020-01-23,10.9500,11.1800,10.9500,11.1500,25671
2020-01-22,10.9000,11.0400,10.7500,11.0000,20074
2020-01-21,10.7500,11.0000,10.7500,10.9845,16063
2020-01-17,10.6940,10.6940,10.6940,10.6940,305
2020-01-16,10.7000,10.7000,10.7000,10.7000,0
2020-01-15,10.7000,10.7000,10.7000,10.7000,698
2020-01-14,10.7241,10.7241,10.7241,10.7241,81
2020-01-13,10.7000,10.7674,10.7000,10.7241,981
2020-01-10,10.7000,10.7990,10.7000,10.7200,6253
2020-01-09,10.7000,10.7000,10.7000,10.7000,100
2020-01-08,10.8000,10.8540,10.8000,10.8533,5022
2020-01-07,10.7200,10.7200,10.7200,10.7200,0
2020-01-06,10.7000,10.7200,10.7000,10.7199,5395
2020-01-03,10.8000,10.8001,10.7000,10.7000,9182
2020-01-02,10.8200,10.8200,10.8200,10.8200,537
2019-12-31,10.7000,10.7800,10.7000,10.7800,5681
2019-12-30,10.7800,10.7800,10.7627,10.7627,1192
2019-12-27,10.6100,10.7800,10.6100,10.7708,929
2019-12-26,10.6839,10.7900,10.5200,10.6050,4703
2019-12-24,10.5101,10.5101,10.5101,10.5101,2028
2019-12-23,10.5600,10.5600,10.5600,10.5600,271
2019-12-20,10.8500,10.8500,10.8500,10.8500,1629
2019-12-19,10.7975,10.8000,10.7975,10.8000,948
2019-12-18,10.5500,10.6758,10.5500,10.6758,3509
2019-12-17,10.6900,10.7000,10.6900,10.7000,1167
2019-12-16,10.6955,10.6955,10.6955,10.6955,707
2019-12-13,10.5500,10.7500,10.5212,10.7500,4602
2019-12-12,10.5500,10.5500,10.5500,10.5500,3
2019-12-11,10.5500,10.5500,10.5500,10.5500,0
2019-12-10,10.4500,10.6777,10.4500,10.5500,5939
2019-12-09,10.7000,10.7000,10.3500,10.4100,1600
2019-12-06,10.6100,10.6100,10.3100,10.3100,288
2019-12-05,10.6006,10.7500,10.5814,10.6750,8482
2019-12-04,10.5000,10.8123,10.3558,10.5100,13039
2019-12-03,10.2500,10.4150,10.0200,10.4150,19867
2019-12-02,10.2200,10.2500,10.1966,10.2000,2029
2019-11-29,10.2500,10.2500,10.2500,10.2500,28
