timestamp,open,high,low,close,volume
2020-06-19,4.6500,4.7100,4.5680,4.6150,1161422
2020-06-18,4.5700,4.6900,4.5300,4.6200,804404
2020-06-17,4.5000,4.7600,4.4700,4.6200,1431679
2020-06-16,4.8100,4.8300,4.4500,4.4800,1065732
2020-06-15,4.3500,4.7100,4.3400,4.6500,887843
2020-06-12,4.5500,4.5700,4.3400,4.4800,1282724
2020-06-11,4.6500,4.8400,4.3700,4.3900,1176475
2020-06-10,4.8100,5.0150,4.8100,4.8500,1555190
2020-06-09,5.1700,5.2300,4.7600,4.7700,1701045
2020-06-08,4.9600,5.2900,4.8500,5.1900,1212723
2020-06-05,4.8200,4.9200,4.7500,4.8100,1098812
2020-06-04,4.7700,4.8500,4.7100,4.7400,821937
2020-06-03,4.8000,4.8500,4.7250,4.7700,762631
2020-06-02,4.8400,4.8400,4.7001,4.7700,439540
2020-06-01,4.8000,4.9700,4.8000,4.8200,909526
2020-05-29,4.7900,4.8500,4.6869,4.7800,701962
2020-05-28,4.8200,4.8800,4.7800,4.7900,605463
2020-05-27,4.9400,4.9400,4.7400,4.8000,636417
2020-05-26,5.0500,5.1800,4.8600,4.8800,718838
2020-05-22,4.6400,4.9500,4.5650,4.9350,748200
2020-05-21,4.6200,4.6600,4.5100,4.6200,436769
2020-05-20,4.6900,4.7400,4.5900,4.6300,619716
2020-05-19,4.7800,4.8900,4.6150,4.6400,870387
2020-05-18,4.5500,4.8000,4.4600,4.7800,807334
2020-05-15,4.4000,4.4500,4.2900,4.3500,986447
2020-05-14,4.5500,4.6000,4.2350,4.3900,1201954
2020-05-13,5.0000,5.0900,4.6250,4.6700,952311
2020-05-12,4.7800,5.2000,4.7500,5.0200,1245447
2020-05-11,5.0400,5.0700,4.6300,4.7500,1579151
2020-05-08,5.2400,5.3900,4.8600,5.0800,1722513
2020-05-07,4.7200,4.8500,4.6100,4.8300,1384547
2020-05-06,4.4600,4.6650,4.4400,4.6350,625352
2020-05-05,4.5500,4.6100,4.3700,4.4200,1596991
2020-05-04,4.4300,4.5800,4.3800,4.4600,760196
2020-05-01,4.4600,4.5100,4.2800,4.4400,734554
2020-04-30,4.5700,4.7000,4.5300,4.5600,825452
2020-04-29,4.7100,4.7100,4.5500,4.6700,823505
2020-04-28,4.7300,4.7500,4.5450,4.5700,911869
2020-04-27,4.4000,4.6900,4.3900,4.6300,906048
2020-04-24,4.3100,4.3800,4.2650,4.3600,864643
2020-04-23,4.2000,4.3200,4.1790,4.3050,1365214
2020-04-22,4.3500,4.3500,4.1700,4.2100,963295
2020-04-21,4.1200,4.1750,4.0300,4.0600,528825
2020-04-20,4.2200,4.3000,4.1400,4.1700,546170
2020-04-17,4.2200,4.3000,4.1200,4.2500,766513
2020-04-16,4.2300,4.2700,4.0200,4.1150,505323
2020-04-15,4.1500,4.2800,4.0300,4.2100,822216
2020-04-14,4.1300,4.3600,4.0500,4.2600,1031824
2020-04-13,4.1400,4.2670,4.0900,4.0900,870105
2020-04-09,4.0800,4.1700,4.0300,4.1400,1045860
2020-04-08,3.9700,4.1000,3.9300,4.0400,768641
2020-04-07,4.0300,4.1300,3.8800,3.9400,811495
2020-04-06,3.8600,4.0400,3.8100,3.9500,747499
2020-04-03,3.7800,3.9500,3.7000,3.7900,721691
2020-04-02,3.7000,3.7900,3.6050,3.7800,1014051
2020-04-01,3.7500,4.0000,3.6200,3.7300,984396
2020-03-31,3.7500,3.8300,3.6600,3.7900,1858316
2020-03-30,3.6000,3.7900,3.5300,3.7300,1568657
2020-03-27,3.4600,3.6400,3.4100,3.5300,1071435
2020-03-26,3.3500,3.6300,3.3400,3.5100,1018173
2020-03-25,3.4000,3.5300,3.2600,3.3100,2136716
2020-03-24,3.2400,3.4100,3.1600,3.4000,843030
2020-03-23,3.1200,3.1900,2.8500,3.1100,988268
2020-03-20,3.4400,3.6850,3.0300,3.2400,1838643
2020-03-19,3.0700,3.4100,2.9800,3.3900,1216967
2020-03-18,3.5100,3.7200,2.9100,3.0600,2133581
2020-03-17,3.4700,3.8199,3.3800,3.7300,1317828
2020-03-16,3.5000,3.7300,3.4010,3.4500,2263456
2020-03-13,3.9800,4.1600,3.7850,4.1300,2142866
2020-03-12,3.7300,3.8200,3.4100,3.7600,1754710
2020-03-11,4.0500,4.1200,3.8200,3.9600,1345998
2020-03-10,4.2900,4.3480,4.0900,4.1000,1107996
2020-03-09,4.1200,4.3200,3.9500,4.1900,882659
2020-03-06,4.4600,4.4800,4.3200,4.4600,1231097
2020-03-05,4.6600,4.7200,4.5000,4.5800,1003577
2020-03-04,5.0000,5.0700,4.6900,4.7200,1319149
2020-03-03,5.0500,5.0700,4.7900,4.9100,1522157
2020-03-02,4.9000,5.0800,4.8000,5.0300,1137911
2020-02-28,4.6600,4.9000,4.6600,4.8600,1054840
2020-02-27,4.8500,4.9500,4.6200,4.8400,1348005
2020-02-26,5.1300,5.1300,4.8700,4.9300,1022550
2020-02-25,5.2700,5.2900,5.0800,5.1100,856538
2020-02-24,5.4200,5.4500,5.1400,5.2500,1483989
2020-02-21,5.2900,5.6050,5.2200,5.5600,1074233
2020-02-20,5.3500,5.3900,5.1900,5.2800,1053261
2020-02-19,5.3800,5.4100,5.2750,5.3500,864473
2020-02-18,5.2800,5.3500,5.2400,5.3200,596681
2020-02-14,5.3300,5.3450,5.1800,5.2700,719097
