timestamp,open,high,low,close,volume
2020-06-19,7.0400,7.0400,7.0400,7.0400,93
2020-06-18,7.0400,7.0400,7.0400,7.0400,10
2020-06-17,7.0400,7.0400,7.0400,7.0400,26
2020-06-16,7.0400,7.0400,7.0400,7.0400,152
2020-06-15,7.0400,7.0400,7.0400,7.0400,24
2020-06-12,7.0400,7.0400,7.0400,7.0400,355
2020-06-11,7.1100,7.1100,7.0900,7.1100,926
2020-06-10,6.5100,6.5100,6.5100,6.5100,33
2020-06-09,6.5100,6.5100,6.5100,6.5100,89
2020-06-08,6.5100,6.5100,6.5100,6.5100,22
2020-06-05,6.5100,6.5100,6.5100,6.5100,140
2020-06-04,7.1100,7.1100,7.1100,7.1100,22
2020-06-03,6.5000,7.1100,6.5000,7.1100,749
2020-06-02,6.5100,6.5100,6.5100,6.5100,20
2020-06-01,6.5100,6.5100,6.5100,6.5100,14
2020-05-29,6.5100,6.5100,6.5100,6.5100,1
2020-05-28,6.5100,6.5100,6.5100,6.5100,116
2020-05-27,7.0000,7.0000,6.5100,6.5100,1028
2020-05-26,6.7150,6.7150,6.5100,6.5100,805
2020-05-22,7.0900,7.0900,6.9301,6.9301,213
2020-05-21,7.0900,7.1300,7.0900,7.0900,2443
2020-05-20,7.0865,7.0865,7.0865,7.0865,369
2020-05-19,6.7100,6.7100,6.7100,6.7100,55
2020-05-18,6.0900,6.7100,6.0900,6.7100,4851
2020-05-15,6.0268,6.0268,5.9732,6.0268,32121
2020-05-14,5.7200,6.1988,5.4704,5.6000,3139
2020-05-13,6.3400,6.3400,5.6700,5.6700,4424
2020-05-12,6.4000,6.7200,6.3475,6.7200,2270
2020-05-11,6.4772,6.4772,6.4772,6.4772,1800
2020-05-08,5.9500,6.3300,5.9500,6.3300,1916
2020-05-07,5.4100,5.4100,5.4100,5.4100,375
2020-05-06,5.8000,5.8000,5.8000,5.8000,108
2020-05-05,5.8000,5.8000,5.8000,5.8000,323
2020-05-04,5.8100,5.8100,5.8100,5.8100,332
2020-05-01,6.0300,6.0300,5.8055,5.8055,874
2020-04-30,6.2354,6.2354,6.2354,6.2354,68
2020-04-29,6.2354,6.2354,6.2354,6.2354,244
2020-04-28,6.1001,6.1001,6.1000,6.1001,881
2020-04-27,6.1000,6.2143,6.1000,6.2143,461
2020-04-24,6.5000,6.5000,6.5000,6.5000,48
2020-04-23,6.5000,6.5000,6.5000,6.5000,64
2020-04-22,6.5000,6.5000,6.5000,6.5000,175
2020-04-21,6.5162,6.5162,6.5162,6.5162,257
2020-04-20,6.9300,7.1800,6.4000,6.5162,19115
2020-04-17,6.3100,6.3100,6.3000,6.3000,663
2020-04-16,5.9200,5.9200,5.9200,5.9200,0
2020-04-15,5.9200,5.9200,5.9200,5.9200,1
2020-04-14,5.9200,5.9200,5.9200,5.9200,26
2020-04-13,5.9200,5.9200,5.9200,5.9200,20
2020-04-09,5.9200,5.9200,5.9200,5.9200,1
2020-04-08,5.9200,5.9200,5.9200,5.9200,5
2020-04-07,5.9200,5.9200,5.9200,5.9200,20
2020-04-06,5.9200,5.9200,5.9200,5.9200,1003
2020-04-03,6.6600,6.6600,5.9200,5.9200,1090
2020-04-02,7.0800,7.0800,7.0800,7.0800,144
2020-04-01,7.0800,7.0800,7.0800,7.0800,104
2020-03-31,7.0800,7.0800,7.0800,7.0800,27
2020-03-30,7.0800,7.0800,7.0800,7.0800,139
2020-03-27,7.0800,7.0800,7.0800,7.0800,201
2020-03-26,7.0800,7.0800,7.0800,7.0800,192
2020-03-25,7.0700,7.0800,7.0700,7.0800,436
2020-03-24,7.0800,7.0800,7.0800,7.0800,163
2020-03-23,7.0800,7.0800,7.0800,7.0800,207
2020-03-20,7.0800,7.0800,7.0800,7.0800,19
2020-03-19,7.0800,7.0800,7.0800,7.0800,10
2020-03-18,8.2400,8.2400,7.0800,7.0800,1043
