timestamp,open,high,low,close,volume
2020-06-19,2.7800,2.9200,2.7600,2.8600,653236
2020-06-18,2.8100,2.8500,2.6900,2.7100,370500
2020-06-17,2.9500,2.9600,2.7650,2.8000,449756
2020-06-16,3.1000,3.1000,2.8300,2.9500,747751
2020-06-15,2.9900,3.0800,2.8800,2.9900,375406
2020-06-12,2.9700,3.0200,2.8300,3.0100,439716
2020-06-11,2.9800,3.0300,2.7900,2.8000,672694
2020-06-10,3.2700,3.2817,3.0200,3.0800,723698
2020-06-09,3.4800,3.4800,3.2300,3.2700,472215
2020-06-08,3.4200,3.5500,3.4000,3.5100,459977
2020-06-05,3.3600,3.4800,3.2600,3.3800,620249
2020-06-04,3.1000,3.3800,3.0500,3.2600,655229
2020-06-03,3.0000,3.1800,2.9200,3.1500,670701
2020-06-02,2.8700,3.0200,2.8100,2.9800,966143
2020-06-01,2.7100,2.9000,2.6700,2.8700,376596
2020-05-29,2.8800,2.8800,2.7000,2.7100,794150
2020-05-28,2.9600,3.1950,2.9000,3.0000,1196004
2020-05-27,2.9800,2.9900,2.8716,2.9500,335095
2020-05-26,2.8500,2.9500,2.8100,2.9400,583842
2020-05-22,2.8000,2.8390,2.7100,2.8200,204975
2020-05-21,2.7500,2.8099,2.7200,2.7900,283696
2020-05-20,2.6600,2.8200,2.6490,2.7800,452127
2020-05-19,2.5900,2.6600,2.5400,2.5900,557049
2020-05-18,2.6800,2.6900,2.5600,2.6100,410474
2020-05-15,2.5000,2.5700,2.4000,2.5300,267256
2020-05-14,2.4000,2.5400,2.2400,2.5300,432625
2020-05-13,2.5600,2.6100,2.3900,2.4300,508594
2020-05-12,2.5700,2.7080,2.5628,2.5900,581392
2020-05-11,2.7800,2.7800,2.6100,2.6900,499743
2020-05-08,2.6600,2.7500,2.6400,2.7200,499022
2020-05-07,2.8400,2.9850,2.5100,2.6400,1295412
2020-05-06,2.5700,2.8400,2.5300,2.7300,653217
2020-05-05,2.7100,2.8199,2.4200,2.5200,945648
2020-05-04,2.7000,2.7300,2.5400,2.6500,470918
2020-05-01,2.8800,2.8900,2.6600,2.7400,360330
2020-04-30,2.8500,2.9800,2.7150,2.9400,842341
2020-04-29,2.5800,3.0795,2.5800,2.8400,1126590
2020-04-28,2.6800,2.7300,2.4700,2.5200,492329
2020-04-27,2.4200,2.6600,2.3800,2.6300,656547
2020-04-24,2.4000,2.4200,2.3200,2.4000,375094
2020-04-23,2.3000,2.4200,2.2650,2.3700,471026
2020-04-22,2.3600,2.4300,2.2700,2.2700,370416
2020-04-21,2.2600,2.3700,2.2100,2.3200,373925
2020-04-20,2.4500,2.4800,2.2700,2.3000,378060
2020-04-17,2.5400,2.5804,2.4600,2.4700,323557
2020-04-16,2.6400,2.7000,2.4200,2.4600,338463
2020-04-15,2.7300,2.7600,2.5100,2.6000,424299
2020-04-14,2.6500,2.8500,2.6300,2.8000,879274
2020-04-13,2.3500,2.5700,2.2200,2.5600,1344512
2020-04-09,2.4500,2.6700,2.1600,2.3500,1768759
2020-04-08,2.3700,2.5500,2.2501,2.3700,956488
2020-04-07,2.1400,2.3600,2.0500,2.2000,877767
2020-04-06,1.9000,2.1000,1.9000,1.9100,623922
2020-04-03,1.8400,1.9500,1.7500,1.7900,492056
2020-04-02,2.1000,2.1000,1.8400,1.8500,699502
2020-04-01,2.2000,2.2100,1.9800,2.0400,785012
2020-03-31,2.3700,2.4300,2.1600,2.2000,504785
2020-03-30,2.5000,2.5500,2.3000,2.3600,609158
2020-03-27,2.5500,2.6400,2.2400,2.5100,1233338
2020-03-26,2.2500,3.0500,2.2500,2.4900,1971348
2020-03-25,2.1400,2.6700,2.1000,2.2000,1249335
2020-03-24,1.9300,2.1880,1.9200,2.0000,581646
2020-03-23,2.2000,2.2200,1.7300,1.7600,1040125
2020-03-20,2.3200,2.7500,2.2000,2.2100,1518939
2020-03-19,1.6200,2.4800,1.5300,2.2000,1460080
2020-03-18,2.7400,2.7400,1.4700,1.4700,2223904
2020-03-17,3.1200,3.1200,2.7100,2.7100,1129952
2020-03-16,3.1600,3.3300,3.0500,3.0800,958904
2020-03-13,3.4200,3.5900,3.3000,3.5500,1053079
2020-03-12,3.4900,3.6600,3.2400,3.2500,1396831
2020-03-11,4.0600,4.1600,3.8500,3.8600,1001180
2020-03-10,4.2000,4.3380,4.0500,4.0900,627252
2020-03-09,4.2500,4.2500,4.0000,4.0500,921416
2020-03-06,4.5900,4.6000,4.4000,4.5200,603669
2020-03-05,4.7500,4.7500,4.6000,4.6100,368947
2020-03-04,4.7100,4.8200,4.7037,4.7700,209121
2020-03-03,4.7200,4.7800,4.6200,4.6800,461178
2020-03-02,4.5100,4.7100,4.4700,4.6900,622981
2020-02-28,4.5000,4.6000,4.4600,4.5000,1331377
2020-02-27,4.8000,4.8100,4.6000,4.6500,843759
2020-02-26,4.8600,4.9196,4.8200,4.8500,742605
2020-02-25,5.0800,5.0800,4.8200,4.8800,875366
2020-02-24,5.0200,5.0800,4.9900,5.0800,674396
2020-02-21,5.0200,5.0500,5.0100,5.0400,253308
