timestamp,open,high,low,close,volume
2020-06-19,2.5500,2.6300,2.4800,2.5100,1056532
2020-06-18,2.3900,2.4500,2.3400,2.3900,601442
2020-06-17,2.4200,2.4500,2.3000,2.4200,500770
2020-06-16,2.4600,2.4600,2.3200,2.4100,550144
2020-06-15,2.1600,2.4100,2.1093,2.3700,653773
2020-06-12,2.4100,2.4400,2.1200,2.2500,652440
2020-06-11,2.5300,2.7500,2.2500,2.2900,3267337
2020-06-10,2.1200,2.6000,2.1000,2.3500,2206733
2020-06-09,2.2400,2.2500,1.9800,2.0700,651010
2020-06-08,2.2400,2.2900,2.1500,2.2000,684562
2020-06-05,2.3400,2.4200,2.0600,2.2000,937845
2020-06-04,1.9300,2.2500,1.7800,2.1650,2161580
2020-06-03,1.7800,1.9800,1.7654,1.8899,971002
2020-06-02,1.8100,1.8400,1.7600,1.7800,198311
2020-06-01,1.7300,1.8500,1.6700,1.7700,835580
2020-05-29,1.6600,1.7000,1.6600,1.6900,124218
2020-05-28,1.7000,1.8500,1.6600,1.6600,571382
2020-05-27,1.6900,1.7100,1.6397,1.6805,191693
2020-05-26,1.6800,1.7100,1.6400,1.6800,217102
2020-05-22,1.6700,1.6800,1.6400,1.6700,126732
2020-05-21,1.6700,1.6821,1.6400,1.6500,144734
2020-05-20,1.6700,1.7000,1.6300,1.6700,185955
2020-05-19,1.7000,1.7300,1.6300,1.6600,150567
2020-05-18,1.6800,1.7500,1.6500,1.6800,210257
2020-05-15,1.6800,1.7015,1.6300,1.6700,167714
2020-05-14,1.6800,1.7300,1.5500,1.6700,283345
2020-05-13,1.8900,1.9000,1.6600,1.7300,391935
2020-05-12,1.6500,1.8900,1.6300,1.8400,952327
2020-05-11,1.6800,1.7000,1.6400,1.6500,172293
2020-05-08,1.6900,1.6900,1.6500,1.6800,142716
2020-05-07,1.6400,1.6900,1.6000,1.6900,158728
2020-05-06,1.6700,1.6979,1.6200,1.6300,73120
2020-05-05,1.6700,1.7300,1.6300,1.6500,175098
2020-05-04,1.6500,1.6800,1.6000,1.6600,106199
2020-05-01,1.6800,1.6985,1.6000,1.6800,201794
2020-04-30,1.7700,1.7700,1.6800,1.6900,202240
2020-04-29,1.7400,1.8000,1.7200,1.7200,349583
2020-04-28,1.7500,1.7500,1.6900,1.7200,170047
2020-04-27,1.7400,1.7400,1.6800,1.6900,193938
2020-04-24,1.7500,1.7600,1.7200,1.7300,89576
2020-04-23,1.7200,1.7600,1.7200,1.7338,113079
2020-04-22,1.7700,1.7803,1.7300,1.7400,163479
2020-04-21,1.8100,1.8200,1.7500,1.7800,91386
2020-04-20,1.7500,1.8700,1.7400,1.8300,240422
2020-04-17,1.7500,1.8000,1.7300,1.7800,118329
2020-04-16,1.7700,1.8000,1.7000,1.7200,151080
2020-04-15,1.7900,1.8000,1.7400,1.7900,109614
2020-04-14,1.7700,1.8899,1.7700,1.8100,228652
2020-04-13,1.7700,1.7911,1.7000,1.7900,139844
2020-04-09,1.8700,1.8800,1.7500,1.8000,160897
2020-04-08,1.7500,1.8161,1.6800,1.8000,110198
2020-04-07,1.7000,1.7800,1.6800,1.7100,236626
2020-04-06,1.6300,1.6900,1.5500,1.6200,234244
2020-04-03,1.6200,1.6200,1.4600,1.5400,149751
2020-04-02,1.6500,1.7000,1.5863,1.6200,120529
2020-04-01,1.6500,1.7224,1.5600,1.6400,203094
2020-03-31,1.7500,1.8500,1.7000,1.7300,112076
2020-03-30,2.0200,2.0200,1.7500,1.7600,220091
2020-03-27,1.8800,1.8900,1.7100,1.8900,284259
2020-03-26,1.7200,1.9699,1.6900,1.9100,574415
2020-03-25,1.6000,1.8000,1.5600,1.6900,799042
2020-03-24,1.5100,1.5600,1.4200,1.5400,307668
2020-03-23,1.4600,1.4600,1.3000,1.4100,204519
2020-03-20,1.5000,1.5700,1.4000,1.4100,299693
2020-03-19,1.3200,1.4500,1.3000,1.4300,265167
2020-03-18,1.5000,1.6000,1.2500,1.3100,464695
2020-03-17,1.8149,1.8149,1.5600,1.6100,281276
2020-03-16,1.7500,1.7500,1.5300,1.5600,681012
2020-03-13,1.9200,1.9600,1.8000,1.9100,401917
2020-03-12,1.9000,2.0000,1.7800,1.7800,508652
2020-03-11,2.3100,2.3300,2.1100,2.1200,335307
2020-03-10,2.3800,2.4800,2.1700,2.3500,434271
2020-03-09,2.2400,2.3970,2.2000,2.2800,458166
2020-03-06,2.4600,2.5800,2.3850,2.4900,700272
2020-03-05,2.4000,2.5599,2.3603,2.5200,446100
2020-03-04,2.4900,2.5000,2.3822,2.4000,234678
2020-03-03,2.4600,2.5000,2.3300,2.4100,391024
2020-03-02,2.3400,2.5400,2.2509,2.4900,535445
2020-02-28,2.1800,2.3295,2.1500,2.2700,527538
2020-02-27,2.4600,2.5000,2.1600,2.3600,1002114
2020-02-26,2.8100,2.8600,2.5200,2.5900,1073360
2020-02-25,2.9000,3.1000,2.8100,2.8600,730600
2020-02-24,2.7600,2.9500,2.7000,2.8600,652175
2020-02-21,3.0600,3.0798,2.8600,3.0100,755454
2020-02-20,3.1100,3.3500,2.9000,3.1200,1708819
2020-02-19,3.0700,3.2300,3.0000,3.1600,2329607
2020-02-18,2.7100,3.0500,2.6800,2.9400,3084772
2020-02-14,2.5500,3.0700,2.4700,2.6700,7700754
2020-02-13,2.3600,2.4300,2.3000,2.3100,487208
2020-02-12,2.3000,2.3800,2.2500,2.3300,577300
2020-02-11,2.4500,2.4500,2.2200,2.2800,742732
2020-02-10,2.5900,2.6681,2.2800,2.3900,1118912
2020-02-07,2.6900,2.8294,2.4000,2.5500,1770720
2020-02-06,2.3500,3.4000,2.3000,2.6800,9271572
2020-02-05,2.4400,2.4800,2.0601,2.2500,873742
2020-02-04,2.1200,2.7000,2.1000,2.4900,4419828
2020-02-03,1.8800,2.1400,1.8500,2.0700,567231
2020-01-31,1.9100,1.9200,1.8405,1.8900,154418
2020-01-30,1.9400,1.9500,1.9000,1.9200,84039
2020-01-29,1.9500,1.9800,1.8900,1.9327,208959
2020-01-28,1.9500,1.9700,1.9480,1.9500,71482
