timestamp,open,high,low,close,volume
2020-06-19,13.5000,13.7399,13.1200,13.2800,309035
2020-06-18,13.1800,13.5100,13.0200,13.4900,160553
2020-06-17,13.7000,13.8900,13.1800,13.3700,180500
2020-06-16,12.9800,13.9300,12.7800,13.8400,327903
2020-06-15,12.2000,13.4500,12.2000,12.9200,188752
2020-06-12,13.0000,13.2000,12.2050,12.6000,184579
2020-06-11,12.6200,12.7700,11.8501,12.4900,320537
2020-06-10,13.5000,13.5000,12.6500,12.8200,119675
2020-06-09,13.1500,13.2400,12.5700,12.9400,205360
2020-06-08,12.7800,13.2600,12.6800,12.8700,243336
2020-06-05,13.0200,13.2049,12.5600,12.7900,257997
2020-06-04,13.5600,13.9500,12.5001,13.1500,402780
2020-06-03,13.2200,13.8100,13.0000,13.7700,194606
2020-06-02,13.6400,13.7000,13.0700,13.1400,268788
2020-06-01,13.9600,14.4900,13.5700,13.6600,209233
2020-05-29,13.7200,14.2300,13.4800,14.1800,138643
2020-05-28,14.0500,14.5400,13.7100,13.9300,184886
2020-05-27,13.7400,14.2000,12.8319,14.1500,261977
2020-05-26,14.8800,14.9500,13.6100,13.7100,356881
2020-05-22,13.9000,15.0700,13.3300,14.8700,382724
2020-05-21,13.9900,14.2500,13.6000,13.7700,309929
2020-05-20,13.4000,14.0000,13.1500,13.8100,565227
2020-05-19,14.0000,14.0000,12.9900,13.0000,1896530
2020-05-18,16.9000,17.2183,15.4000,16.1600,362498
2020-05-15,17.6800,17.7600,15.6100,16.8500,274238
2020-05-14,17.7200,18.1900,16.5400,17.7000,192311
2020-05-13,19.2200,19.4000,16.8700,17.7000,327573
2020-05-12,20.6600,21.2800,18.7600,19.0600,367334
2020-05-11,19.9500,20.6800,18.2600,20.2800,1128347
2020-05-08,16.9500,17.0800,16.0900,17.0100,321083
2020-05-07,17.2000,17.3300,16.6000,16.7800,115307
2020-05-06,16.7100,17.5000,16.6800,17.0800,171205
2020-05-05,16.7000,17.3500,16.4000,16.7200,234285
2020-05-04,15.6300,16.6600,15.5000,16.6600,164316
2020-05-01,14.7000,16.4500,14.5900,15.9000,184697
2020-04-30,14.5000,15.0000,13.9300,14.9800,225684
2020-04-29,15.6800,15.6800,14.3200,14.8050,255550
