timestamp,open,high,low,close,volume
2020-06-19,7.6200,12.5200,7.6200,8.3000,609730
2020-06-18,7.8134,8.0800,7.6100,7.8500,7250
2020-06-17,7.8550,8.0300,7.7700,7.8050,6118
2020-06-16,8.1000,8.4500,7.8000,7.9693,29627
2020-06-15,7.8000,8.4999,7.5000,8.0800,32252
2020-06-12,6.8200,7.8000,6.8200,7.7200,59174
2020-06-11,7.0200,7.7200,6.7000,6.8200,8695
2020-06-10,7.1300,7.7200,7.1150,7.1300,14335
2020-06-09,7.0400,7.4100,7.0400,7.1300,3761
2020-06-08,6.8801,7.3700,6.8801,7.2600,7374
2020-06-05,6.9344,7.2000,6.7579,7.0100,9698
2020-06-04,7.0400,7.3400,6.6513,6.6550,12478
2020-06-03,7.3300,7.5943,7.1000,7.1600,18622
2020-06-02,7.7000,7.7000,7.0701,7.4550,3471
2020-06-01,7.4300,7.7600,6.9583,7.5000,23976
2020-05-29,7.3300,7.3599,6.9001,7.3000,8079
2020-05-28,7.0000,7.4000,7.0000,7.0700,13649
2020-05-27,7.0100,7.0400,6.5300,6.9700,12096
2020-05-26,7.0100,7.5000,7.0000,7.0000,15022
2020-05-22,7.5500,7.5500,7.1973,7.2900,12150
2020-05-21,8.1782,8.1782,7.1200,7.8899,27615
2020-05-20,8.5900,8.5900,7.4400,7.8700,39544
2020-05-19,7.8000,8.4900,7.8000,8.2000,19864
2020-05-18,8.3400,8.3400,7.7321,7.8000,24207
2020-05-15,8.4900,8.4900,7.9600,8.3172,7855
2020-05-14,8.7600,8.8485,8.1000,8.3600,12691
2020-05-13,8.1700,9.3300,8.0000,8.5500,99115
2020-05-12,8.1600,9.1200,8.1100,8.1706,67983
2020-05-11,8.5200,8.5200,7.7700,8.1850,8957
2020-05-08,8.1900,8.5800,8.1100,8.3500,4733
2020-05-07,9.1700,9.1700,8.0100,8.2300,19144
2020-05-06,8.9600,9.2500,8.5500,8.7700,44355
2020-05-05,8.0000,8.9000,8.0000,8.5000,48463
2020-05-04,8.5238,9.0000,7.7500,7.8500,23923
2020-05-01,8.5000,8.9669,8.0901,8.4400,11378
2020-04-30,9.5000,9.5291,9.0000,9.1000,12742
2020-04-29,10.0000,10.0000,9.5100,9.7000,21246
2020-04-28,10.7500,10.7500,9.0100,9.8097,84925
2020-04-27,10.9200,10.9200,10.3399,10.7500,29854
2020-04-24,10.7500,11.7171,10.2589,10.9300,39958
2020-04-23,12.2500,12.2551,10.1000,10.7500,122469
2020-04-22,14.1700,14.9194,11.3286,12.2800,108638
2020-04-21,12.5800,17.3894,12.4000,14.1700,627408
2020-04-20,7.4900,16.0000,6.6948,13.0600,1645667
2020-04-17,5.4500,10.1099,5.4500,5.8100,219616
2020-04-16,5.5000,5.6250,5.4500,5.4500,5854
2020-04-15,5.5600,5.7000,5.2800,5.4150,5900
2020-04-14,4.5000,4.5089,3.9100,4.0450,6005
2020-04-13,4.6600,4.6600,4.3474,4.5100,2332
2020-04-09,4.6700,4.6700,4.4000,4.4001,4955
2020-04-08,4.0500,4.4700,4.0500,4.1800,1230
2020-04-07,3.7862,4.5000,3.6600,3.9201,8181
2020-04-06,3.4300,3.6800,3.4300,3.4914,2947
