timestamp,open,high,low,close,volume
2020-06-19,6.6400,6.6600,6.4500,6.5900,1407586
2020-06-18,6.4700,6.7100,6.4700,6.6200,376752
2020-06-17,7.0000,7.1050,6.5200,6.5700,394955
2020-06-16,7.0100,7.1100,6.7800,6.9500,500670
2020-06-15,6.4500,6.8300,6.3600,6.7300,406962
2020-06-12,6.9700,6.9700,6.4800,6.7450,460695
2020-06-11,6.9000,6.9650,6.5200,6.6250,522002
2020-06-10,7.8000,7.8100,7.3500,7.3700,403528
2020-06-09,7.8000,7.9700,7.4900,7.8150,616958
2020-06-08,8.1300,8.2900,7.9650,7.9900,664379
2020-06-05,7.9600,8.4000,7.9000,8.0300,887089
2020-06-04,7.3300,7.6600,7.1400,7.5800,623230
2020-06-03,6.8700,7.5200,6.8500,7.3200,704017
2020-06-02,6.7700,6.9700,6.6200,6.6700,361858
2020-06-01,6.9300,7.0300,6.7100,6.7100,478231
2020-05-29,7.2500,7.6300,6.7950,6.8700,606826
2020-05-28,7.6600,7.9200,7.3200,7.4100,409574
2020-05-27,7.4900,7.8000,7.2900,7.7400,480780
2020-05-26,7.0100,7.3000,6.9500,7.2100,521165
2020-05-22,6.6500,6.7300,6.4995,6.6600,257092
2020-05-21,6.7700,6.7950,6.5700,6.5950,247808
2020-05-20,6.4500,6.8400,6.4500,6.7700,402846
2020-05-19,6.6900,6.7400,6.3900,6.4000,491004
2020-05-18,6.4100,6.8400,6.3600,6.7800,415617
2020-05-15,6.1700,6.2500,6.0500,6.1550,373869
2020-05-14,6.0600,6.2500,5.8200,6.1800,452263
2020-05-13,6.3200,6.3200,6.0400,6.2900,542567
2020-05-12,6.6600,6.8800,6.2700,6.2900,776418
2020-05-11,7.0400,7.1800,6.6400,6.6500,550355
2020-05-08,6.9000,7.2500,6.8300,7.1900,395066
2020-05-07,6.8000,7.0673,6.6700,6.7100,455424
2020-05-06,7.0500,7.1500,6.6700,6.7250,460143
2020-05-05,7.2200,7.5000,6.8100,6.8300,445309
2020-05-04,6.9100,7.2700,6.6900,7.2600,360477
2020-05-01,7.1400,7.2000,6.8150,7.0200,604609
2020-04-30,8.0300,8.0400,7.2500,7.6000,829936
2020-04-29,8.5200,8.7300,8.1200,8.5200,444653
2020-04-28,7.9200,8.1600,7.7900,8.0900,372263
2020-04-27,7.2200,7.7300,7.1100,7.6400,270653
2020-04-24,7.1100,7.2500,6.9800,7.1800,272676
2020-04-23,7.0300,7.3100,7.0100,7.1100,300250
2020-04-22,7.1500,7.2200,6.9200,7.0400,328991
2020-04-21,6.7600,7.0150,6.7200,6.9700,558257
2020-04-20,6.7400,7.2000,6.6600,7.0400,413633
2020-04-17,6.6700,7.0600,6.6700,6.9750,525694
2020-04-16,6.6800,6.9400,6.3100,6.5200,464341
2020-04-15,6.8800,6.9700,6.5200,6.7000,445926
2020-04-14,7.4500,7.8800,6.9000,7.1900,620378
2020-04-13,7.7300,7.7400,7.1300,7.2950,569084
2020-04-09,7.5700,7.9500,7.2200,7.6350,958580
2020-04-08,7.4300,7.5150,7.0700,7.3950,713112
2020-04-07,7.4100,7.7100,7.1300,7.2400,1351784
2020-04-06,7.1500,7.4500,7.1500,7.2400,696640
2020-04-03,7.3000,7.4900,6.6550,6.8700,526562
2020-04-02,7.2500,7.4500,7.0200,7.3600,584147
2020-04-01,6.7700,7.5100,6.6600,7.2900,1163669
2020-03-31,7.2200,7.3200,6.8995,7.1500,666804
2020-03-30,7.0700,7.2400,6.8480,7.2200,514454
2020-03-27,7.0000,7.2800,6.7700,7.0400,695717
2020-03-26,6.6900,7.4100,6.6700,7.3000,720712
2020-03-25,6.4500,6.9900,6.2400,6.6600,803402
2020-03-24,5.7700,6.3800,5.7000,6.3400,622484
2020-03-23,5.8100,5.8400,5.1800,5.4400,734695
2020-03-20,6.2100,6.7200,5.5750,5.7700,1114644
2020-03-19,6.6500,6.7900,5.5700,6.2600,1259674
2020-03-18,8.0500,8.3200,6.6300,6.7300,781751
2020-03-17,8.1300,9.0700,7.7500,8.6100,1025016
2020-03-16,6.9400,8.4000,6.8600,7.9900,918850
2020-03-13,7.7500,7.9194,7.4000,7.8800,751922
2020-03-12,7.2900,8.0500,7.0600,7.2600,602235
2020-03-11,7.9400,8.1750,7.7900,7.8800,758599
2020-03-10,8.1000,8.2700,7.7000,8.2000,642049
2020-03-09,8.3100,8.8400,7.7600,7.7800,594138
2020-03-06,9.2400,9.5350,8.9700,9.1400,771728
2020-03-05,9.6900,9.8700,9.4700,9.6700,984146
2020-03-04,9.9800,10.0600,9.7500,10.0150,799198
2020-03-03,10.3900,10.5900,9.8400,9.8900,1033224
2020-03-02,9.7900,10.3300,9.7000,10.3200,1077391
2020-02-28,9.7500,10.0300,9.5300,9.7550,1135807
2020-02-27,10.3600,10.5400,10.1100,10.1150,684658
2020-02-26,10.8200,10.9700,10.5900,10.6200,330762
2020-02-25,11.0800,11.2400,10.6800,10.7400,380522
2020-02-24,11.2000,11.2300,11.0700,11.0800,234784
2020-02-21,11.8300,11.8300,11.5000,11.5600,314086
2020-02-20,11.6300,11.8900,11.6300,11.8800,305562
2020-02-19,11.5800,11.7100,11.5800,11.6700,157712
2020-02-18,11.6100,11.6700,11.4500,11.5500,215916
2020-02-14,11.7800,11.8000,11.5800,11.6400,241851
2020-02-13,11.6500,11.7850,11.6500,11.7800,184782
2020-02-12,11.7700,11.8100,11.6900,11.7600,163452
2020-02-11,11.5800,11.7900,11.5800,11.6700,219758
2020-02-10,11.3900,11.5400,11.3500,11.5200,251409
2020-02-07,11.5400,11.5550,11.4100,11.4700,548010
2020-02-06,11.8800,11.8900,11.6100,11.6400,274650
2020-02-05,11.8600,11.9900,11.8100,11.9400,327694
2020-02-04,11.7700,11.8200,11.7000,11.7250,362624
2020-02-03,11.4800,11.6750,11.4500,11.6300,350773
2020-01-31,11.5900,11.6300,11.3200,11.4000,344710
2020-01-30,11.4600,11.7300,11.3800,11.7100,349265
2020-01-29,11.7200,11.7800,11.5200,11.5400,345425
2020-01-28,11.7400,11.8200,11.6900,11.7400,174257
2020-01-27,11.6700,11.8000,11.6200,11.7000,301875
2020-01-24,12.0600,12.0900,11.7500,11.8900,357083
